onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
mnist-net_256x2,prop_0_0.03,reluS-,stable-,245,unsat,22.465,unsat,82.704,unsat,114.762
mnist-net_256x2,prop_1_0.03,reluS-,stable-,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x2,prop_2_0.03,reluS-,stable-,243,sat,75.061,timeout,330,sat,208.524
mnist-net_256x2,prop_3_0.03,reluS-,stable-,247,unsat,17.572,unsat,41.201,unsat,68.703
mnist-net_256x2,prop_4_0.03,reluS-,stable-,240,unsat,38.45,unsat,257.491,unsat,201.829
mnist-net_256x2,prop_5_0.03,reluS-,stable-,242,unsat,17.797,unsat,119.575,unsat,85.707
mnist-net_256x2,prop_6_0.03,reluS-,stable-,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x2,prop_7_0.03,reluS-,stable-,249,unsat,15.718,unsat,34.817,unsat,33.999
mnist-net_256x2,prop_8_0.03,reluS-,stable-,247,unsat,31.565,timeout,330,unsat,225.77
mnist-net_256x2,prop_9_0.03,reluS-,stable-,250,unsat,24.595,unsat,41.642,unsat,68.319
mnist-net_256x2,prop_10_0.03,reluS-,stable-,245,unsat,16.219,unsat,43.473,unsat,91.352
mnist-net_256x2,prop_11_0.03,reluS-,stable-,247,unsat,16.925,unsat,86.418,unsat,73.514
mnist-net_256x2,prop_12_0.03,reluS-,stable-,251,sat,145.751,timeout,330,sat,70.617
mnist-net_256x2,prop_13_0.03,reluS-,stable-,253,unsat,16.062,unsat,36.699,unsat,36.339
mnist-net_256x2,prop_14_0.03,reluS-,stable-,246,unsat,16.531,unsat,76.725,unsat,60.345
mnist-net_256x2,prop_0_0.05,reluS-,stable-,241,sat,17.771,sat,94.508,sat,41.415
mnist-net_256x2,prop_1_0.05,reluS-,stable-,236,sat,21.576,timeout,330,sat,45.888
mnist-net_256x2,prop_2_0.05,reluS-,stable-,240,sat,17.387,timeout,330,sat,104.962
mnist-net_256x2,prop_3_0.05,reluS-,stable-,247,unsat,38.128,unsat,218.282,unsat,199.652
mnist-net_256x2,prop_4_0.05,reluS-,stable-,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x2,prop_5_0.05,reluS-,stable-,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x2,prop_6_0.05,reluS-,stable-,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x2,prop_7_0.05,reluS-,stable-,248,unsat,17.405,unsat,106.876,unsat,69.702
mnist-net_256x2,prop_8_0.05,reluS-,stable-,243,sat,17.647,timeout,330,sat,41.933
mnist-net_256x2,prop_9_0.05,reluS-,stable-,247,unsat,187.265,timeout,330,timeout,300
mnist-net_256x2,prop_10_0.05,reluS-,stable-,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x2,prop_11_0.05,reluS-,stable-,SKIPPED,timeout,300,-1,-1,-1,-1
