onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
mnist-net_256x2,prop_0_0.03,random,unstable,8,unsat,22.29,unsat,36.803,unsat,27.216
mnist-net_256x2,prop_1_0.03,random,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x2,prop_2_0.03,random,unstable,11,sat,71.648,timeout,330,sat,22.364
mnist-net_256x2,prop_3_0.03,random,unstable,4,unsat,17.706,unsat,30.404,unsat,17.862
mnist-net_256x2,prop_4_0.03,random,unstable,13,unsat,39.06,unsat,96.234,unsat,23.863
mnist-net_256x2,prop_5_0.03,random,unstable,11,unsat,18.242,unsat,28.538,unsat,25.573
mnist-net_256x2,prop_6_0.03,random,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x2,prop_7_0.03,random,unstable,5,unsat,15.836,unsat,10.775,unsat,10.85
mnist-net_256x2,prop_8_0.03,random,unstable,7,unsat,31.859,timeout,330,unsat,36.539
mnist-net_256x2,prop_9_0.03,random,unstable,5,unsat,24.213,unsat,26.922,unsat,16.067
mnist-net_256x2,prop_10_0.03,random,unstable,9,unsat,16.653,unsat,47.109,unsat,23.565
mnist-net_256x2,prop_11_0.03,random,unstable,6,unsat,16.352,unsat,26.729,unsat,18.859
mnist-net_256x2,prop_12_0.03,random,unstable,5,sat,137.491,sat,10.962,sat,142.492
mnist-net_256x2,prop_13_0.03,random,unstable,2,unsat,15.839,unsat,10.527,unsat,10.547
mnist-net_256x2,prop_14_0.03,random,unstable,7,unsat,16.319,unsat,31.734,unsat,15.462
mnist-net_256x2,prop_0_0.05,random,unstable,15,sat,17.838,timeout,330,sat,13.585
mnist-net_256x2,prop_1_0.05,random,unstable,20,sat,17.287,sat,23.975,sat,14.095
mnist-net_256x2,prop_2_0.05,random,unstable,16,sat,18.068,timeout,330,sat,13.23
mnist-net_256x2,prop_3_0.05,random,unstable,7,unsat,40.264,unsat,295.61,unsat,36.433
mnist-net_256x2,prop_4_0.05,random,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x2,prop_5_0.05,random,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x2,prop_6_0.05,random,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x2,prop_7_0.05,random,unstable,6,unsat,16.709,unsat,30.611,unsat,17.252
mnist-net_256x2,prop_8_0.05,random,unstable,13,sat,16.909,sat,13.136,sat,12.363
mnist-net_256x2,prop_9_0.05,random,unstable,8,unsat,158.146,timeout,330,unsat,147.06
mnist-net_256x2,prop_10_0.05,random,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x2,prop_11_0.05,random,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x2,prop_12_0.05,random,unstable,8,sat,16.643,sat,11.651,sat,11.301
mnist-net_256x2,prop_13_0.05,random,unstable,5,unsat,37.699,unsat,40.629,unsat,24.979
mnist-net_256x2,prop_14_0.05,random,unstable,10,unsat,55.227,timeout,330,unsat,57.08
mnist-net_256x4,prop_0_0.03,random,unstable,26,unsat,45.555,timeout,330,unsat,28.454
mnist-net_256x4,prop_1_0.03,random,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_2_0.03,random,unstable,31,unsat,119.642,timeout,330,unsat,157.243
mnist-net_256x4,prop_3_0.03,random,unstable,17,unsat,20.626,unsat,17.087,unsat,17.295
mnist-net_256x4,prop_4_0.03,random,unstable,33,unsat,66.425,sat,151.534,unsat,55.076
mnist-net_256x4,prop_5_0.03,random,unstable,31,unsat,23.162,unsat,36.005,unsat,23.99
mnist-net_256x4,prop_6_0.03,random,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_7_0.03,random,unstable,21,unsat,63.804,timeout,330,unsat,38.897
mnist-net_256x4,prop_8_0.03,random,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_9_0.03,random,unstable,23,unsat,59.376,timeout,330,unsat,54.37
mnist-net_256x4,prop_10_0.03,random,unstable,21,unsat,37.584,timeout,330,unsat,47.361
mnist-net_256x4,prop_11_0.03,random,unstable,24,unsat,21.205,unsat,17.982,unsat,17.777
mnist-net_256x4,prop_12_0.03,random,unstable,16,unsat,69.871,timeout,330,unsat,52.368
mnist-net_256x4,prop_13_0.03,random,unstable,25,unsat,20.484,timeout,330,unsat,18.238
mnist-net_256x4,prop_14_0.03,random,unstable,23,unsat,36.895,unsat,43.044,unsat,30.186
mnist-net_256x4,prop_0_0.05,random,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_1_0.05,random,unstable,52,sat,262.788,sat,115.197,sat,160.393
mnist-net_256x4,prop_2_0.05,random,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_3_0.05,random,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_4_0.05,random,unstable,42,sat,132.989,sat,275.253,timeout,300
mnist-net_256x4,prop_5_0.05,random,unstable,55,sat,256.059,sat,162.464,sat,141.18
mnist-net_256x4,prop_6_0.05,random,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_7_0.05,random,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_8_0.05,random,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_9_0.05,random,unstable,41,sat,171.121,sat,171.668,sat,131.127
mnist-net_256x4,prop_10_0.05,random,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_11_0.05,random,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_12_0.05,random,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_13_0.05,random,unstable,37,sat,83.163,sat,268.445,sat,213.036
mnist-net_256x4,prop_14_0.05,random,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x6,prop_0_0.03,random,unstable,39,unsat,27.606,unsat,164.095,unsat,26.978
mnist-net_256x6,prop_1_0.03,random,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x6,prop_2_0.03,random,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x6,prop_3_0.03,random,unstable,29,unsat,27.005,unsat,223.303,unsat,25.498
mnist-net_256x6,prop_4_0.03,random,unstable,30,unsat,83.288,timeout,330,unsat,51.015
mnist-net_256x6,prop_5_0.03,random,unstable,43,unsat,182.06,timeout,330,unsat,210.98
mnist-net_256x6,prop_6_0.03,random,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x6,prop_7_0.03,random,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x6,prop_8_0.03,random,unstable,20,unsat,27.114,timeout,330,unsat,24.686
mnist-net_256x6,prop_9_0.03,random,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x6,prop_10_0.03,random,unstable,27,unsat,170.059,timeout,330,unsat,165.209
mnist-net_256x6,prop_11_0.03,random,unstable,33,unsat,27.727,sat,262.036,unsat,26.411
mnist-net_256x6,prop_12_0.03,random,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x6,prop_13_0.03,random,unstable,28,unsat,38.564,timeout,330,unsat,38.528
mnist-net_256x6,prop_14_0.03,random,unstable,28,unsat,102.598,timeout,330,unsat,157.005
mnist-net_256x6,prop_0_0.05,random,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x6,prop_1_0.05,random,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x6,prop_2_0.05,random,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x6,prop_3_0.05,random,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x6,prop_4_0.05,random,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x6,prop_5_0.05,random,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x6,prop_6_0.05,random,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x6,prop_7_0.05,random,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x6,prop_8_0.05,random,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x6,prop_9_0.05,random,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x6,prop_10_0.05,random,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x6,prop_11_0.05,random,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x6,prop_12_0.05,random,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x6,prop_13_0.05,random,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x6,prop_14_0.05,random,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
