onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
mnist-net_256x2,prop_0_0.03,reluS-,stable-,245,unsat,2.819,unsat,2.9979,unsat,2.9404
mnist-net_256x2,prop_1_0.03,reluS-,stable-,241,sat,2.002,sat,2.0928,sat,2.1073
mnist-net_256x2,prop_2_0.03,reluS-,stable-,243,sat,12.9101,timeout,330,sat,18.7216
mnist-net_256x2,prop_3_0.03,reluS-,stable-,247,unsat,2.7925,unsat,2.9,unsat,2.9065
mnist-net_256x2,prop_4_0.03,reluS-,stable-,240,unsat,4.2705,unsat,4.433,unsat,4.4308
mnist-net_256x2,prop_5_0.03,reluS-,stable-,242,unsat,2.7995,unsat,2.9622,unsat,2.9185
mnist-net_256x2,prop_6_0.03,reluS-,stable-,239,unsat,6.0676,unsat,6.7574,unsat,6.9063
mnist-net_256x2,prop_7_0.03,reluS-,stable-,249,unsat,2.9162,unsat,3.0197,unsat,3.0598
mnist-net_256x2,prop_8_0.03,reluS-,stable-,247,unsat,5.5809,unsat,6.2718,unsat,6.1088
mnist-net_256x2,prop_9_0.03,reluS-,stable-,250,unsat,2.8262,unsat,2.9754,unsat,2.9624
mnist-net_256x2,prop_10_0.03,reluS-,stable-,245,unsat,2.7924,unsat,2.9231,unsat,2.952
mnist-net_256x2,prop_11_0.03,reluS-,stable-,247,unsat,2.8466,unsat,2.9658,unsat,2.9451
mnist-net_256x2,prop_12_0.03,reluS-,stable-,251,sat,1.7555,sat,1.8385,sat,1.8535
mnist-net_256x2,prop_13_0.03,reluS-,stable-,253,unsat,2.8122,unsat,2.9238,unsat,2.9726
mnist-net_256x2,prop_14_0.03,reluS-,stable-,246,unsat,2.7979,unsat,2.9283,unsat,2.9319
mnist-net_256x2,prop_0_0.05,reluS-,stable-,241,sat,2.0624,sat,2.1923,sat,2.1793
mnist-net_256x2,prop_1_0.05,reluS-,stable-,236,sat,2.0311,sat,2.0682,sat,2.1247
mnist-net_256x2,prop_2_0.05,reluS-,stable-,240,sat,2.016,sat,2.0996,sat,2.1116
mnist-net_256x2,prop_3_0.05,reluS-,stable-,247,unsat,4.2267,unsat,4.4272,unsat,4.4546
