onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
mnist-net_256x2,prop_0_0.03,random,unstable,8,unsat,2.7835,unsat,5.1179,unsat,2.8173
mnist-net_256x2,prop_1_0.03,random,unstable,12,sat,1.9422,sat,2.0005,sat,2.0244
mnist-net_256x2,prop_2_0.03,random,unstable,11,sat,12.7571,sat,62.1435,sat,18.3213
mnist-net_256x2,prop_3_0.03,random,unstable,4,unsat,2.7415,unsat,2.8379,unsat,2.8249
mnist-net_256x2,prop_4_0.03,random,unstable,13,unsat,4.2305,unsat,5.1248,unsat,4.3019
mnist-net_256x2,prop_5_0.03,random,unstable,11,unsat,2.7487,unsat,5.1058,unsat,2.7966
mnist-net_256x2,prop_6_0.03,random,unstable,15,unsat,5.9875,unsat,8.0368,unsat,6.7182
mnist-net_256x2,prop_7_0.03,random,unstable,5,unsat,2.8288,unsat,2.8116,unsat,2.9262
mnist-net_256x2,prop_8_0.03,random,unstable,7,unsat,5.5149,unsat,7.4947,unsat,6.021
mnist-net_256x2,prop_9_0.03,random,unstable,5,unsat,2.7424,unsat,2.8304,unsat,2.8091
mnist-net_256x2,prop_10_0.03,random,unstable,9,unsat,2.7552,unsat,5.1028,unsat,2.8123
mnist-net_256x2,prop_11_0.03,random,unstable,6,unsat,2.7236,unsat,5.0794,unsat,2.8138
mnist-net_256x2,prop_12_0.03,random,unstable,5,sat,1.7072,sat,1.7482,sat,1.7633
mnist-net_256x2,prop_13_0.03,random,unstable,2,unsat,2.7551,unsat,2.7908,unsat,2.8085
mnist-net_256x2,prop_14_0.03,random,unstable,7,unsat,2.782,unsat,2.8629,unsat,2.8165
mnist-net_256x2,prop_0_0.05,random,unstable,15,sat,2.0432,sat,2.0616,sat,2.0789
mnist-net_256x2,prop_1_0.05,random,unstable,20,sat,1.9562,sat,2.0002,sat,2.0154
mnist-net_256x2,prop_2_0.05,random,unstable,16,sat,1.9409,sat,1.9971,sat,2.0015
mnist-net_256x2,prop_3_0.05,random,unstable,7,unsat,4.2391,unsat,6.2202,unsat,4.3062
mnist-net_256x2,prop_4_0.05,random,unstable,16,sat,1.9581,sat,2.0127,sat,2.0461
mnist-net_256x2,prop_5_0.05,random,unstable,14,sat,1.9503,sat,2.0225,sat,2.0158
mnist-net_256x2,prop_6_0.05,random,unstable,31,sat,1.9627,sat,2.0217,sat,2.023
mnist-net_256x2,prop_7_0.05,random,unstable,6,unsat,2.7468,unsat,4.421,unsat,2.8208
mnist-net_256x2,prop_8_0.05,random,unstable,13,sat,1.9551,sat,2.0162,sat,2.012
mnist-net_256x2,prop_9_0.05,random,unstable,8,unsat,5.906,unsat,7.3255,unsat,6.5221
