onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
mnist-net_256x2,prop_0_0.03,random,stable+,3,unsat,1.3534703254699707,unsat,3.119544744491577,unsat,1.4161708354949951
mnist-net_256x2,prop_1_0.03,random,stable+,3,sat,0.8106832504272461,sat,0.8568456172943115,sat,0.8448081016540527
mnist-net_256x2,prop_2_0.03,random,stable+,2,sat,3.962865114212036,sat,4.9146037101745605,sat,4.1159327030181885
mnist-net_256x2,prop_3_0.03,random,stable+,5,unsat,1.3689649105072021,unsat,1.4412705898284912,unsat,1.4137523174285889
mnist-net_256x2,prop_4_0.03,random,stable+,3,unsat,2.9709882736206055,unsat,3.1154377460479736,unsat,3.0525388717651367
mnist-net_256x2,prop_5_0.03,random,stable+,3,unsat,1.3314247131347656,unsat,3.134002208709717,unsat,1.4009499549865723
mnist-net_256x2,prop_6_0.03,random,stable+,2,unsat,4.795828580856323,unsat,5.233514308929443,unsat,5.060765504837036
mnist-net_256x2,prop_7_0.03,random,stable+,2,unsat,1.4566233158111572,unsat,1.5420854091644287,unsat,1.4993603229522705
mnist-net_256x2,prop_8_0.03,random,stable+,2,unsat,4.6980249881744385,unsat,4.804229259490967,unsat,4.828361749649048
mnist-net_256x2,prop_9_0.03,random,stable+,1,unsat,1.3297555446624756,unsat,1.4273324012756348,unsat,1.4037303924560547
mnist-net_256x2,prop_10_0.03,random,stable+,2,unsat,1.3514447212219238,unsat,3.0492191314697266,unsat,1.4420216083526611
mnist-net_256x2,prop_11_0.03,random,stable+,3,unsat,1.3767986297607422,unsat,1.422105312347412,unsat,1.4251909255981445
mnist-net_256x2,prop_12_0.03,random,stable+,SPLIT_FAILED,sat,0.4983828067779541,-1,-1,-1,-1, 
mnist-net_256x2,prop_13_0.03,random,stable+,1,unsat,1.3539788722991943,unsat,1.4079594612121582,unsat,1.4267151355743408
mnist-net_256x2,prop_14_0.03,random,stable+,3,unsat,1.3653321266174316,unsat,3.065829277038574,unsat,1.4272687435150146
mnist-net_256x2,prop_0_0.05,random,stable+,SPLIT_FAILED,sat,5.80499005317688,-1,-1,-1,-1, 
mnist-net_256x2,prop_1_0.05,random,stable+,SPLIT_FAILED,sat,0.7968342304229736,-1,-1,-1,-1, 
mnist-net_256x2,prop_2_0.05,random,stable+,SPLIT_FAILED,sat,0.8165977001190186,-1,-1,-1,-1, 
mnist-net_256x2,prop_3_0.05,random,stable+,2,unsat,2.966142177581787,unsat,3.1261816024780273,unsat,3.0170767307281494
mnist-net_256x2,prop_4_0.05,random,stable+,1,sat,0.8093771934509277,sat,0.8477878570556641,sat,0.8438239097595215
mnist-net_256x2,prop_5_0.05,random,stable+,1,sat,0.76837158203125,sat,0.8637659549713135,sat,0.8502404689788818
mnist-net_256x2,prop_6_0.05,random,stable+,SPLIT_FAILED,sat,0.7905144691467285,-1,-1,-1,-1, 
mnist-net_256x2,prop_7_0.05,random,stable+,2,unsat,1.3371918201446533,unsat,3.125119209289551,unsat,1.4266326427459717
mnist-net_256x2,prop_8_0.05,random,stable+,SPLIT_FAILED,sat,0.794189453125,-1,-1,-1,-1, 
mnist-net_256x2,prop_9_0.05,random,stable+,1,unsat,4.6805946826934814,unsat,5.008368968963623,unsat,4.977568626403809
mnist-net_256x2,prop_10_0.05,random,stable+,2,unsat,5.121469259262085,unsat,5.357065916061401,unsat,5.312689781188965
mnist-net_256x2,prop_11_0.05,random,stable+,2,unsat,4.665760278701782,unsat,4.962618350982666,unsat,5.014688730239868
mnist-net_256x2,prop_12_0.05,random,stable+,SPLIT_FAILED,sat,0.5247735977172852,-1,-1,-1,-1, 
mnist-net_256x2,prop_13_0.05,random,stable+,SPLIT_FAILED,unsat,3.0150487422943115,-1,-1,-1,-1, 
mnist-net_256x2,prop_14_0.05,random,stable+,2,unsat,4.571338176727295,unsat,5.002724647521973,unsat,4.922137498855591
