onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
mnist-net_256x2,prop_0_0.03,reluS+,stable+,3,unsat,2.843050003051758,unsat,2.97660231590271,unsat,2.982672691345215
mnist-net_256x2,prop_1_0.03,reluS+,stable+,3,sat,2.3353519439697266,sat,2.3477847576141357,sat,2.368428945541382
mnist-net_256x2,prop_2_0.03,reluS+,stable+,2,sat,6.127138137817383,sat,7.268528699874878,sat,6.187673807144165
mnist-net_256x2,prop_3_0.03,reluS+,stable+,5,unsat,2.880570411682129,unsat,3.0176713466644287,unsat,2.9578468799591064
mnist-net_256x2,prop_4_0.03,reluS+,stable+,3,unsat,4.570762872695923,unsat,4.645742893218994,unsat,4.6584813594818115
mnist-net_256x2,prop_5_0.03,reluS+,stable+,3,unsat,2.9171712398529053,unsat,2.948533773422241,unsat,2.9363582134246826
mnist-net_256x2,prop_6_0.03,reluS+,stable+,2,unsat,7.210749864578247,unsat,7.42551064491272,unsat,7.141634464263916
mnist-net_256x2,prop_7_0.03,reluS+,stable+,2,unsat,2.973858594894409,unsat,3.0565171241760254,unsat,3.105238199234009
mnist-net_256x2,prop_8_0.03,reluS+,stable+,2,unsat,6.7953526973724365,unsat,7.179301500320435,unsat,6.6477131843566895
mnist-net_256x2,prop_9_0.03,reluS+,stable+,1,unsat,2.8682868480682373,unsat,2.9187538623809814,unsat,2.9048516750335693
mnist-net_256x2,prop_10_0.03,reluS+,stable+,2,unsat,2.8472156524658203,unsat,2.926396608352661,unsat,2.9329638481140137
mnist-net_256x2,prop_11_0.03,reluS+,stable+,3,unsat,2.841604232788086,unsat,2.969090700149536,unsat,2.940629720687866
mnist-net_256x2,prop_12_0.03,reluS+,stable+,SPLIT_FAILED,sat,2.0777971744537354,-1,-1,-1,-1
mnist-net_256x2,prop_13_0.03,reluS+,stable+,1,unsat,2.8719542026519775,unsat,2.9279534816741943,unsat,2.941725492477417
mnist-net_256x2,prop_14_0.03,reluS+,stable+,3,unsat,2.8725528717041016,unsat,2.9663264751434326,unsat,2.9863786697387695
mnist-net_256x2,prop_0_0.05,reluS+,stable+,SPLIT_FAILED,sat,8.01698923110962,-1,-1,-1,-1
mnist-net_256x2,prop_1_0.05,reluS+,stable+,SPLIT_FAILED,sat,2.337033987045288,-1,-1,-1,-1
mnist-net_256x2,prop_2_0.05,reluS+,stable+,SPLIT_FAILED,sat,2.3561058044433594,-1,-1,-1,-1
mnist-net_256x2,prop_3_0.05,reluS+,stable+,2,unsat,4.628570079803467,unsat,4.791702747344971,unsat,4.6696555614471436
mnist-net_256x2,prop_4_0.05,reluS+,stable+,1,sat,2.3254826068878174,sat,2.405465602874756,sat,2.357426643371582
mnist-net_256x2,prop_5_0.05,reluS+,stable+,1,sat,2.3861374855041504,sat,2.3591179847717285,sat,2.5261576175689697
mnist-net_256x2,prop_6_0.05,reluS+,stable+,SPLIT_FAILED,sat,2.3252665996551514,-1,-1,-1,-1
mnist-net_256x2,prop_7_0.05,reluS+,stable+,2,unsat,2.8374996185302734,unsat,2.9791526794433594,unsat,2.9448373317718506
mnist-net_256x2,prop_8_0.05,reluS+,stable+,SPLIT_FAILED,sat,2.3596673011779785,-1,-1,-1,-1
mnist-net_256x2,prop_9_0.05,reluS+,stable+,1,unsat,6.86827278137207,unsat,7.189088582992554,unsat,7.125500679016113
mnist-net_256x2,prop_10_0.05,reluS+,stable+,2,unsat,7.259705066680908,unsat,7.5516884326934814,unsat,7.4311439990997314
mnist-net_256x2,prop_11_0.05,reluS+,stable+,2,unsat,6.675969362258911,unsat,7.109527349472046,unsat,7.239638566970825
mnist-net_256x2,prop_12_0.05,reluS+,stable+,SPLIT_FAILED,sat,2.0457262992858887,-1,-1,-1,-1
mnist-net_256x2,prop_13_0.05,reluS+,stable+,SPLIT_FAILED,unsat,4.583769083023071,-1,-1,-1,-1
mnist-net_256x2,prop_14_0.05,reluS+,stable+,2,unsat,6.685439586639404,unsat,6.2695441246032715,unsat,7.038947582244873
mnist-net_256x4,prop_0_0.03,reluS+,stable+,19,unsat,3.267671823501587,unsat,11.516371965408325,unsat,3.167348623275757
mnist-net_256x4,prop_1_0.03,reluS+,stable+,14,sat,2.191669225692749,sat,2.25738263130188,sat,2.253535270690918
mnist-net_256x4,prop_2_0.03,reluS+,stable+,16,unsat,4.7381017208099365,timeout,330,unsat,4.859863042831421
mnist-net_256x4,prop_3_0.03,reluS+,stable+,21,unsat,3.0621213912963867,unsat,5.998506307601929,unsat,3.236407518386841
