onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
mnist-net_256x2,prop_0_0.03,random,stable-,245,unsat,1.3055684566497803,unsat,1.4725091457366943,unsat,1.502115249633789
mnist-net_256x2,prop_1_0.03,random,stable-,241,sat,0.8142337799072266,sat,0.9281830787658691,sat,0.9348053932189941
mnist-net_256x2,prop_2_0.03,random,stable-,243,sat,4.079386949539185,sat,4.948338031768799,sat,4.2597267627716064
mnist-net_256x2,prop_3_0.03,random,stable-,247,unsat,1.3513503074645996,unsat,1.5029187202453613,unsat,1.473876714706421
mnist-net_256x2,prop_4_0.03,random,stable-,240,unsat,2.9933297634124756,unsat,3.0622806549072266,unsat,3.108159065246582
mnist-net_256x2,prop_5_0.03,random,stable-,242,unsat,1.3137438297271729,unsat,1.4859471321105957,unsat,1.4730708599090576
mnist-net_256x2,prop_6_0.03,random,stable-,239,unsat,4.809437036514282,unsat,6.0300374031066895,unsat,5.331611394882202
mnist-net_256x2,prop_7_0.03,random,stable-,249,unsat,1.4243171215057373,unsat,1.607222318649292,unsat,1.5618565082550049
mnist-net_256x2,prop_8_0.03,random,stable-,247,unsat,4.7357940673828125,unsat,5.695513963699341,unsat,5.0060813426971436
mnist-net_256x2,prop_9_0.03,random,stable-,250,unsat,1.3331820964813232,unsat,1.4734866619110107,unsat,1.4665541648864746
mnist-net_256x2,prop_10_0.03,random,stable-,245,unsat,1.3292686939239502,unsat,1.5104858875274658,unsat,1.476863145828247
mnist-net_256x2,prop_11_0.03,random,stable-,247,unsat,1.3263509273529053,unsat,1.4529716968536377,unsat,1.488473653793335
mnist-net_256x2,prop_12_0.03,random,stable-,251,sat,0.48739004135131836,sat,0.6144406795501709,sat,0.6289803981781006
mnist-net_256x2,prop_13_0.03,random,stable-,253,unsat,1.3536796569824219,unsat,1.4548513889312744,unsat,1.493558406829834
mnist-net_256x2,prop_14_0.03,random,stable-,246,unsat,1.322908878326416,unsat,1.502702236175537,unsat,1.4863173961639404
mnist-net_256x2,prop_0_0.05,random,stable-,241,sat,5.8627214431762695,sat,23.418253660202026,sat,6.875513553619385
mnist-net_256x2,prop_1_0.05,random,stable-,236,sat,0.803452730178833,sat,0.9170248508453369,sat,0.9168822765350342
mnist-net_256x2,prop_2_0.05,random,stable-,240,sat,0.7957425117492676,sat,0.933955192565918,sat,0.9254629611968994
mnist-net_256x2,prop_3_0.05,random,stable-,247,unsat,2.9708147048950195,unsat,3.0445210933685303,unsat,3.084357261657715
mnist-net_256x2,prop_4_0.05,random,stable-,239,sat,0.8129732608795166,sat,0.9328024387359619,sat,0.916006326675415
mnist-net_256x2,prop_5_0.05,random,stable-,241,sat,0.7881395816802979,sat,0.905428409576416,sat,0.9082074165344238
