onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
mnist-net_256x2,prop_0_0.03,random,unstable,8,unsat,1.3168222904205322,unsat,3.1971230506896973,unsat,1.400224208831787
mnist-net_256x2,prop_1_0.03,random,unstable,12,sat,0.7909598350524902,sat,0.8846433162689209,sat,0.8642878532409668
mnist-net_256x2,prop_2_0.03,random,unstable,11,sat,4.041603326797485,sat,5.211208820343018,sat,4.091943740844727
mnist-net_256x2,prop_3_0.03,random,unstable,4,unsat,1.3247826099395752,unsat,1.4099621772766113,unsat,1.4063169956207275
mnist-net_256x2,prop_4_0.03,random,unstable,13,unsat,2.990220308303833,unsat,3.1357369422912598,unsat,3.0516555309295654
mnist-net_256x2,prop_5_0.03,random,unstable,11,unsat,1.3266727924346924,unsat,3.129838705062866,unsat,1.4226055145263672
mnist-net_256x2,prop_6_0.03,random,unstable,15,unsat,4.7733635902404785,unsat,5.782010078430176,unsat,4.82390832901001
mnist-net_256x2,prop_7_0.03,random,unstable,5,unsat,1.4392693042755127,unsat,1.4335088729858398,unsat,1.535954236984253
mnist-net_256x2,prop_8_0.03,random,unstable,7,unsat,4.6797754764556885,unsat,5.47381854057312,unsat,4.812270641326904
mnist-net_256x2,prop_9_0.03,random,unstable,5,unsat,1.367931604385376,unsat,3.1043217182159424,unsat,1.4001133441925049
mnist-net_256x2,prop_10_0.03,random,unstable,9,unsat,1.3179328441619873,unsat,1.4232733249664307,unsat,1.4060006141662598
mnist-net_256x2,prop_11_0.03,random,unstable,6,unsat,1.353940725326538,unsat,1.444901704788208,unsat,1.4255378246307373
mnist-net_256x2,prop_12_0.03,random,unstable,5,sat,0.477736234664917,sat,0.5609135627746582,sat,0.5382564067840576
mnist-net_256x2,prop_13_0.03,random,unstable,2,unsat,1.3226640224456787,unsat,1.4334986209869385,unsat,1.4194867610931396
mnist-net_256x2,prop_14_0.03,random,unstable,7,unsat,1.310436487197876,unsat,1.4204156398773193,unsat,1.3958752155303955
mnist-net_256x2,prop_0_0.05,random,unstable,15,sat,5.844799041748047,sat,8.238631248474121,sat,6.419885158538818
mnist-net_256x2,prop_1_0.05,random,unstable,20,sat,0.7968628406524658,sat,0.8617126941680908,sat,0.840672492980957
mnist-net_256x2,prop_2_0.05,random,unstable,16,sat,0.7910904884338379,sat,0.8617603778839111,sat,0.8404538631439209
mnist-net_256x2,prop_3_0.05,random,unstable,7,unsat,2.9401049613952637,unsat,5.342175483703613,unsat,3.0418624877929688
mnist-net_256x2,prop_4_0.05,random,unstable,16,sat,0.7877323627471924,sat,0.8479950428009033,sat,0.8677623271942139
mnist-net_256x2,prop_5_0.05,random,unstable,14,sat,0.7938885688781738,sat,0.8494076728820801,sat,0.8759143352508545
mnist-net_256x2,prop_6_0.05,random,unstable,31,sat,0.7787985801696777,sat,0.8568882942199707,sat,0.8383584022521973
mnist-net_256x2,prop_7_0.05,random,unstable,6,unsat,1.3629162311553955,unsat,3.2652182579040527,unsat,1.3976547718048096
mnist-net_256x2,prop_8_0.05,random,unstable,13,sat,0.7937536239624023,sat,0.8712053298950195,sat,0.8395035266876221
mnist-net_256x2,prop_9_0.05,random,unstable,8,unsat,4.674423933029175,unsat,5.525134801864624,unsat,4.6887288093566895
mnist-net_256x2,prop_10_0.05,random,unstable,14,unsat,5.082727670669556,unsat,5.840121507644653,unsat,5.214235305786133
mnist-net_256x2,prop_11_0.05,random,unstable,8,unsat,4.614414215087891,unsat,5.372628927230835,unsat,4.994213581085205
mnist-net_256x2,prop_12_0.05,random,unstable,8,sat,0.49747800827026367,sat,0.5460164546966553,sat,0.5845952033996582
mnist-net_256x2,prop_13_0.05,random,unstable,5,unsat,2.9784085750579834,unsat,3.2862181663513184,unsat,3.1139001846313477
mnist-net_256x2,prop_14_0.05,random,unstable,10,unsat,4.541671514511108,unsat,5.397521257400513,unsat,4.949794292449951
mnist-net_256x4,prop_0_0.03,random,unstable,26,unsat,1.5654659271240234,unsat,3.8024649620056152,unsat,1.6324028968811035
mnist-net_256x4,prop_1_0.03,random,unstable,31,sat,0.6262979507446289,sat,0.6759309768676758,sat,0.6842489242553711
mnist-net_256x4,prop_2_0.03,random,unstable,31,unsat,3.1180596351623535,unsat,306.3096876144409,unsat,3.286355495452881
mnist-net_256x4,prop_3_0.03,random,unstable,17,unsat,1.542222499847412,unsat,1.5812790393829346,unsat,1.6819758415222168
