onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
mnist-net_256x2,prop_0_0.03,reluS-,unstable,8,unsat,1.3433494567871094,unsat,1.4260380268096924,unsat,1.4160332679748535
mnist-net_256x2,prop_1_0.03,reluS-,unstable,12,sat,0.7849934101104736,sat,0.8599019050598145,sat,0.8671169281005859
mnist-net_256x2,prop_2_0.03,reluS-,unstable,11,sat,4.027910470962524,sat,4.674349784851074,sat,4.1263227462768555
mnist-net_256x2,prop_3_0.03,reluS-,unstable,4,unsat,1.3217673301696777,unsat,1.41853666305542,unsat,1.4168357849121094
mnist-net_256x2,prop_4_0.03,reluS-,unstable,13,unsat,2.96317982673645,unsat,3.113377332687378,unsat,3.0744855403900146
mnist-net_256x2,prop_5_0.03,reluS-,unstable,11,unsat,1.340721607208252,unsat,3.0250773429870605,unsat,1.3917255401611328
mnist-net_256x2,prop_6_0.03,reluS-,unstable,15,unsat,4.788581848144531,unsat,5.729562759399414,unsat,5.1753973960876465
mnist-net_256x2,prop_7_0.03,reluS-,unstable,5,unsat,1.4336276054382324,unsat,1.523484468460083,unsat,1.5417819023132324
mnist-net_256x2,prop_8_0.03,reluS-,unstable,7,unsat,4.699856519699097,unsat,4.920662879943848,unsat,4.8675618171691895
mnist-net_256x2,prop_9_0.03,reluS-,unstable,5,unsat,1.3549602031707764,unsat,1.4134979248046875,unsat,1.4060108661651611
mnist-net_256x2,prop_10_0.03,reluS-,unstable,9,unsat,1.2987980842590332,unsat,1.4392485618591309,unsat,1.4081830978393555
mnist-net_256x2,prop_11_0.03,reluS-,unstable,6,unsat,1.3403592109680176,unsat,1.4009966850280762,unsat,1.4211277961730957
mnist-net_256x2,prop_12_0.03,reluS-,unstable,5,sat,0.5104799270629883,sat,0.5618534088134766,sat,0.5548553466796875
mnist-net_256x2,prop_13_0.03,reluS-,unstable,2,unsat,1.3517522811889648,unsat,1.4262628555297852,unsat,1.4210662841796875
mnist-net_256x2,prop_14_0.03,reluS-,unstable,7,unsat,1.3429439067840576,unsat,1.4257595539093018,unsat,1.4214210510253906
mnist-net_256x2,prop_0_0.05,reluS-,unstable,15,sat,5.847933053970337,sat,7.836145401000977,sat,6.186308860778809
mnist-net_256x2,prop_1_0.05,reluS-,unstable,20,sat,0.8096764087677002,sat,0.8534550666809082,sat,0.8692893981933594
mnist-net_256x2,prop_2_0.05,reluS-,unstable,16,sat,0.7755424976348877,sat,0.8562581539154053,sat,0.8537387847900391
mnist-net_256x2,prop_3_0.05,reluS-,unstable,7,unsat,2.9650065898895264,unsat,3.04868221282959,unsat,3.0130228996276855
mnist-net_256x2,prop_4_0.05,reluS-,unstable,16,sat,0.7743878364562988,sat,0.8522040843963623,sat,0.8586573600769043
mnist-net_256x2,prop_5_0.05,reluS-,unstable,14,sat,0.7793278694152832,sat,0.8579936027526855,sat,0.8675961494445801
mnist-net_256x2,prop_6_0.05,reluS-,unstable,31,sat,0.8077008724212646,sat,0.8589131832122803,sat,0.8545541763305664
mnist-net_256x2,prop_7_0.05,reluS-,unstable,6,unsat,1.3545520305633545,unsat,1.430274248123169,unsat,1.4119324684143066
mnist-net_256x2,prop_8_0.05,reluS-,unstable,13,sat,0.771291971206665,sat,0.8690564632415771,sat,0.8472294807434082
mnist-net_256x2,prop_9_0.05,reluS-,unstable,8,unsat,4.708112001419067,unsat,5.52606201171875,unsat,5.0142128467559814
mnist-net_256x2,prop_10_0.05,reluS-,unstable,14,unsat,5.1189048290252686,unsat,5.0196099281311035,unsat,5.289720058441162
mnist-net_256x2,prop_11_0.05,reluS-,unstable,8,unsat,4.69496488571167,unsat,5.140265226364136,unsat,4.981123208999634
mnist-net_256x2,prop_12_0.05,reluS-,unstable,8,sat,0.5063073635101318,sat,0.5711216926574707,sat,0.544966459274292
mnist-net_256x2,prop_13_0.05,reluS-,unstable,5,unsat,2.999847173690796,unsat,3.1791625022888184,unsat,3.043734073638916
mnist-net_256x2,prop_14_0.05,reluS-,unstable,10,unsat,4.59380316734314,unsat,4.308375835418701,unsat,4.673976182937622
mnist-net_256x4,prop_0_0.03,reluS-,unstable,26,unsat,1.5197160243988037,unsat,1.5646672248840332,unsat,1.6764287948608398
mnist-net_256x4,prop_1_0.03,reluS-,unstable,31,sat,0.6188778877258301,sat,0.6993436813354492,sat,0.7044413089752197
mnist-net_256x4,prop_2_0.03,reluS-,unstable,31,unsat,3.154480218887329,unsat,10.999212980270386,unsat,3.2688069343566895
mnist-net_256x4,prop_3_0.03,reluS-,unstable,17,unsat,1.5978763103485107,unsat,1.496377944946289,unsat,1.6683454513549805
mnist-net_256x4,prop_4_0.03,reluS-,unstable,33,unsat,1.4762623310089111,unsat,3.4600820541381836,unsat,1.523179054260254
mnist-net_256x4,prop_5_0.03,reluS-,unstable,31,unsat,1.4739305973052979,unsat,1.6872999668121338,unsat,1.5845091342926025
mnist-net_256x4,prop_6_0.03,reluS-,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_7_0.03,reluS-,unstable,21,unsat,1.437089204788208,unsat,3.4053635597229004,unsat,1.5206727981567383
mnist-net_256x4,prop_8_0.03,reluS-,unstable,29,unsat,29.82591438293457,unsat,97.64753651618958,unsat,31.570823431015015
mnist-net_256x4,prop_9_0.03,reluS-,unstable,23,unsat,1.4668068885803223,unsat,3.404320001602173,unsat,1.5609896183013916
mnist-net_256x4,prop_10_0.03,reluS-,unstable,21,unsat,1.4417152404785156,unsat,1.5849189758300781,unsat,1.513016939163208
mnist-net_256x4,prop_11_0.03,reluS-,unstable,24,unsat,1.445016622543335,unsat,1.5152864456176758,unsat,1.5459682941436768
mnist-net_256x4,prop_12_0.03,reluS-,unstable,16,unsat,1.462383508682251,unsat,3.237600088119507,unsat,1.5835850238800049
mnist-net_256x4,prop_13_0.03,reluS-,unstable,25,unsat,1.4134485721588135,unsat,1.576871633529663,unsat,1.574162244796753
mnist-net_256x4,prop_14_0.03,reluS-,unstable,23,unsat,1.5522234439849854,unsat,1.695101022720337,unsat,1.677469253540039
mnist-net_256x4,prop_0_0.05,reluS-,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_1_0.05,reluS-,unstable,52,sat,0.622856855392456,sat,0.6855685710906982,sat,0.7035932540893555
mnist-net_256x4,prop_2_0.05,reluS-,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_3_0.05,reluS-,unstable,33,unsat,17.773796558380127,unsat,126.44632697105408,unsat,21.354883670806885
mnist-net_256x4,prop_4_0.05,reluS-,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_5_0.05,reluS-,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_6_0.05,reluS-,unstable,80,sat,0.645538330078125,sat,0.7154173851013184,sat,0.7061002254486084
mnist-net_256x4,prop_7_0.05,reluS-,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_8_0.05,reluS-,unstable,42,sat,0.5869534015655518,sat,0.6758317947387695,sat,0.6897444725036621
mnist-net_256x4,prop_9_0.05,reluS-,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_10_0.05,reluS-,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_11_0.05,reluS-,unstable,39,unsat,128.37317991256714,timeout,330,unsat,122.88065814971924
mnist-net_256x4,prop_12_0.05,reluS-,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_13_0.05,reluS-,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_14_0.05,reluS-,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x6,prop_0_0.03,reluS-,unstable,39,unsat,1.525040626525879,unsat,1.6384446620941162,unsat,1.6270442008972168
mnist-net_256x6,prop_1_0.03,reluS-,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x6,prop_2_0.03,reluS-,unstable,51,unsat,3.0595438480377197,unsat,31.060328006744385,unsat,3.3111538887023926
mnist-net_256x6,prop_3_0.03,reluS-,unstable,29,unsat,1.5047035217285156,unsat,1.6105451583862305,unsat,1.6026630401611328
mnist-net_256x6,prop_4_0.03,reluS-,unstable,30,unsat,1.5112738609313965,unsat,1.6285796165466309,unsat,1.6211507320404053
mnist-net_256x6,prop_5_0.03,reluS-,unstable,43,unsat,1.507554054260254,unsat,13.25950288772583,unsat,1.6058802604675293
mnist-net_256x6,prop_6_0.03,reluS-,unstable,59,sat,0.6325712203979492,sat,0.7292869091033936,sat,0.7328593730926514
mnist-net_256x6,prop_7_0.03,reluS-,unstable,25,unsat,32.67703199386597,timeout,330,unsat,39.56659936904907
mnist-net_256x6,prop_8_0.03,reluS-,unstable,20,unsat,1.639150619506836,unsat,1.6242783069610596,unsat,1.655656337738037
mnist-net_256x6,prop_9_0.03,reluS-,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x6,prop_10_0.03,reluS-,unstable,27,unsat,1.4517881870269775,unsat,1.6347198486328125,unsat,1.641294240951538
mnist-net_256x6,prop_11_0.03,reluS-,unstable,33,unsat,1.5293588638305664,unsat,1.6282000541687012,unsat,1.6227760314941406
mnist-net_256x6,prop_12_0.03,reluS-,unstable,18,unsat,3.958893299102783,unsat,9.900756359100342,unsat,4.189373970031738
