onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
mnist-net_256x2,prop_0_0.03,random,stable+,3,unsat,22.53,unsat,68.46,unsat,26.6
mnist-net_256x2,prop_1_0.03,random,stable+,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x2,prop_2_0.03,random,stable+,2,sat,76.214,sat,189.274,sat,65.548
mnist-net_256x2,prop_3_0.03,random,stable+,5,unsat,21.468,unsat,27.129,unsat,22.1
mnist-net_256x2,prop_4_0.03,random,stable+,3,unsat,40.919,unsat,108.813,unsat,22.135
mnist-net_256x2,prop_5_0.03,random,stable+,3,unsat,17.784,unsat,16.202,unsat,28.808
mnist-net_256x2,prop_6_0.03,random,stable+,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x2,prop_7_0.03,random,stable+,2,unsat,15.731,unsat,14.3,unsat,10.48
mnist-net_256x2,prop_8_0.03,random,stable+,2,unsat,31.561,timeout,330,unsat,45.936
mnist-net_256x2,prop_9_0.03,random,stable+,1,unsat,28.832,unsat,19.26,unsat,15.416
mnist-net_256x2,prop_10_0.03,random,stable+,2,unsat,16.369,unsat,29.218,unsat,22.735
mnist-net_256x2,prop_11_0.03,random,stable+,3,unsat,22.679,unsat,20.798,unsat,18.187
mnist-net_256x2,prop_12_0.03,random,stable+,SPLIT_FAILED,sat,167.048,-1,-1,-1,-1, 
mnist-net_256x2,prop_13_0.03,random,stable+,1,unsat,15.858,unsat,10.349,unsat,10.549
mnist-net_256x2,prop_14_0.03,random,stable+,3,unsat,16.473,unsat,22.823,unsat,15.208
mnist-net_256x2,prop_0_0.05,random,stable+,SPLIT_FAILED,sat,17.349,-1,-1,-1,-1, 
mnist-net_256x2,prop_1_0.05,random,stable+,SPLIT_FAILED,sat,17.677,-1,-1,-1,-1, 
mnist-net_256x2,prop_2_0.05,random,stable+,SPLIT_FAILED,sat,17.198,-1,-1,-1,-1, 
