onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
mnist-net_256x2,prop_0_0.03,random,stable+,3,unsat,2.673,unsat,4.926,unsat,2.7479
mnist-net_256x2,prop_1_0.03,random,stable+,3,sat,1.9137,sat,1.9304,sat,1.9752
mnist-net_256x2,prop_2_0.03,random,stable+,2,sat,12.4955,sat,46.568,sat,28.9067
mnist-net_256x2,prop_3_0.03,random,stable+,5,unsat,2.6706,unsat,2.7924,unsat,2.7818
mnist-net_256x2,prop_4_0.03,random,stable+,3,unsat,4.1371,unsat,4.9779,unsat,4.259
mnist-net_256x2,prop_5_0.03,random,stable+,3,unsat,2.6964,unsat,4.2049,unsat,2.752
mnist-net_256x2,prop_6_0.03,random,stable+,2,unsat,5.9365,unsat,7.1862,unsat,6.5351
mnist-net_256x2,prop_7_0.03,random,stable+,2,unsat,2.7728,unsat,2.9068,unsat,2.8536
mnist-net_256x2,prop_8_0.03,random,stable+,2,unsat,5.4633,unsat,6.7269,unsat,5.9601
mnist-net_256x2,prop_9_0.03,random,stable+,1,unsat,2.7193,unsat,2.7755,unsat,2.7907
mnist-net_256x2,prop_10_0.03,random,stable+,2,unsat,2.7174,unsat,4.3624,unsat,2.7503
mnist-net_256x2,prop_11_0.03,random,stable+,3,unsat,2.6963,unsat,2.7683,unsat,2.7485
mnist-net_256x2,prop_12_0.03,random,stable+,SPLIT_FAILED,sat,1.6825,-1,-1,-1,-1
mnist-net_256x2,prop_13_0.03,random,stable+,1,unsat,2.7022,unsat,2.7695,unsat,2.7731
mnist-net_256x2,prop_14_0.03,random,stable+,3,unsat,2.7027,unsat,4.2685,unsat,2.7511
mnist-net_256x2,prop_0_0.05,random,stable+,SPLIT_FAILED,sat,1.9773,-1,-1,-1,-1
mnist-net_256x2,prop_1_0.05,random,stable+,SPLIT_FAILED,sat,1.9164,-1,-1,-1,-1
mnist-net_256x2,prop_2_0.05,random,stable+,SPLIT_FAILED,sat,1.8955,-1,-1,-1,-1
mnist-net_256x2,prop_3_0.05,random,stable+,2,unsat,4.1383,unsat,5.0087,unsat,4.2391
mnist-net_256x2,prop_4_0.05,random,stable+,1,sat,1.9164,sat,1.9541,sat,1.9694
mnist-net_256x2,prop_5_0.05,random,stable+,1,sat,1.9196,sat,1.9328,sat,1.9556
mnist-net_256x2,prop_6_0.05,random,stable+,SPLIT_FAILED,sat,1.9004,-1,-1,-1,-1
mnist-net_256x2,prop_7_0.05,random,stable+,2,unsat,2.708,unsat,2.7498,unsat,2.7783
mnist-net_256x2,prop_8_0.05,random,stable+,SPLIT_FAILED,sat,1.8982,-1,-1,-1,-1
mnist-net_256x2,prop_9_0.05,random,stable+,1,unsat,5.8091,unsat,6.7107,unsat,6.4044
mnist-net_256x2,prop_10_0.05,random,stable+,2,unsat,6.5172,unsat,7.9383,unsat,7.3308
mnist-net_256x2,prop_11_0.05,random,stable+,2,unsat,5.8044,unsat,6.7109,unsat,6.3423
mnist-net_256x2,prop_12_0.05,random,stable+,SPLIT_FAILED,sat,1.6689,-1,-1,-1,-1
mnist-net_256x2,prop_13_0.05,random,stable+,SPLIT_FAILED,unsat,4.7404,-1,-1,-1,-1
mnist-net_256x2,prop_14_0.05,random,stable+,2,unsat,5.5766,unsat,6.407,unsat,6.0421
mnist-net_256x4,prop_0_0.03,random,stable+,19,unsat,3.0207,unsat,9.1774,unsat,3.0703
mnist-net_256x4,prop_1_0.03,random,stable+,14,sat,1.9014,sat,1.9779,sat,1.9646
mnist-net_256x4,prop_2_0.03,random,stable+,16,unsat,5.0055,unsat,38.7626,unsat,5.108
mnist-net_256x4,prop_3_0.03,random,stable+,21,unsat,2.9433,unsat,8.9657,unsat,3.0567
mnist-net_256x4,prop_4_0.03,random,stable+,11,unsat,2.7388,unsat,43.6874,unsat,2.8514
mnist-net_256x4,prop_5_0.03,random,stable+,16,unsat,2.732,unsat,5.1474,unsat,2.817
mnist-net_256x4,prop_6_0.03,random,stable+,18,unsat,83.1031,unsat,98.7541,unsat,87.5529
mnist-net_256x4,prop_7_0.03,random,stable+,12,unsat,2.7352,unsat,45.4097,unsat,2.8254
mnist-net_256x4,prop_8_0.03,random,stable+,12,unsat,18.3068,unsat,76.0016,unsat,17.8064
mnist-net_256x4,prop_9_0.03,random,stable+,14,unsat,2.7761,unsat,43.1839,unsat,2.8317
