onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
mnist-net_256x2,prop_0_0.03,reluS+,stable+,3,unsat,2.7244,unsat,2.8196,unsat,2.7983
mnist-net_256x2,prop_1_0.03,reluS+,stable+,3,sat,1.9442,sat,2.0098,sat,1.9883
mnist-net_256x2,prop_2_0.03,reluS+,stable+,2,sat,12.813,sat,21.8068,sat,27.1923
mnist-net_256x2,prop_3_0.03,reluS+,stable+,5,unsat,2.7216,unsat,2.8341,unsat,2.8267
mnist-net_256x2,prop_4_0.03,reluS+,stable+,3,unsat,4.1861,unsat,5.0442,unsat,4.327
mnist-net_256x2,prop_5_0.03,reluS+,stable+,3,unsat,2.6972,unsat,2.7971,unsat,2.8155
mnist-net_256x2,prop_6_0.03,reluS+,stable+,2,unsat,5.9628,unsat,6.7783,unsat,6.6286
mnist-net_256x2,prop_7_0.03,reluS+,stable+,2,unsat,2.8818,unsat,2.8823,unsat,2.9152
mnist-net_256x2,prop_8_0.03,reluS+,stable+,2,unsat,5.4755,unsat,6.5439,unsat,5.9878
mnist-net_256x2,prop_9_0.03,reluS+,stable+,1,unsat,2.7139,unsat,2.8333,unsat,2.804
mnist-net_256x2,prop_10_0.03,reluS+,stable+,2,unsat,2.7448,unsat,2.7551,unsat,2.804
mnist-net_256x2,prop_11_0.03,reluS+,stable+,3,unsat,2.7244,unsat,2.8006,unsat,2.8288
mnist-net_256x2,prop_12_0.03,reluS+,stable+,SPLIT_FAILED,sat,1.72,-1,-1,-1,-1, 
mnist-net_256x2,prop_13_0.03,reluS+,stable+,1,unsat,2.7477,unsat,2.8056,unsat,2.7804
mnist-net_256x2,prop_14_0.03,reluS+,stable+,3,unsat,2.7327,unsat,2.7843,unsat,2.82
mnist-net_256x2,prop_0_0.05,reluS+,stable+,SPLIT_FAILED,sat,2.0245,-1,-1,-1,-1, 
mnist-net_256x2,prop_1_0.05,reluS+,stable+,SPLIT_FAILED,sat,1.9664,-1,-1,-1,-1, 
mnist-net_256x2,prop_2_0.05,reluS+,stable+,SPLIT_FAILED,sat,1.9228,-1,-1,-1,-1, 
mnist-net_256x2,prop_3_0.05,reluS+,stable+,2,unsat,4.1816,unsat,5.0907,unsat,4.2631
mnist-net_256x2,prop_4_0.05,reluS+,stable+,1,sat,1.954,sat,2.0097,sat,2.02
mnist-net_256x2,prop_5_0.05,reluS+,stable+,1,sat,1.9337,sat,1.9827,sat,2.0261
mnist-net_256x2,prop_6_0.05,reluS+,stable+,SPLIT_FAILED,sat,1.9288,-1,-1,-1,-1, 
mnist-net_256x2,prop_7_0.05,reluS+,stable+,2,unsat,2.7024,unsat,2.8107,unsat,2.7782
mnist-net_256x2,prop_8_0.05,reluS+,stable+,SPLIT_FAILED,sat,1.9478,-1,-1,-1,-1, 
mnist-net_256x2,prop_9_0.05,reluS+,stable+,1,unsat,5.8424,unsat,6.8064,unsat,6.4562
mnist-net_256x2,prop_10_0.05,reluS+,stable+,2,unsat,6.5427,unsat,7.794,unsat,7.4698
mnist-net_256x2,prop_11_0.05,reluS+,stable+,2,unsat,5.8061,unsat,6.823,unsat,6.3812
mnist-net_256x2,prop_12_0.05,reluS+,stable+,SPLIT_FAILED,sat,1.6936,-1,-1,-1,-1, 
mnist-net_256x2,prop_13_0.05,reluS+,stable+,SPLIT_FAILED,unsat,4.7632,-1,-1,-1,-1, 
mnist-net_256x2,prop_14_0.05,reluS+,stable+,2,unsat,5.6223,unsat,6.0768,unsat,6.1192
mnist-net_256x4,prop_0_0.03,reluS+,stable+,19,unsat,2.9959,unsat,7.4519,unsat,3.1146
mnist-net_256x4,prop_1_0.03,reluS+,stable+,14,sat,1.9632,sat,1.9907,sat,1.9979
mnist-net_256x4,prop_2_0.03,reluS+,stable+,16,unsat,5.0454,unsat,40.92,unsat,5.1534
mnist-net_256x4,prop_3_0.03,reluS+,stable+,21,unsat,3.011,unsat,6.6125,unsat,3.0973
mnist-net_256x4,prop_4_0.03,reluS+,stable+,11,unsat,2.7732,unsat,47.368,unsat,2.8934
mnist-net_256x4,prop_5_0.03,reluS+,stable+,16,unsat,2.7903,unsat,2.8724,unsat,2.8557
mnist-net_256x4,prop_6_0.03,reluS+,stable+,18,unsat,84.2693,unsat,99.3005,unsat,87.706
mnist-net_256x4,prop_7_0.03,reluS+,stable+,12,unsat,2.7884,unsat,20.4469,unsat,2.8632
mnist-net_256x4,prop_8_0.03,reluS+,stable+,12,unsat,18.4001,unsat,77.7217,unsat,17.8671
mnist-net_256x4,prop_9_0.03,reluS+,stable+,14,unsat,2.7632,unsat,43.0435,unsat,2.8695
mnist-net_256x4,prop_10_0.03,reluS+,stable+,15,unsat,2.8045,unsat,9.3504,unsat,2.8263
mnist-net_256x4,prop_11_0.03,reluS+,stable+,19,unsat,2.7768,unsat,5.3988,unsat,2.8167
mnist-net_256x4,prop_12_0.03,reluS+,stable+,11,unsat,2.7356,unsat,42.9679,unsat,2.8733
mnist-net_256x4,prop_13_0.03,reluS+,stable+,9,unsat,2.7897,unsat,5.131,unsat,2.893
mnist-net_256x4,prop_14_0.03,reluS+,stable+,18,unsat,3.001,unsat,2.8518,unsat,3.0952
mnist-net_256x4,prop_0_0.05,reluS+,stable+,10,unsat,69.3626,unsat,70.3994,unsat,72.7356
mnist-net_256x4,prop_1_0.05,reluS+,stable+,10,sat,1.978,sat,2.0078,sat,1.9926
mnist-net_256x4,prop_2_0.05,reluS+,stable+,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_3_0.05,reluS+,stable+,16,unsat,11.5861,unsat,60.0153,unsat,12.6319
mnist-net_256x4,prop_4_0.05,reluS+,stable+,9,unsat,90.3408,unsat,95.5688,unsat,94.5791
mnist-net_256x4,prop_5_0.05,reluS+,stable+,6,unsat,72.4042,unsat,72.2302,unsat,77.8331
mnist-net_256x4,prop_6_0.05,reluS+,stable+,8,sat,2.1077,sat,2.048,sat,2.0579
mnist-net_256x4,prop_7_0.05,reluS+,stable+,10,unsat,64.0327,unsat,71.5029,unsat,69.0863
mnist-net_256x4,prop_8_0.05,reluS+,stable+,7,sat,1.9883,sat,2.04,sat,2.0206
mnist-net_256x4,prop_9_0.05,reluS+,stable+,6,unsat,89.4735,unsat,107.0961,unsat,93.0441
mnist-net_256x4,prop_10_0.05,reluS+,stable+,11,unsat,58.9234,unsat,64.0874,unsat,67.1237
mnist-net_256x4,prop_11_0.05,reluS+,stable+,13,unsat,49.4263,unsat,47.4548,unsat,51.6936
mnist-net_256x4,prop_12_0.05,reluS+,stable+,10,unsat,66.6872,unsat,73.5386,unsat,69.1543
mnist-net_256x4,prop_13_0.05,reluS+,stable+,6,unsat,77.9165,unsat,86.6745,unsat,73.0756
mnist-net_256x4,prop_14_0.05,reluS+,stable+,10,unsat,59.7633,unsat,52.9231,unsat,59.2319
mnist-net_256x6,prop_0_0.03,reluS+,stable+,27,unsat,2.8497,unsat,6.4221,unsat,2.9292
mnist-net_256x6,prop_1_0.03,reluS+,stable+,20,unsat,126.8496,unsat,156.1526,unsat,132.5551
mnist-net_256x6,prop_2_0.03,reluS+,stable+,25,unsat,5.1477,unsat,96.6457,unsat,5.2769
mnist-net_256x6,prop_3_0.03,reluS+,stable+,26,unsat,2.8583,unsat,5.4651,unsat,2.9451
mnist-net_256x6,prop_4_0.03,reluS+,stable+,17,unsat,2.8666,unsat,8.4607,unsat,2.9215
mnist-net_256x6,prop_5_0.03,reluS+,stable+,11,unsat,2.8743,unsat,95.4217,unsat,2.9184
mnist-net_256x6,prop_6_0.03,reluS+,stable+,21,sat,1.9711,sat,1.9934,sat,2.0182
mnist-net_256x6,prop_7_0.03,reluS+,stable+,11,unsat,47.6238,unsat,67.2136,unsat,82.5201
mnist-net_256x6,prop_8_0.03,reluS+,stable+,16,unsat,3.0941,unsat,10.4014,unsat,3.1403
mnist-net_256x6,prop_9_0.03,reluS+,stable+,10,unsat,87.5386,unsat,100.5103,unsat,92.3427
mnist-net_256x6,prop_10_0.03,reluS+,stable+,14,unsat,2.86,unsat,7.1158,unsat,2.9419
mnist-net_256x6,prop_11_0.03,reluS+,stable+,23,unsat,2.8419,unsat,64.3133,unsat,2.9349
mnist-net_256x6,prop_12_0.03,reluS+,stable+,20,unsat,5.4904,unsat,78.6358,unsat,5.6661
mnist-net_256x6,prop_13_0.03,reluS+,stable+,11,unsat,2.853,unsat,69.5922,unsat,2.9449
mnist-net_256x6,prop_14_0.03,reluS+,stable+,18,unsat,3.0924,unsat,66.6781,unsat,3.1689
mnist-net_256x6,prop_0_0.05,reluS+,stable+,21,unsat,110.251,unsat,128.3911,unsat,118.2249
mnist-net_256x6,prop_1_0.05,reluS+,stable+,11,sat,2.2225,sat,2.2869,timeout,300
mnist-net_256x6,prop_2_0.05,reluS+,stable+,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x6,prop_3_0.05,reluS+,stable+,20,unsat,117.4621,unsat,128.5811,unsat,121.2141
mnist-net_256x6,prop_4_0.05,reluS+,stable+,11,unsat,120.5997,unsat,133.2784,unsat,123.963
mnist-net_256x6,prop_5_0.05,reluS+,stable+,10,unsat,197.8336,unsat,212.4512,unsat,199.145
