onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
mnist-net_256x2,prop_0_0.03,random,stable-,245,unsat,2.7767,unsat,2.8888,unsat,2.8846
mnist-net_256x2,prop_1_0.03,random,stable-,241,sat,1.9813,sat,2.055,sat,2.0641
mnist-net_256x2,prop_2_0.03,random,stable-,243,sat,12.8981,timeout,330,sat,18.7707
mnist-net_256x2,prop_3_0.03,random,stable-,247,unsat,2.7557,unsat,2.8705,unsat,2.9116
mnist-net_256x2,prop_4_0.03,random,stable-,240,unsat,4.2571,unsat,4.4162,unsat,4.4226
mnist-net_256x2,prop_5_0.03,random,stable-,242,unsat,2.7311,unsat,2.9093,unsat,2.8636
mnist-net_256x2,prop_6_0.03,random,stable-,239,unsat,6.0783,unsat,6.8272,unsat,6.8975
mnist-net_256x2,prop_7_0.03,random,stable-,249,unsat,2.8539,unsat,3.0324,unsat,2.9996
mnist-net_256x2,prop_8_0.03,random,stable-,247,unsat,5.5602,unsat,6.229,unsat,6.1322
mnist-net_256x2,prop_9_0.03,random,stable-,250,unsat,2.7426,unsat,2.8799,unsat,2.8679
mnist-net_256x2,prop_10_0.03,random,stable-,245,unsat,2.7845,unsat,2.9118,unsat,2.9088
mnist-net_256x2,prop_11_0.03,random,stable-,247,unsat,2.7944,unsat,2.8878,unsat,2.9127
mnist-net_256x2,prop_12_0.03,random,stable-,251,sat,1.7334,sat,1.8179,sat,1.8715
mnist-net_256x2,prop_13_0.03,random,stable-,253,unsat,2.7572,unsat,2.9175,unsat,2.9218
mnist-net_256x2,prop_14_0.03,random,stable-,246,unsat,2.7865,unsat,2.9002,unsat,2.9009
mnist-net_256x2,prop_0_0.05,random,stable-,241,sat,2.0268,sat,2.1712,sat,2.1429
mnist-net_256x2,prop_1_0.05,random,stable-,236,sat,1.9586,sat,2.0582,sat,2.117
mnist-net_256x2,prop_2_0.05,random,stable-,240,sat,1.9662,sat,2.0485,sat,2.0793
mnist-net_256x2,prop_3_0.05,random,stable-,247,unsat,4.3318,unsat,4.4711,unsat,4.4519
mnist-net_256x2,prop_4_0.05,random,stable-,239,sat,2.0268,sat,2.1373,sat,2.0875
mnist-net_256x2,prop_5_0.05,random,stable-,241,sat,1.9757,sat,2.0632,sat,2.0569
mnist-net_256x2,prop_6_0.05,random,stable-,225,sat,1.9821,sat,2.1121,sat,2.0707
mnist-net_256x2,prop_7_0.05,random,stable-,248,unsat,2.7585,unsat,2.894,unsat,2.9014
mnist-net_256x2,prop_8_0.05,random,stable-,243,sat,1.9583,sat,2.0502,sat,2.0651
mnist-net_256x2,prop_9_0.05,random,stable-,247,unsat,5.8969,unsat,6.7196,unsat,7.1956
mnist-net_256x2,prop_10_0.05,random,stable-,240,unsat,6.6372,unsat,7.6379,unsat,8.0573
