onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
mnist-net_256x2,prop_0_0.03,random,unstable,8,unsat,1.4489,unsat,3.897,unsat,1.5302
mnist-net_256x2,prop_1_0.03,random,unstable,12,sat,0.6534,sat,0.6977,sat,0.6886
mnist-net_256x2,prop_2_0.03,random,unstable,11,sat,11.6235,sat,60.9719,sat,23.3356
mnist-net_256x2,prop_3_0.03,random,unstable,4,unsat,1.4444,unsat,1.5016,unsat,1.5232
mnist-net_256x2,prop_4_0.03,random,unstable,13,unsat,2.9166,unsat,3.8066,unsat,2.9995
mnist-net_256x2,prop_5_0.03,random,unstable,11,unsat,1.4422,unsat,3.725,unsat,1.5234
mnist-net_256x2,prop_6_0.03,random,unstable,15,unsat,4.7064,unsat,6.6162,unsat,5.3744
mnist-net_256x2,prop_7_0.03,random,unstable,5,unsat,1.5542,unsat,1.7427,unsat,1.5975
mnist-net_256x2,prop_8_0.03,random,unstable,7,unsat,4.2473,unsat,6.3056,unsat,4.5832
mnist-net_256x2,prop_9_0.03,random,unstable,5,unsat,1.4467,unsat,1.523,unsat,1.5208
mnist-net_256x2,prop_10_0.03,random,unstable,9,unsat,1.4295,unsat,3.7532,unsat,1.4845
mnist-net_256x2,prop_11_0.03,random,unstable,6,unsat,1.4421,unsat,1.5046,unsat,1.5284
mnist-net_256x2,prop_12_0.03,random,unstable,5,sat,0.3578,sat,0.3945,sat,0.3923
mnist-net_256x2,prop_13_0.03,random,unstable,2,unsat,1.4667,unsat,1.5417,unsat,1.5127
mnist-net_256x2,prop_14_0.03,random,unstable,7,unsat,1.4457,unsat,1.5157,unsat,1.5262
mnist-net_256x2,prop_0_0.05,random,unstable,15,sat,0.7147,sat,0.7738,sat,0.793
mnist-net_256x2,prop_1_0.05,random,unstable,20,sat,0.6395,sat,0.7014,sat,0.6922
mnist-net_256x2,prop_2_0.05,random,unstable,16,sat,0.647,sat,0.68,sat,0.6887
mnist-net_256x2,prop_3_0.05,random,unstable,7,unsat,2.9184,unsat,4.9124,unsat,3.0086
mnist-net_256x2,prop_4_0.05,random,unstable,16,sat,0.6615,sat,0.7099,sat,0.7204
mnist-net_256x2,prop_5_0.05,random,unstable,14,sat,0.6559,sat,0.686,sat,0.6845
mnist-net_256x2,prop_6_0.05,random,unstable,31,sat,0.6388,sat,0.7086,sat,0.7084
mnist-net_256x2,prop_7_0.05,random,unstable,6,unsat,1.4553,unsat,3.1269,unsat,1.5138
mnist-net_256x2,prop_8_0.05,random,unstable,13,sat,0.63,sat,0.6807,sat,0.6817
mnist-net_256x2,prop_9_0.05,random,unstable,8,unsat,4.5801,unsat,6.0701,unsat,5.1577
mnist-net_256x2,prop_10_0.05,random,unstable,14,unsat,5.3096,unsat,7.0233,unsat,6.1276
mnist-net_256x2,prop_11_0.05,random,unstable,8,unsat,4.5111,unsat,5.6572,unsat,5.0869
mnist-net_256x2,prop_12_0.05,random,unstable,8,sat,0.3433,sat,0.3856,sat,0.3981
mnist-net_256x2,prop_13_0.05,random,unstable,5,unsat,3.4216,unsat,3.9579,unsat,3.7523
mnist-net_256x2,prop_14_0.05,random,unstable,10,unsat,4.3107,unsat,5.4869,unsat,4.8405
mnist-net_256x4,prop_0_0.03,random,unstable,26,unsat,1.7311,unsat,4.1769,unsat,1.8107
