onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
mnist-net_256x2,prop_0_0.03,reluS+,unstable,8,unsat,1.4484,unsat,3.7611,unsat,1.5344
mnist-net_256x2,prop_1_0.03,reluS+,unstable,12,sat,0.6402,sat,0.7004,sat,0.6782
mnist-net_256x2,prop_2_0.03,reluS+,unstable,11,sat,11.5532,sat,43.6753,sat,16.7973
mnist-net_256x2,prop_3_0.03,reluS+,unstable,4,unsat,1.4362,unsat,1.5263,unsat,1.5264
mnist-net_256x2,prop_4_0.03,reluS+,unstable,13,unsat,2.9125,unsat,3.8151,unsat,3.0036
mnist-net_256x2,prop_5_0.03,reluS+,unstable,11,unsat,1.4588,unsat,3.7673,unsat,1.5299
mnist-net_256x2,prop_6_0.03,reluS+,unstable,15,unsat,4.6932,unsat,6.5551,unsat,5.3291
mnist-net_256x2,prop_7_0.03,reluS+,unstable,5,unsat,1.5487,unsat,1.5095,unsat,1.6203
mnist-net_256x2,prop_8_0.03,reluS+,unstable,7,unsat,4.1981,unsat,5.9116,unsat,4.6631
mnist-net_256x2,prop_9_0.03,reluS+,unstable,5,unsat,1.4669,unsat,3.015,unsat,1.5211
mnist-net_256x2,prop_10_0.03,reluS+,unstable,9,unsat,1.4562,unsat,1.5291,unsat,1.5281
mnist-net_256x2,prop_11_0.03,reluS+,unstable,6,unsat,1.441,unsat,1.4993,unsat,1.4934
mnist-net_256x2,prop_12_0.03,reluS+,unstable,5,sat,0.3477,sat,0.4022,sat,0.4073
mnist-net_256x2,prop_13_0.03,reluS+,unstable,2,unsat,1.4418,unsat,1.5336,unsat,1.5242
mnist-net_256x2,prop_14_0.03,reluS+,unstable,7,unsat,1.4446,unsat,1.5287,unsat,1.5055
mnist-net_256x2,prop_0_0.05,reluS+,unstable,15,sat,0.7282,sat,0.7792,sat,0.7701
mnist-net_256x2,prop_1_0.05,reluS+,unstable,20,sat,0.6302,sat,0.6906,sat,0.6836
mnist-net_256x2,prop_2_0.05,reluS+,unstable,16,sat,0.6254,sat,0.6893,sat,0.6818
mnist-net_256x2,prop_3_0.05,reluS+,unstable,7,unsat,2.9181,unsat,3.8264,unsat,3.0096
mnist-net_256x2,prop_4_0.05,reluS+,unstable,16,sat,0.6459,sat,0.6877,sat,0.6765
mnist-net_256x2,prop_5_0.05,reluS+,unstable,14,sat,0.6517,sat,0.7031,sat,0.6823
mnist-net_256x2,prop_6_0.05,reluS+,unstable,31,sat,0.6272,sat,0.7084,sat,0.7054
mnist-net_256x2,prop_7_0.05,reluS+,unstable,6,unsat,1.4389,unsat,3.8398,unsat,1.4995
mnist-net_256x2,prop_8_0.05,reluS+,unstable,13,sat,0.651,sat,0.6841,sat,0.6864
mnist-net_256x2,prop_9_0.05,reluS+,unstable,8,unsat,4.6052,unsat,5.7856,unsat,5.2237
mnist-net_256x2,prop_10_0.05,reluS+,unstable,14,unsat,5.2724,unsat,6.6083,unsat,6.2493
mnist-net_256x2,prop_11_0.05,reluS+,unstable,8,unsat,4.5172,unsat,5.5363,unsat,5.1043
mnist-net_256x2,prop_12_0.05,reluS+,unstable,8,sat,0.3521,sat,0.3872,sat,0.4002
mnist-net_256x2,prop_13_0.05,reluS+,unstable,5,unsat,3.4329,unsat,3.8374,unsat,3.7611
mnist-net_256x2,prop_14_0.05,reluS+,unstable,10,unsat,4.4117,unsat,5.232,unsat,4.6902
mnist-net_256x4,prop_0_0.03,reluS+,unstable,26,unsat,1.7217,unsat,4.6283,unsat,1.7993
mnist-net_256x4,prop_1_0.03,reluS+,unstable,31,sat,0.6397,sat,0.6962,sat,0.6867
mnist-net_256x4,prop_2_0.03,reluS+,unstable,31,unsat,3.745,unsat,52.8851,unsat,3.8854
mnist-net_256x4,prop_3_0.03,reluS+,unstable,17,unsat,1.7442,unsat,1.5966,unsat,1.7705
mnist-net_256x4,prop_4_0.03,reluS+,unstable,33,unsat,1.4984,unsat,46.7935,unsat,1.6142
mnist-net_256x4,prop_5_0.03,reluS+,unstable,31,unsat,1.4982,unsat,1.5931,unsat,1.5688
mnist-net_256x4,prop_6_0.03,reluS+,unstable,44,unsat,79.8144,unsat,147.1679,unsat,89.2813
mnist-net_256x4,prop_7_0.03,reluS+,unstable,21,unsat,1.5148,unsat,7.5667,unsat,1.5996
mnist-net_256x4,prop_8_0.03,reluS+,unstable,29,unsat,17.2658,unsat,79.489,unsat,17.1845
mnist-net_256x4,prop_9_0.03,reluS+,unstable,23,unsat,1.502,unsat,8.6081,unsat,1.5964
mnist-net_256x4,prop_10_0.03,reluS+,unstable,21,unsat,1.5112,unsat,4.0213,unsat,1.5665
mnist-net_256x4,prop_11_0.03,reluS+,unstable,24,unsat,1.5203,unsat,1.7874,unsat,1.5536
mnist-net_256x4,prop_12_0.03,reluS+,unstable,16,unsat,1.5101,unsat,4.8984,unsat,1.5871
mnist-net_256x4,prop_13_0.03,reluS+,unstable,25,unsat,1.5109,unsat,4.029,unsat,1.5937
mnist-net_256x4,prop_14_0.03,reluS+,unstable,23,unsat,1.7429,unsat,1.5694,unsat,1.8008
mnist-net_256x4,prop_0_0.05,reluS+,unstable,45,unsat,65.8844,unsat,94.4904,unsat,67.243
mnist-net_256x4,prop_1_0.05,reluS+,unstable,52,sat,0.6408,sat,0.6979,sat,0.7144
mnist-net_256x4,prop_2_0.05,reluS+,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_3_0.05,reluS+,unstable,33,unsat,10.4102,unsat,48.533,unsat,11.4791
mnist-net_256x4,prop_4_0.05,reluS+,unstable,42,unsat,85.0243,unsat,101.6756,unsat,87.8925
mnist-net_256x4,prop_5_0.05,reluS+,unstable,55,unsat,69.4596,unsat,75.8034,unsat,74.4679
mnist-net_256x4,prop_6_0.05,reluS+,unstable,80,sat,0.7413,sat,0.7815,sat,0.8464
mnist-net_256x4,prop_7_0.05,reluS+,unstable,31,unsat,60.2877,unsat,85.8744,unsat,64.6877
mnist-net_256x4,prop_8_0.05,reluS+,unstable,42,sat,0.6507,sat,0.7083,sat,0.7126
mnist-net_256x4,prop_9_0.05,reluS+,unstable,41,unsat,84.2511,timeout,330,unsat,87.0011
mnist-net_256x4,prop_10_0.05,reluS+,unstable,32,unsat,54.9842,unsat,62.7391,unsat,62.9933
mnist-net_256x4,prop_11_0.05,reluS+,unstable,39,unsat,45.7911,unsat,52.4752,unsat,48.7067
