onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
mnist-net_256x2,prop_0_0.03,reluS-,unstable,8,unsat,1.469,unsat,1.5382,unsat,1.534
mnist-net_256x2,prop_1_0.03,reluS-,unstable,12,sat,0.6507,sat,0.7066,sat,0.6842
mnist-net_256x2,prop_2_0.03,reluS-,unstable,11,sat,11.5395,sat,60.465,sat,13.9927
mnist-net_256x2,prop_3_0.03,reluS-,unstable,4,unsat,1.4634,unsat,1.5015,unsat,1.5266
mnist-net_256x2,prop_4_0.03,reluS-,unstable,13,unsat,2.9449,unsat,3.739,unsat,2.9906
mnist-net_256x2,prop_5_0.03,reluS-,unstable,11,unsat,1.4385,unsat,3.7454,unsat,1.5513
mnist-net_256x2,prop_6_0.03,reluS-,unstable,15,unsat,4.7268,unsat,6.2573,unsat,5.3374
mnist-net_256x2,prop_7_0.03,reluS-,unstable,5,unsat,1.5606,unsat,1.7599,unsat,1.6257
mnist-net_256x2,prop_8_0.03,reluS-,unstable,7,unsat,4.2422,unsat,5.114,unsat,4.7465
mnist-net_256x2,prop_9_0.03,reluS-,unstable,5,unsat,1.4621,unsat,1.5249,unsat,1.523
mnist-net_256x2,prop_10_0.03,reluS-,unstable,9,unsat,1.4501,unsat,1.5318,unsat,1.5119
mnist-net_256x2,prop_11_0.03,reluS-,unstable,6,unsat,1.4524,unsat,1.5275,unsat,1.5345
mnist-net_256x2,prop_12_0.03,reluS-,unstable,5,sat,0.3447,sat,0.3897,sat,0.3981
mnist-net_256x2,prop_13_0.03,reluS-,unstable,2,unsat,1.4628,unsat,1.5228,unsat,1.5569
mnist-net_256x2,prop_14_0.03,reluS-,unstable,7,unsat,1.4454,unsat,1.5123,unsat,1.5179
mnist-net_256x2,prop_0_0.05,reluS-,unstable,15,sat,0.719,sat,0.7589,sat,0.791
mnist-net_256x2,prop_1_0.05,reluS-,unstable,20,sat,0.6325,sat,0.6777,sat,0.6785
mnist-net_256x2,prop_2_0.05,reluS-,unstable,16,sat,0.6266,sat,0.6724,sat,0.7089
mnist-net_256x2,prop_3_0.05,reluS-,unstable,7,unsat,2.9288,unsat,3.7761,unsat,3.0242
mnist-net_256x2,prop_4_0.05,reluS-,unstable,16,sat,0.645,sat,0.6848,sat,0.7052
mnist-net_256x2,prop_5_0.05,reluS-,unstable,14,sat,0.6263,sat,0.7014,sat,0.6826
mnist-net_256x2,prop_6_0.05,reluS-,unstable,31,sat,0.6379,sat,0.7215,sat,0.6988
mnist-net_256x2,prop_7_0.05,reluS-,unstable,6,unsat,1.4544,unsat,1.4961,unsat,1.5399
mnist-net_256x2,prop_8_0.05,reluS-,unstable,13,sat,0.6493,sat,0.6739,sat,0.6795
mnist-net_256x2,prop_9_0.05,reluS-,unstable,8,unsat,4.608,unsat,5.8451,unsat,5.1759
mnist-net_256x2,prop_10_0.05,reluS-,unstable,14,unsat,5.3241,unsat,6.6398,unsat,6.1182
mnist-net_256x2,prop_11_0.05,reluS-,unstable,8,unsat,4.5188,unsat,5.4769,unsat,5.0972
mnist-net_256x2,prop_12_0.05,reluS-,unstable,8,sat,0.3434,sat,0.3857,sat,0.3809
mnist-net_256x2,prop_13_0.05,reluS-,unstable,5,unsat,3.4439,unsat,3.8743,unsat,3.7764
mnist-net_256x2,prop_14_0.05,reluS-,unstable,10,unsat,4.3167,unsat,4.8216,unsat,4.8579
mnist-net_256x4,prop_0_0.03,reluS-,unstable,26,unsat,1.721,unsat,1.5733,unsat,1.8008
mnist-net_256x4,prop_1_0.03,reluS-,unstable,31,sat,0.6362,sat,0.6998,sat,0.7138
mnist-net_256x4,prop_2_0.03,reluS-,unstable,31,unsat,3.7408,unsat,7.6001,unsat,3.8641
mnist-net_256x4,prop_3_0.03,reluS-,unstable,17,unsat,1.7135,unsat,1.5796,unsat,1.7639
mnist-net_256x4,prop_4_0.03,reluS-,unstable,33,unsat,1.5102,unsat,4.0572,unsat,1.5803
mnist-net_256x4,prop_5_0.03,reluS-,unstable,31,unsat,1.4649,unsat,1.7677,unsat,1.5934
mnist-net_256x4,prop_6_0.03,reluS-,unstable,44,unsat,79.8437,unsat,108.7177,unsat,85.316
mnist-net_256x4,prop_7_0.03,reluS-,unstable,21,unsat,1.4902,unsat,4.0544,unsat,1.5989
mnist-net_256x4,prop_8_0.03,reluS-,unstable,29,unsat,17.1085,unsat,83.6604,unsat,16.9559
mnist-net_256x4,prop_9_0.03,reluS-,unstable,23,unsat,1.5075,unsat,4.0867,unsat,1.5969
mnist-net_256x4,prop_10_0.03,reluS-,unstable,21,unsat,1.5025,unsat,1.584,unsat,1.5814
mnist-net_256x4,prop_11_0.03,reluS-,unstable,24,unsat,1.4968,unsat,1.5935,unsat,1.5857
mnist-net_256x4,prop_12_0.03,reluS-,unstable,16,unsat,1.4917,unsat,3.939,unsat,1.5775
mnist-net_256x4,prop_13_0.03,reluS-,unstable,25,unsat,1.4787,unsat,1.5833,unsat,1.5755
mnist-net_256x4,prop_14_0.03,reluS-,unstable,23,unsat,1.6821,unsat,1.8006,unsat,1.7886
mnist-net_256x4,prop_0_0.05,reluS-,unstable,45,unsat,65.4328,unsat,71.4453,unsat,67.1114
