onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
mnist-net_256x2,prop_0_0.03,random,stable+,3,unsat,0.9,unsat,4.2,unsat,1.4
mnist-net_256x2,prop_1_0.03,random,stable+,3,sat,7.3,sat,15.8,sat,15.3
mnist-net_256x2,prop_2_0.03,random,stable+,2,sat,3.7,sat,9.4,sat,7.8
mnist-net_256x2,prop_3_0.03,random,stable+,5,unsat,1.0,unsat,1.4,unsat,1.4
mnist-net_256x2,prop_4_0.03,random,stable+,3,unsat,1.0,unsat,4.3,unsat,1.5
mnist-net_256x2,prop_5_0.03,random,stable+,3,unsat,1.0,unsat,4.3,unsat,1.5
mnist-net_256x2,prop_6_0.03,random,stable+,2,unsat,9.8,unsat,22.3,unsat,15.7
mnist-net_256x2,prop_7_0.03,random,stable+,2,unsat,1.0,unsat,1.5,unsat,1.5
mnist-net_256x2,prop_8_0.03,random,stable+,2,unsat,3.7,unsat,12.0,unsat,8.4
mnist-net_256x2,prop_9_0.03,random,stable+,1,unsat,1.0,unsat,1.5,unsat,1.5
mnist-net_256x2,prop_10_0.03,random,stable+,2,unsat,1.0,unsat,4.4,unsat,1.5
mnist-net_256x2,prop_11_0.03,random,stable+,3,unsat,1.0,unsat,1.5,unsat,1.5
mnist-net_256x2,prop_12_0.03,random,stable+,SPLIT_FAILED,sat,1.0,-1,-1,-1,-1, 
mnist-net_256x2,prop_13_0.03,random,stable+,1,unsat,1.0,unsat,1.5,unsat,1.4
mnist-net_256x2,prop_14_0.03,random,stable+,3,unsat,1.0,unsat,1.5,unsat,1.5
mnist-net_256x2,prop_0_0.05,random,stable+,SPLIT_FAILED,sat,2.5,-1,-1,-1,-1, 
mnist-net_256x2,prop_1_0.05,random,stable+,SPLIT_FAILED,sat,2.6,-1,-1,-1,-1, 
mnist-net_256x2,prop_2_0.05,random,stable+,SPLIT_FAILED,sat,2.6,-1,-1,-1,-1, 
mnist-net_256x2,prop_3_0.05,random,stable+,2,unsat,1.6,unsat,4.3,unsat,4.2
mnist-net_256x2,prop_4_0.05,random,stable+,1,sat,18.1,sat,46.4,sat,33.6
mnist-net_256x2,prop_5_0.05,random,stable+,1,sat,8.3,sat,18.7,sat,13.8
mnist-net_256x2,prop_6_0.05,random,stable+,SPLIT_FAILED,sat,24.6,-1,-1,-1,-1, 
mnist-net_256x2,prop_7_0.05,random,stable+,2,unsat,1.7,unsat,4.3,unsat,4.2
mnist-net_256x2,prop_8_0.05,random,stable+,SPLIT_FAILED,sat,2.5,-1,-1,-1,-1, 
mnist-net_256x2,prop_9_0.05,random,stable+,1,unsat,5.8,unsat,14.0,unsat,12.1
mnist-net_256x2,prop_10_0.05,random,stable+,2,unsat,14.5,unsat,26.1,unsat,22.8
mnist-net_256x2,prop_11_0.05,random,stable+,2,unsat,4.9,unsat,12.8,unsat,11.1
mnist-net_256x2,prop_12_0.05,random,stable+,SPLIT_FAILED,sat,1.0,-1,-1,-1,-1, 
mnist-net_256x2,prop_13_0.05,random,stable+,SPLIT_FAILED,unsat,1.7,-1,-1,-1,-1, 
mnist-net_256x2,prop_14_0.05,random,stable+,2,unsat,4.9,unsat,14.7,unsat,11.3
mnist-net_256x4,prop_0_0.03,random,stable+,19,unsat,1.0,error,-1,unsat,1.8
mnist-net_256x4,prop_1_0.03,random,stable+,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_2_0.03,random,stable+,16,unsat,5.5,timeout,330,unsat,10.9
mnist-net_256x4,prop_3_0.03,random,stable+,21,unsat,1.0,unsat,26.6,unsat,1.8
mnist-net_256x4,prop_4_0.03,random,stable+,11,unsat,5.5,unsat,80.67,unsat,10.5
mnist-net_256x4,prop_5_0.03,random,stable+,16,unsat,1.0,unsat,11.0,unsat,1.8
mnist-net_256x4,prop_6_0.03,random,stable+,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_7_0.03,random,stable+,12,unsat,4.6,unsat,121.67,unsat,9.9
mnist-net_256x4,prop_8_0.03,random,stable+,12,unsat,39.5,error,-1,unsat,58.0
mnist-net_256x4,prop_9_0.03,random,stable+,14,unsat,4.8,error,-1,unsat,10.2
mnist-net_256x4,prop_10_0.03,random,stable+,15,unsat,1.0,unsat,44.3,unsat,1.8
mnist-net_256x4,prop_11_0.03,random,stable+,19,unsat,1.0,unsat,24.3,unsat,1.8
mnist-net_256x4,prop_12_0.03,random,stable+,11,unsat,4.4,unsat,55.8,unsat,9.7
mnist-net_256x4,prop_13_0.03,random,stable+,9,unsat,1.0,unsat,10.8,unsat,1.8
mnist-net_256x4,prop_14_0.03,random,stable+,18,unsat,1.0,unsat,10.7,unsat,1.8
mnist-net_256x4,prop_0_0.05,random,stable+,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_1_0.05,random,stable+,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_2_0.05,random,stable+,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_3_0.05,random,stable+,16,unsat,17.2,timeout,330,unsat,28.8
mnist-net_256x4,prop_4_0.05,random,stable+,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_5_0.05,random,stable+,6,unsat,231.56,timeout,330,unsat,257.94
mnist-net_256x4,prop_6_0.05,random,stable+,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_7_0.05,random,stable+,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_8_0.05,random,stable+,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_9_0.05,random,stable+,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_10_0.05,random,stable+,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_11_0.05,random,stable+,13,unsat,88.44,timeout,330,error,-1
mnist-net_256x4,prop_12_0.05,random,stable+,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_13_0.05,random,stable+,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_14_0.05,random,stable+,10,unsat,50.3,timeout,330,unsat,61.3
mnist-net_256x6,prop_0_0.03,random,stable+,27,unsat,1.0,unsat,65.85,unsat,2.0
mnist-net_256x6,prop_1_0.03,random,stable+,SKIPPED,error,-1,-1,-1,-1,-1
mnist-net_256x6,prop_2_0.03,random,stable+,25,unsat,10.9,timeout,330,unsat,19.2
mnist-net_256x6,prop_3_0.03,random,stable+,26,unsat,1.0,unsat,20.9,unsat,2.1
mnist-net_256x6,prop_4_0.03,random,stable+,17,unsat,1.0,error,-1,unsat,2.1
mnist-net_256x6,prop_5_0.03,random,stable+,11,unsat,10.9,timeout,330,unsat,20.8
mnist-net_256x6,prop_6_0.03,random,stable+,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x6,prop_7_0.03,random,stable+,11,unsat,40.7,timeout,330,unsat,63.71
mnist-net_256x6,prop_8_0.03,random,stable+,16,unsat,1.0,unsat,51.0,unsat,2.1
mnist-net_256x6,prop_9_0.03,random,stable+,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x6,prop_10_0.03,random,stable+,14,unsat,1.0,unsat,47.7,unsat,2.1
mnist-net_256x6,prop_11_0.03,random,stable+,23,unsat,1.0,timeout,330,unsat,2.0
mnist-net_256x6,prop_12_0.03,random,stable+,20,unsat,18.4,timeout,330,unsat,34.4
mnist-net_256x6,prop_13_0.03,random,stable+,11,unsat,9.1,timeout,330,unsat,18.4
