onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
mnist-net_256x2,prop_0_0.03,reluS+,stable+,3,unsat,1.0,unsat,4.6,unsat,1.5
mnist-net_256x2,prop_1_0.03,reluS+,stable+,3,sat,7.9,sat,15.0,sat,14.9
mnist-net_256x2,prop_2_0.03,reluS+,stable+,2,sat,3.8,sat,9.7,sat,8.1
mnist-net_256x2,prop_3_0.03,reluS+,stable+,5,unsat,1.0,unsat,1.5,unsat,1.5
mnist-net_256x2,prop_4_0.03,reluS+,stable+,3,unsat,1.0,unsat,4.6,unsat,1.5
mnist-net_256x2,prop_5_0.03,reluS+,stable+,3,unsat,1.0,unsat,4.5,unsat,1.5
mnist-net_256x2,prop_6_0.03,reluS+,stable+,2,unsat,10.0,unsat,26.3,unsat,17.9
mnist-net_256x2,prop_7_0.03,reluS+,stable+,2,unsat,1.0,unsat,1.5,unsat,1.5
mnist-net_256x2,prop_8_0.03,reluS+,stable+,2,unsat,3.8,unsat,10.8,unsat,9.0
mnist-net_256x2,prop_9_0.03,reluS+,stable+,1,unsat,1.0,unsat,1.5,unsat,1.5
mnist-net_256x2,prop_10_0.03,reluS+,stable+,2,unsat,1.0,unsat,1.5,unsat,1.5
mnist-net_256x2,prop_11_0.03,reluS+,stable+,3,unsat,1.0,unsat,1.5,unsat,1.5
mnist-net_256x2,prop_12_0.03,reluS+,stable+,SPLIT_FAILED,sat,1.0,-1,-1,-1,-1, 
mnist-net_256x2,prop_13_0.03,reluS+,stable+,1,unsat,1.0,unsat,1.5,unsat,1.5
mnist-net_256x2,prop_14_0.03,reluS+,stable+,3,unsat,1.0,unsat,1.5,unsat,1.4
mnist-net_256x2,prop_0_0.05,reluS+,stable+,SPLIT_FAILED,sat,2.6,-1,-1,-1,-1, 
mnist-net_256x2,prop_1_0.05,reluS+,stable+,SPLIT_FAILED,sat,2.7,-1,-1,-1,-1, 
