onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
mnist-net_256x2,prop_0_0.03,random,stable-,245,unsat,1.0,unsat,1.5,unsat,1.5
mnist-net_256x2,prop_1_0.03,random,stable-,241,sat,7.7,timeout,330,sat,15.9
mnist-net_256x2,prop_2_0.03,random,stable-,243,sat,3.8,timeout,330,sat,8.8
mnist-net_256x2,prop_3_0.03,random,stable-,247,unsat,1.0,unsat,1.5,unsat,1.5
mnist-net_256x2,prop_4_0.03,random,stable-,240,unsat,1.0,unsat,1.5,unsat,1.5
mnist-net_256x2,prop_5_0.03,random,stable-,242,unsat,0.9,unsat,1.6,unsat,1.5
mnist-net_256x2,prop_6_0.03,random,stable-,239,unsat,10.0,timeout,330,unsat,22.1
mnist-net_256x2,prop_7_0.03,random,stable-,249,unsat,1.0,unsat,1.5,unsat,1.5
mnist-net_256x2,prop_8_0.03,random,stable-,247,unsat,3.7,timeout,330,unsat,9.7
mnist-net_256x2,prop_9_0.03,random,stable-,250,unsat,1.0,unsat,1.6,unsat,1.5
mnist-net_256x2,prop_10_0.03,random,stable-,245,unsat,1.0,unsat,1.5,unsat,1.5
mnist-net_256x2,prop_11_0.03,random,stable-,247,unsat,1.0,unsat,1.5,unsat,1.5
mnist-net_256x2,prop_12_0.03,random,stable-,251,sat,1.0,sat,1.5,sat,1.5
mnist-net_256x2,prop_13_0.03,random,stable-,253,unsat,1.0,unsat,1.5,unsat,1.5
mnist-net_256x2,prop_14_0.03,random,stable-,246,unsat,1.0,unsat,1.5,unsat,1.5
mnist-net_256x2,prop_0_0.05,random,stable-,241,sat,2.6,sat,140.34,sat,6.4
mnist-net_256x2,prop_1_0.05,random,stable-,236,sat,2.9,sat,140.66,sat,6.8
mnist-net_256x2,prop_2_0.05,random,stable-,240,sat,2.6,sat,141.72,sat,6.1
mnist-net_256x2,prop_3_0.05,random,stable-,247,unsat,1.8,unsat,37.5,unsat,5.0
mnist-net_256x2,prop_4_0.05,random,stable-,239,sat,21.1,timeout,330,sat,48.9
mnist-net_256x2,prop_5_0.05,random,stable-,241,sat,8.4,timeout,330,sat,22.5
