onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
mnist-net_256x2,prop_0_0.03,reluS-,stable-,245,unsat,1.0,unsat,1.5,unsat,1.5
mnist-net_256x2,prop_1_0.03,reluS-,stable-,241,sat,7.7,timeout,330,sat,18.5
mnist-net_256x2,prop_2_0.03,reluS-,stable-,243,sat,3.8,sat,126.28,sat,9.0
mnist-net_256x2,prop_3_0.03,reluS-,stable-,247,unsat,1.0,unsat,1.5,unsat,1.5
mnist-net_256x2,prop_4_0.03,reluS-,stable-,240,unsat,1.0,unsat,1.5,unsat,1.5
mnist-net_256x2,prop_5_0.03,reluS-,stable-,242,unsat,1.0,unsat,1.5,unsat,1.5
mnist-net_256x2,prop_6_0.03,reluS-,stable-,239,unsat,10.0,timeout,330,unsat,25.9
mnist-net_256x2,prop_7_0.03,reluS-,stable-,249,unsat,1.0,unsat,1.5,unsat,1.5
mnist-net_256x2,prop_8_0.03,reluS-,stable-,247,unsat,3.7,timeout,330,unsat,9.8
mnist-net_256x2,prop_9_0.03,reluS-,stable-,250,unsat,1.0,unsat,1.5,unsat,1.5
mnist-net_256x2,prop_10_0.03,reluS-,stable-,245,unsat,1.0,unsat,1.5,unsat,1.5
mnist-net_256x2,prop_11_0.03,reluS-,stable-,247,unsat,1.0,unsat,1.5,unsat,1.5
mnist-net_256x2,prop_12_0.03,reluS-,stable-,251,sat,1.0,sat,1.5,sat,1.5
mnist-net_256x2,prop_13_0.03,reluS-,stable-,253,unsat,1.0,unsat,1.5,unsat,1.5
mnist-net_256x2,prop_14_0.03,reluS-,stable-,246,unsat,1.0,unsat,1.5,unsat,1.5
mnist-net_256x2,prop_0_0.05,reluS-,stable-,241,sat,2.6,sat,67.31,sat,6.5
mnist-net_256x2,prop_1_0.05,reluS-,stable-,236,sat,2.8,sat,67.95,sat,6.4
mnist-net_256x2,prop_2_0.05,reluS-,stable-,240,sat,2.6,sat,65.89,sat,6.3
mnist-net_256x2,prop_3_0.05,reluS-,stable-,247,unsat,1.8,unsat,20.7,unsat,5.0
mnist-net_256x2,prop_4_0.05,reluS-,stable-,239,sat,19.3,timeout,330,sat,85.88
mnist-net_256x2,prop_5_0.05,reluS-,stable-,241,sat,8.3,timeout,330,sat,22.6
mnist-net_256x2,prop_6_0.05,reluS-,stable-,225,sat,25.0,timeout,330,sat,78.03
mnist-net_256x2,prop_7_0.05,reluS-,stable-,248,unsat,1.6,unsat,14.2,unsat,4.6
mnist-net_256x2,prop_8_0.05,reluS-,stable-,243,sat,2.5,sat,59.2,sat,6.0
mnist-net_256x2,prop_9_0.05,reluS-,stable-,247,unsat,5.6,timeout,330,unsat,15.5
mnist-net_256x2,prop_10_0.05,reluS-,stable-,240,unsat,14.7,timeout,330,unsat,31.3
mnist-net_256x2,prop_11_0.05,reluS-,stable-,246,unsat,4.8,timeout,330,unsat,12.7
mnist-net_256x2,prop_12_0.05,reluS-,stable-,248,sat,1.0,sat,1.5,sat,1.5
mnist-net_256x2,prop_13_0.05,reluS-,stable-,251,unsat,1.7,unsat,36.0,unsat,4.8
mnist-net_256x2,prop_14_0.05,reluS-,stable-,244,unsat,5.0,timeout,330,unsat,13.3
mnist-net_256x4,prop_0_0.03,reluS-,stable-,211,unsat,1.0,unsat,1.8,unsat,1.8
mnist-net_256x4,prop_1_0.03,reluS-,stable-,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_2_0.03,reluS-,stable-,209,unsat,5.3,unsat,58.2,unsat,12.0
mnist-net_256x4,prop_3_0.03,reluS-,stable-,218,unsat,1.0,unsat,1.8,unsat,1.8
mnist-net_256x4,prop_4_0.03,reluS-,stable-,212,unsat,5.1,unsat,55.7,unsat,11.7
mnist-net_256x4,prop_5_0.03,reluS-,stable-,209,unsat,1.0,unsat,1.8,unsat,1.8
mnist-net_256x4,prop_6_0.03,reluS-,stable-,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_7_0.03,reluS-,stable-,223,unsat,4.7,unsat,36.7,unsat,10.5
mnist-net_256x4,prop_8_0.03,reluS-,stable-,215,unsat,40.3,timeout,330,unsat,107.48
mnist-net_256x4,prop_9_0.03,reluS-,stable-,219,unsat,4.8,unsat,44.2,unsat,10.9
mnist-net_256x4,prop_10_0.03,reluS-,stable-,220,unsat,1.0,unsat,1.9,unsat,1.8
mnist-net_256x4,prop_11_0.03,reluS-,stable-,213,unsat,1.0,unsat,1.8,unsat,1.8
mnist-net_256x4,prop_12_0.03,reluS-,stable-,229,unsat,4.4,unsat,38.4,unsat,10.2
mnist-net_256x4,prop_13_0.03,reluS-,stable-,222,unsat,1.0,unsat,1.9,unsat,1.8
mnist-net_256x4,prop_14_0.03,reluS-,stable-,215,unsat,1.0,unsat,1.8,unsat,1.8
mnist-net_256x4,prop_0_0.05,reluS-,stable-,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_1_0.05,reluS-,stable-,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_2_0.05,reluS-,stable-,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_3_0.05,reluS-,stable-,207,unsat,16.9,timeout,330,unsat,42.0
mnist-net_256x4,prop_4_0.05,reluS-,stable-,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_5_0.05,reluS-,stable-,195,unsat,234.39,timeout,330,timeout,300
mnist-net_256x4,prop_6_0.05,reluS-,stable-,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_7_0.05,reluS-,stable-,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_8_0.05,reluS-,stable-,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_9_0.05,reluS-,stable-,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_10_0.05,reluS-,stable-,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_11_0.05,reluS-,stable-,204,unsat,87.6,timeout,330,error,-1
mnist-net_256x4,prop_12_0.05,reluS-,stable-,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_13_0.05,reluS-,stable-,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_14_0.05,reluS-,stable-,204,unsat,50.8,timeout,330,unsat,116.37
mnist-net_256x6,prop_0_0.03,reluS-,stable-,190,unsat,1.0,unsat,2.1,unsat,2.1
