onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
mnist-net_256x2,prop_0_0.03,random,unstable,8,unsat,1.0,unsat,1.5,unsat,1.5
mnist-net_256x2,prop_1_0.03,random,unstable,12,sat,9.1,sat,26.4,sat,15.5
mnist-net_256x2,prop_2_0.03,random,unstable,11,sat,3.8,sat,16.1,sat,8.0
mnist-net_256x2,prop_3_0.03,random,unstable,4,unsat,1.0,unsat,1.5,unsat,1.5
mnist-net_256x2,prop_4_0.03,random,unstable,13,unsat,1.0,unsat,4.7,unsat,1.5
mnist-net_256x2,prop_5_0.03,random,unstable,11,unsat,1.0,unsat,1.5,unsat,1.5
mnist-net_256x2,prop_6_0.03,random,unstable,15,unsat,10.0,timeout,330,unsat,18.1
mnist-net_256x2,prop_7_0.03,random,unstable,5,unsat,1.0,unsat,1.5,unsat,1.5
mnist-net_256x2,prop_8_0.03,random,unstable,7,unsat,3.7,unsat,25.4,unsat,8.8
mnist-net_256x2,prop_9_0.03,random,unstable,5,unsat,1.0,unsat,1.5,unsat,1.4
mnist-net_256x2,prop_10_0.03,random,unstable,9,unsat,1.0,unsat,1.5,unsat,1.5
mnist-net_256x2,prop_11_0.03,random,unstable,6,unsat,1.0,unsat,1.5,unsat,1.5
mnist-net_256x2,prop_12_0.03,random,unstable,5,sat,1.0,sat,1.5,sat,1.5
mnist-net_256x2,prop_13_0.03,random,unstable,2,unsat,1.0,unsat,1.4,unsat,1.5
mnist-net_256x2,prop_14_0.03,random,unstable,7,unsat,1.0,unsat,1.4,unsat,1.5
mnist-net_256x2,prop_0_0.05,random,unstable,15,sat,2.5,sat,12.4,sat,5.6
mnist-net_256x2,prop_1_0.05,random,unstable,20,sat,2.6,sat,95.54,sat,5.8
mnist-net_256x2,prop_2_0.05,random,unstable,16,sat,2.6,sat,27.6,sat,5.8
mnist-net_256x2,prop_3_0.05,random,unstable,7,unsat,1.7,unsat,9.2,unsat,4.4
mnist-net_256x2,prop_4_0.05,random,unstable,16,sat,19.2,sat,123.37,sat,37.3
mnist-net_256x2,prop_5_0.05,random,unstable,14,sat,8.3,sat,36.0,sat,17.6
mnist-net_256x2,prop_6_0.05,random,unstable,31,sat,24.5,sat,327.54,sat,74.44
mnist-net_256x2,prop_7_0.05,random,unstable,6,unsat,1.7,unsat,4.5,unsat,4.4
mnist-net_256x2,prop_8_0.05,random,unstable,13,sat,2.6,sat,25.9,sat,5.7
mnist-net_256x2,prop_9_0.05,random,unstable,8,unsat,5.8,unsat,14.9,unsat,12.0
mnist-net_256x2,prop_10_0.05,random,unstable,14,unsat,14.7,timeout,330,unsat,23.4
mnist-net_256x2,prop_11_0.05,random,unstable,8,unsat,4.8,unsat,18.7,unsat,11.0
mnist-net_256x2,prop_12_0.05,random,unstable,8,sat,1.0,sat,1.5,sat,1.4
mnist-net_256x2,prop_13_0.05,random,unstable,5,unsat,1.8,unsat,4.4,unsat,4.5
mnist-net_256x2,prop_14_0.05,random,unstable,10,unsat,4.8,unsat,35.8,unsat,11.6
mnist-net_256x4,prop_0_0.03,random,unstable,26,unsat,1.0,unsat,11.8,unsat,1.8
mnist-net_256x4,prop_1_0.03,random,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_2_0.03,random,unstable,31,unsat,5.3,timeout,330,unsat,10.7
mnist-net_256x4,prop_3_0.03,random,unstable,17,unsat,1.0,unsat,1.8,unsat,1.8
mnist-net_256x4,prop_4_0.03,random,unstable,33,unsat,4.9,timeout,330,unsat,10.9
mnist-net_256x4,prop_5_0.03,random,unstable,31,unsat,1.0,unsat,1.7,unsat,1.8
mnist-net_256x4,prop_6_0.03,random,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_7_0.03,random,unstable,21,unsat,4.6,unsat,66.2,unsat,9.5
mnist-net_256x4,prop_8_0.03,random,unstable,29,unsat,40.0,timeout,330,unsat,60.97
mnist-net_256x4,prop_9_0.03,random,unstable,23,unsat,4.6,unsat,174.11,unsat,9.9
mnist-net_256x4,prop_10_0.03,random,unstable,21,unsat,1.0,unsat,11.5,unsat,1.8
mnist-net_256x4,prop_11_0.03,random,unstable,24,unsat,1.0,unsat,1.8,unsat,1.8
mnist-net_256x4,prop_12_0.03,random,unstable,16,unsat,4.4,unsat,22.6,unsat,9.7
mnist-net_256x4,prop_13_0.03,random,unstable,25,unsat,1.0,unsat,12.9,unsat,1.7
mnist-net_256x4,prop_14_0.03,random,unstable,23,unsat,1.0,unsat,1.8,unsat,1.8
mnist-net_256x4,prop_0_0.05,random,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_1_0.05,random,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
