onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
mnist-net_256x2,prop_0_0.03,reluS+,unstable,8,unsat,0.9,unsat,1.5,unsat,1.5
mnist-net_256x2,prop_1_0.03,reluS+,unstable,12,sat,7.6,sat,38.8,sat,15.0
mnist-net_256x2,prop_2_0.03,reluS+,unstable,11,sat,3.8,sat,18.7,sat,8.1
mnist-net_256x2,prop_3_0.03,reluS+,unstable,4,unsat,1.0,unsat,1.5,unsat,1.5
mnist-net_256x2,prop_4_0.03,reluS+,unstable,13,unsat,1.0,unsat,4.7,unsat,1.5
mnist-net_256x2,prop_5_0.03,reluS+,unstable,11,unsat,1.0,unsat,1.5,unsat,1.5
mnist-net_256x2,prop_6_0.03,reluS+,unstable,15,unsat,9.9,unsat,40.2,unsat,15.8
mnist-net_256x2,prop_7_0.03,reluS+,unstable,5,unsat,1.0,unsat,1.4,unsat,1.5
mnist-net_256x2,prop_8_0.03,reluS+,unstable,7,unsat,3.6,unsat,16.3,unsat,8.8
mnist-net_256x2,prop_9_0.03,reluS+,unstable,5,unsat,1.0,unsat,1.5,unsat,1.5
mnist-net_256x2,prop_10_0.03,reluS+,unstable,9,unsat,1.0,unsat,1.5,unsat,1.5
mnist-net_256x2,prop_11_0.03,reluS+,unstable,6,unsat,1.0,unsat,1.5,unsat,1.5
mnist-net_256x2,prop_12_0.03,reluS+,unstable,5,sat,1.0,sat,1.5,sat,1.5
mnist-net_256x2,prop_13_0.03,reluS+,unstable,2,unsat,1.0,unsat,1.5,unsat,1.5
mnist-net_256x2,prop_14_0.03,reluS+,unstable,7,unsat,1.0,unsat,1.5,unsat,1.4
mnist-net_256x2,prop_0_0.05,reluS+,unstable,15,sat,2.6,sat,10.8,sat,5.7
mnist-net_256x2,prop_1_0.05,reluS+,unstable,20,sat,2.8,sat,11.3,sat,5.9
mnist-net_256x2,prop_2_0.05,reluS+,unstable,16,sat,2.6,sat,13.5,sat,5.8
mnist-net_256x2,prop_3_0.05,reluS+,unstable,7,unsat,1.9,unsat,4.6,unsat,4.4
mnist-net_256x2,prop_4_0.05,reluS+,unstable,16,sat,19.3,sat,91.56,sat,27.8
mnist-net_256x2,prop_5_0.05,reluS+,unstable,14,sat,8.5,sat,29.7,sat,15.1
mnist-net_256x2,prop_6_0.05,reluS+,unstable,31,sat,23.9,sat,148.74,sat,39.7
mnist-net_256x2,prop_7_0.05,reluS+,unstable,6,unsat,1.7,unsat,4.5,unsat,4.4
mnist-net_256x2,prop_8_0.05,reluS+,unstable,13,sat,2.6,sat,12.0,sat,5.8
mnist-net_256x2,prop_9_0.05,reluS+,unstable,8,unsat,5.8,unsat,12.9,unsat,12.3
mnist-net_256x2,prop_10_0.05,reluS+,unstable,14,unsat,14.4,error,-1,unsat,23.3
mnist-net_256x2,prop_11_0.05,reluS+,unstable,8,unsat,4.8,unsat,14.9,unsat,10.8
mnist-net_256x2,prop_12_0.05,reluS+,unstable,8,sat,1.0,sat,1.5,sat,1.5
mnist-net_256x2,prop_13_0.05,reluS+,unstable,5,unsat,1.8,unsat,4.4,unsat,4.6
mnist-net_256x2,prop_14_0.05,reluS+,unstable,10,unsat,4.9,unsat,20.0,unsat,11.5
mnist-net_256x4,prop_0_0.03,reluS+,unstable,26,unsat,1.0,unsat,11.3,unsat,1.8
mnist-net_256x4,prop_1_0.03,reluS+,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_2_0.03,reluS+,unstable,31,unsat,5.4,error,-1,unsat,10.8
mnist-net_256x4,prop_3_0.03,reluS+,unstable,17,unsat,1.0,unsat,1.8,unsat,1.8
mnist-net_256x4,prop_4_0.03,reluS+,unstable,33,unsat,5.2,unsat,103.57,unsat,10.8
mnist-net_256x4,prop_5_0.03,reluS+,unstable,31,unsat,1.0,unsat,1.8,unsat,1.8
mnist-net_256x4,prop_6_0.03,reluS+,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_7_0.03,reluS+,unstable,21,unsat,4.6,unsat,32.0,unsat,10.1
mnist-net_256x4,prop_8_0.03,reluS+,unstable,29,unsat,39.4,timeout,330,unsat,62.63
mnist-net_256x4,prop_9_0.03,reluS+,unstable,23,unsat,4.9,unsat,36.2,unsat,9.8
mnist-net_256x4,prop_10_0.03,reluS+,unstable,21,unsat,1.0,unsat,11.3,unsat,1.8
mnist-net_256x4,prop_11_0.03,reluS+,unstable,24,unsat,1.0,unsat,1.8,unsat,1.8
mnist-net_256x4,prop_12_0.03,reluS+,unstable,16,unsat,4.6,unsat,18.1,unsat,9.6
mnist-net_256x4,prop_13_0.03,reluS+,unstable,25,unsat,1.0,unsat,12.2,unsat,1.8
mnist-net_256x4,prop_14_0.03,reluS+,unstable,23,unsat,1.0,unsat,1.7,unsat,1.8
mnist-net_256x4,prop_0_0.05,reluS+,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_1_0.05,reluS+,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_2_0.05,reluS+,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_3_0.05,reluS+,unstable,33,unsat,17.9,unsat,300.5,unsat,28.7
mnist-net_256x4,prop_4_0.05,reluS+,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_5_0.05,reluS+,unstable,55,unsat,232.18,error,-1,unsat,278.09
mnist-net_256x4,prop_6_0.05,reluS+,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_7_0.05,reluS+,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_8_0.05,reluS+,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_9_0.05,reluS+,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_10_0.05,reluS+,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_11_0.05,reluS+,unstable,39,unsat,88.63,timeout,330,error,-1
mnist-net_256x4,prop_12_0.05,reluS+,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_13_0.05,reluS+,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_14_0.05,reluS+,unstable,42,unsat,49.6,timeout,330,unsat,71.13
mnist-net_256x6,prop_0_0.03,reluS+,unstable,39,unsat,1.0,unsat,18.8,unsat,2.1
mnist-net_256x6,prop_1_0.03,reluS+,unstable,SKIPPED,error,-1,-1,-1,-1,-1
mnist-net_256x6,prop_2_0.03,reluS+,unstable,51,unsat,10.6,timeout,330,unsat,19.7
mnist-net_256x6,prop_3_0.03,reluS+,unstable,29,unsat,1.0,unsat,18.4,unsat,2.0
mnist-net_256x6,prop_4_0.03,reluS+,unstable,30,unsat,1.0,unsat,18.9,unsat,2.0
mnist-net_256x6,prop_5_0.03,reluS+,unstable,43,unsat,11.9,error,-1,unsat,20.5
