onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
mnist-net_256x2,prop_0_0.03,reluS-,unstable,8,unsat,1.0,unsat,1.5,unsat,1.5
mnist-net_256x2,prop_1_0.03,reluS-,unstable,12,sat,7.8,sat,37.8,sat,15.4
mnist-net_256x2,prop_2_0.03,reluS-,unstable,11,sat,3.7,sat,17.4,sat,8.1
mnist-net_256x2,prop_3_0.03,reluS-,unstable,4,unsat,1.0,unsat,1.5,unsat,1.5
mnist-net_256x2,prop_4_0.03,reluS-,unstable,13,unsat,1.0,unsat,4.7,unsat,1.5
mnist-net_256x2,prop_5_0.03,reluS-,unstable,11,unsat,1.0,unsat,1.5,unsat,1.5
mnist-net_256x2,prop_6_0.03,reluS-,unstable,15,unsat,10.7,timeout,330,unsat,15.9
mnist-net_256x2,prop_7_0.03,reluS-,unstable,5,unsat,1.0,unsat,1.5,unsat,1.5
mnist-net_256x2,prop_8_0.03,reluS-,unstable,7,unsat,3.7,unsat,15.8,unsat,8.7
mnist-net_256x2,prop_9_0.03,reluS-,unstable,5,unsat,1.0,unsat,1.5,unsat,1.5
mnist-net_256x2,prop_10_0.03,reluS-,unstable,9,unsat,1.0,unsat,1.4,unsat,1.5
mnist-net_256x2,prop_11_0.03,reluS-,unstable,6,unsat,0.9,unsat,1.5,unsat,1.5
mnist-net_256x2,prop_12_0.03,reluS-,unstable,5,sat,1.0,sat,1.5,sat,1.5
mnist-net_256x2,prop_13_0.03,reluS-,unstable,2,unsat,1.0,unsat,1.4,unsat,1.4
mnist-net_256x2,prop_14_0.03,reluS-,unstable,7,unsat,1.0,unsat,1.5,unsat,1.5
mnist-net_256x2,prop_0_0.05,reluS-,unstable,15,sat,2.6,sat,10.9,sat,5.8
mnist-net_256x2,prop_1_0.05,reluS-,unstable,20,sat,2.7,sat,36.7,sat,5.8
mnist-net_256x2,prop_2_0.05,reluS-,unstable,16,sat,2.6,sat,12.6,sat,5.6
mnist-net_256x2,prop_3_0.05,reluS-,unstable,7,unsat,1.7,unsat,4.4,unsat,4.4
mnist-net_256x2,prop_4_0.05,reluS-,unstable,16,sat,19.6,timeout,330,sat,34.8
mnist-net_256x2,prop_5_0.05,reluS-,unstable,14,sat,8.3,sat,23.7,sat,15.3
mnist-net_256x2,prop_6_0.05,reluS-,unstable,31,sat,24.9,sat,52.1,sat,37.6
mnist-net_256x2,prop_7_0.05,reluS-,unstable,6,unsat,1.6,unsat,4.5,unsat,4.6
mnist-net_256x2,prop_8_0.05,reluS-,unstable,13,sat,2.6,sat,25.5,sat,5.7
mnist-net_256x2,prop_9_0.05,reluS-,unstable,8,unsat,5.8,unsat,27.2,unsat,12.7
mnist-net_256x2,prop_10_0.05,reluS-,unstable,14,unsat,14.6,timeout,330,unsat,24.6
mnist-net_256x2,prop_11_0.05,reluS-,unstable,8,unsat,4.9,unsat,15.5,unsat,11.0
mnist-net_256x2,prop_12_0.05,reluS-,unstable,8,sat,1.0,sat,1.4,sat,1.5
mnist-net_256x2,prop_13_0.05,reluS-,unstable,5,unsat,1.9,unsat,4.5,unsat,4.4
mnist-net_256x2,prop_14_0.05,reluS-,unstable,10,unsat,5.0,timeout,330,unsat,10.9
mnist-net_256x4,prop_0_0.03,reluS-,unstable,26,unsat,1.0,unsat,11.1,unsat,1.8
mnist-net_256x4,prop_1_0.03,reluS-,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_2_0.03,reluS-,unstable,31,unsat,5.3,timeout,330,unsat,11.1
mnist-net_256x4,prop_3_0.03,reluS-,unstable,17,unsat,1.0,unsat,1.8,unsat,1.8
mnist-net_256x4,prop_4_0.03,reluS-,unstable,33,unsat,5.0,unsat,22.9,unsat,10.7
mnist-net_256x4,prop_5_0.03,reluS-,unstable,31,unsat,1.0,unsat,1.8,unsat,1.8
mnist-net_256x4,prop_6_0.03,reluS-,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_7_0.03,reluS-,unstable,21,unsat,4.7,unsat,17.7,unsat,10.2
mnist-net_256x4,prop_8_0.03,reluS-,unstable,29,unsat,39.0,timeout,330,unsat,77.16
mnist-net_256x4,prop_9_0.03,reluS-,unstable,23,unsat,4.9,unsat,19.8,unsat,10.2
mnist-net_256x4,prop_10_0.03,reluS-,unstable,21,unsat,1.0,unsat,10.6,unsat,1.8
mnist-net_256x4,prop_11_0.03,reluS-,unstable,24,unsat,1.0,unsat,1.8,unsat,1.8
mnist-net_256x4,prop_12_0.03,reluS-,unstable,16,unsat,4.4,unsat,10.7,unsat,9.6
mnist-net_256x4,prop_13_0.03,reluS-,unstable,25,unsat,1.0,unsat,11.5,unsat,1.8
mnist-net_256x4,prop_14_0.03,reluS-,unstable,23,unsat,1.0,unsat,1.8,unsat,1.8
mnist-net_256x4,prop_0_0.05,reluS-,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_1_0.05,reluS-,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_2_0.05,reluS-,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
mnist-net_256x4,prop_3_0.05,reluS-,unstable,33,unsat,17.7,timeout,330,unsat,31.1
mnist-net_256x4,prop_4_0.05,reluS-,unstable,SKIPPED,timeout,300,-1,-1,-1,-1
