onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
tllBench_n=2_N=M=8_m=1_instance_0_0_converted,property_N=8_0,random,stable+,SPLIT_FAILED,unsat,3.1526670455932617,-1,-1,-1,-1, 
tllBench_n=2_N=M=8_m=1_instance_0_1_converted,property_N=8_1,random,stable+,SPLIT_FAILED,unsat,3.109071731567383,-1,-1,-1,-1, 
tllBench_n=2_N=M=8_m=1_instance_0_2_converted,property_N=8_2,random,stable+,SPLIT_FAILED,sat,1.920069932937622,-1,-1,-1,-1, 
tllBench_n=2_N=M=8_m=1_instance_0_3_converted,property_N=8_3,random,stable+,1,unsat,3.0698962211608887,unsat,3.056330919265747,unsat,3.0628812313079834
tllBench_n=2_N=M=16_m=1_instance_1_0_converted,property_N=16_0,random,stable+,4,sat,1.9556381702423096,sat,2.0676369667053223,sat,2.0773887634277344
tllBench_n=2_N=M=16_m=1_instance_1_1_converted,property_N=16_1,random,stable+,33,sat,1.977562665939331,sat,2.090940237045288,sat,2.0520455837249756
tllBench_n=2_N=M=16_m=1_instance_1_2_converted,property_N=16_2,random,stable+,6,sat,1.9567673206329346,sat,2.0563971996307373,sat,2.0952837467193604
tllBench_n=2_N=M=16_m=1_instance_1_3_converted,property_N=16_3,random,stable+,5,sat,1.9390108585357666,sat,2.1091177463531494,sat,2.0719387531280518
tllBench_n=2_N=M=24_m=1_instance_2_0_converted,property_N=24_0,random,stable+,2,sat,2.027522563934326,sat,2.5213778018951416,sat,2.543870210647583
tllBench_n=2_N=M=24_m=1_instance_2_1_converted,property_N=24_1,random,stable+,29,unsat,3.7355029582977295,unsat,4.329097270965576,unsat,4.315086841583252
tllBench_n=2_N=M=24_m=1_instance_2_2_converted,property_N=24_2,random,stable+,7,unsat,3.5607595443725586,unsat,4.177887678146362,unsat,4.201461315155029
tllBench_n=2_N=M=24_m=1_instance_2_3_converted,property_N=24_3,random,stable+,21,unsat,3.822932243347168,unsat,4.44404411315918,unsat,4.3391547203063965
tllBench_n=2_N=M=32_m=1_instance_3_0_converted,property_N=32_0,random,stable+,80,sat,2.089003801345825,sat,3.629171133041382,sat,3.6180830001831055
tllBench_n=2_N=M=32_m=1_instance_3_1_converted,property_N=32_1,random,stable+,114,unsat,3.8220975399017334,unsat,5.457333087921143,unsat,5.512884855270386
tllBench_n=2_N=M=32_m=1_instance_3_2_converted,property_N=32_2,random,stable+,14,unsat,3.5782368183135986,unsat,5.138073444366455,unsat,5.155294895172119
tllBench_n=2_N=M=32_m=1_instance_3_3_converted,property_N=32_3,random,stable+,14,sat,2.1002237796783447,sat,3.592618465423584,sat,3.5890796184539795
tllBench_n=2_N=M=40_m=1_instance_4_0_converted,property_N=40_0,random,stable+,286,sat,2.1730918884277344,sat,6.1812567710876465,sat,6.24189305305481
tllBench_n=2_N=M=40_m=1_instance_4_1_converted,property_N=40_1,random,stable+,34,unsat,4.04857611656189,unsat,7.894068241119385,unsat,7.940223455429077
tllBench_n=2_N=M=40_m=1_instance_4_2_converted,property_N=40_2,random,stable+,43,unsat,4.594427108764648,unsat,8.963647842407227,unsat,8.901201248168945
tllBench_n=2_N=M=40_m=1_instance_4_3_converted,property_N=40_3,random,stable+,11,unsat,4.0290327072143555,unsat,8.021692752838135,unsat,7.999340057373047
tllBench_n=2_N=M=48_m=1_instance_5_0_converted,property_N=48_0,random,stable+,72,sat,2.3027892112731934,sat,10.042837381362915,sat,10.183757781982422
tllBench_n=2_N=M=48_m=1_instance_5_1_converted,property_N=48_1,random,stable+,46,sat,2.344325065612793,sat,10.059454441070557,sat,10.033053398132324
tllBench_n=2_N=M=48_m=1_instance_5_2_converted,property_N=48_2,random,stable+,290,unsat,4.502014875411987,unsat,13.193399429321289,unsat,13.24661898612976
tllBench_n=2_N=M=48_m=1_instance_5_3_converted,property_N=48_3,random,stable+,90,sat,2.356083869934082,sat,10.275913953781128,sat,10.254890203475952
tllBench_n=2_N=M=56_m=1_instance_6_0_converted,property_N=56_0,random,stable+,278,unsat,5.674941539764404,unsat,21.898013830184937,unsat,22.400460720062256
tllBench_n=2_N=M=56_m=1_instance_6_1_converted,property_N=56_1,random,stable+,77,sat,2.6032731533050537,sat,17.18658208847046,sat,17.006253480911255
tllBench_n=2_N=M=56_m=1_instance_6_2_converted,property_N=56_2,random,stable+,64,sat,2.625811815261841,sat,17.10524606704712,sat,17.09170961380005
tllBench_n=2_N=M=56_m=1_instance_6_3_converted,property_N=56_3,random,stable+,206,sat,2.644700765609741,sat,17.351027250289917,sat,17.296705961227417
tllBench_n=2_N=M=64_m=1_instance_7_0_converted,property_N=64_0,random,stable+,115,unsat,5.548566102981567,unsat,31.35019826889038,unsat,31.514430046081543
tllBench_n=2_N=M=64_m=1_instance_7_1_converted,property_N=64_1,random,stable+,105,sat,3.432852268218994,sat,28.059006929397583,sat,28.48529553413391
tllBench_n=2_N=M=64_m=1_instance_7_2_converted,property_N=64_2,random,stable+,255,sat,3.0188283920288086,sat,28.501582860946655,sat,28.02737522125244
tllBench_n=2_N=M=64_m=1_instance_7_3_converted,property_N=64_3,random,stable+,110,unsat,5.4696266651153564,unsat,31.54060959815979,unsat,31.014017581939697
