onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
tllBench_n=2_N=M=8_m=1_instance_0_0_converted,property_N=8_0,reluS+,stable+,SPLIT_FAILED,unsat,3.0626204013824463,-1,-1,-1,-1, 
tllBench_n=2_N=M=8_m=1_instance_0_1_converted,property_N=8_1,reluS+,stable+,SPLIT_FAILED,unsat,3.130697727203369,-1,-1,-1,-1, 
tllBench_n=2_N=M=8_m=1_instance_0_2_converted,property_N=8_2,reluS+,stable+,SPLIT_FAILED,sat,1.9781124591827393,-1,-1,-1,-1, 
tllBench_n=2_N=M=8_m=1_instance_0_3_converted,property_N=8_3,reluS+,stable+,1,unsat,3.1250603199005127,unsat,3.1681602001190186,unsat,3.1200413703918457
tllBench_n=2_N=M=16_m=1_instance_1_0_converted,property_N=16_0,reluS+,stable+,4,sat,1.9905593395233154,sat,2.0858612060546875,sat,2.11521053314209
tllBench_n=2_N=M=16_m=1_instance_1_1_converted,property_N=16_1,reluS+,stable+,33,sat,1.9653441905975342,sat,2.0852603912353516,sat,2.090402126312256
tllBench_n=2_N=M=16_m=1_instance_1_2_converted,property_N=16_2,reluS+,stable+,6,sat,1.9804162979125977,sat,2.076230764389038,sat,2.1020426750183105
tllBench_n=2_N=M=16_m=1_instance_1_3_converted,property_N=16_3,reluS+,stable+,5,sat,2.004166603088379,sat,2.0499167442321777,sat,2.0964322090148926
tllBench_n=2_N=M=24_m=1_instance_2_0_converted,property_N=24_0,reluS+,stable+,2,sat,2.0356109142303467,sat,2.5403780937194824,sat,2.5192108154296875
tllBench_n=2_N=M=24_m=1_instance_2_1_converted,property_N=24_1,reluS+,stable+,29,unsat,3.6366283893585205,unsat,4.304639101028442,unsat,4.313671112060547
tllBench_n=2_N=M=24_m=1_instance_2_2_converted,property_N=24_2,reluS+,stable+,7,unsat,3.4965059757232666,unsat,4.100966215133667,unsat,4.194024324417114
tllBench_n=2_N=M=24_m=1_instance_2_3_converted,property_N=24_3,reluS+,stable+,21,unsat,3.834935426712036,unsat,4.435803651809692,unsat,4.427188158035278
tllBench_n=2_N=M=32_m=1_instance_3_0_converted,property_N=32_0,reluS+,stable+,80,sat,2.120232582092285,sat,3.6589510440826416,sat,3.6993653774261475
tllBench_n=2_N=M=32_m=1_instance_3_1_converted,property_N=32_1,reluS+,stable+,114,unsat,3.714721441268921,unsat,5.490980386734009,unsat,5.413198709487915
tllBench_n=2_N=M=32_m=1_instance_3_2_converted,property_N=32_2,reluS+,stable+,14,unsat,3.519649028778076,unsat,5.174819231033325,unsat,5.184722423553467
tllBench_n=2_N=M=32_m=1_instance_3_3_converted,property_N=32_3,reluS+,stable+,14,sat,2.088656187057495,sat,3.6429436206817627,sat,3.644763708114624
tllBench_n=2_N=M=40_m=1_instance_4_0_converted,property_N=40_0,reluS+,stable+,286,sat,2.193504571914673,sat,6.248254776000977,sat,6.268455743789673
tllBench_n=2_N=M=40_m=1_instance_4_1_converted,property_N=40_1,reluS+,stable+,34,unsat,4.043951988220215,unsat,8.036215782165527,unsat,8.08111023902893
tllBench_n=2_N=M=40_m=1_instance_4_2_converted,property_N=40_2,reluS+,stable+,43,unsat,4.580312728881836,unsat,8.976816654205322,unsat,9.01537561416626
tllBench_n=2_N=M=40_m=1_instance_4_3_converted,property_N=40_3,reluS+,stable+,11,unsat,4.097696781158447,unsat,8.014094829559326,unsat,7.995915651321411
tllBench_n=2_N=M=48_m=1_instance_5_0_converted,property_N=48_0,reluS+,stable+,72,sat,2.3639039993286133,sat,10.289265155792236,sat,10.129007339477539
tllBench_n=2_N=M=48_m=1_instance_5_1_converted,property_N=48_1,reluS+,stable+,46,sat,2.3607702255249023,sat,10.216975688934326,sat,10.212124586105347
tllBench_n=2_N=M=48_m=1_instance_5_2_converted,property_N=48_2,reluS+,stable+,290,unsat,4.557333946228027,unsat,13.225106716156006,unsat,13.242671012878418
tllBench_n=2_N=M=48_m=1_instance_5_3_converted,property_N=48_3,reluS+,stable+,90,sat,2.3064563274383545,sat,10.184120178222656,sat,10.195349931716919
tllBench_n=2_N=M=56_m=1_instance_6_0_converted,property_N=56_0,reluS+,stable+,278,unsat,5.684061288833618,unsat,22.047950267791748,unsat,22.105563640594482
tllBench_n=2_N=M=56_m=1_instance_6_1_converted,property_N=56_1,reluS+,stable+,77,sat,2.5900964736938477,sat,17.08543062210083,sat,16.959792137145996
tllBench_n=2_N=M=56_m=1_instance_6_2_converted,property_N=56_2,reluS+,stable+,64,sat,2.5794854164123535,sat,16.956629514694214,sat,16.89840078353882
tllBench_n=2_N=M=56_m=1_instance_6_3_converted,property_N=56_3,reluS+,stable+,206,sat,2.5714008808135986,sat,17.552826404571533,sat,17.168827056884766
tllBench_n=2_N=M=64_m=1_instance_7_0_converted,property_N=64_0,reluS+,stable+,115,unsat,5.479773998260498,unsat,30.933940410614014,unsat,30.841317892074585
tllBench_n=2_N=M=64_m=1_instance_7_1_converted,property_N=64_1,reluS+,stable+,105,sat,3.2747583389282227,sat,27.83935809135437,sat,27.970744132995605
tllBench_n=2_N=M=64_m=1_instance_7_2_converted,property_N=64_2,reluS+,stable+,255,sat,3.000701904296875,sat,27.835025548934937,sat,28.13585352897644
tllBench_n=2_N=M=64_m=1_instance_7_3_converted,property_N=64_3,reluS+,stable+,110,unsat,5.410580635070801,unsat,31.569725036621094,unsat,31.433415412902832
