onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
tllBench_n=2_N=M=8_m=1_instance_0_0_converted,property_N=8_0,random,stable-,34,unsat,3.078456401824951,unsat,3.143406867980957,unsat,3.137589693069458
tllBench_n=2_N=M=8_m=1_instance_0_1_converted,property_N=8_1,random,stable-,38,unsat,3.1775543689727783,unsat,3.1602413654327393,unsat,3.220676898956299
tllBench_n=2_N=M=8_m=1_instance_0_2_converted,property_N=8_2,random,stable-,32,sat,1.9567081928253174,sat,1.9732837677001953,sat,1.9816062450408936
tllBench_n=2_N=M=8_m=1_instance_0_3_converted,property_N=8_3,random,stable-,41,unsat,3.100494623184204,unsat,3.0943124294281006,unsat,3.14176869392395
tllBench_n=2_N=M=16_m=1_instance_1_0_converted,property_N=16_0,random,stable-,134,sat,1.9309966564178467,sat,2.13456130027771,sat,2.0936203002929688
tllBench_n=2_N=M=16_m=1_instance_1_1_converted,property_N=16_1,random,stable-,159,sat,1.9980180263519287,sat,2.1416678428649902,sat,2.1247377395629883
tllBench_n=2_N=M=16_m=1_instance_1_2_converted,property_N=16_2,random,stable-,138,sat,1.950070858001709,sat,2.144122838973999,sat,2.089228868484497
tllBench_n=2_N=M=16_m=1_instance_1_3_converted,property_N=16_3,random,stable-,147,sat,1.9952666759490967,sat,2.129089593887329,sat,2.1014111042022705
tllBench_n=2_N=M=24_m=1_instance_2_0_converted,property_N=24_0,random,stable-,272,sat,2.0641841888427734,sat,2.6670753955841064,sat,2.642404317855835
tllBench_n=2_N=M=24_m=1_instance_2_1_converted,property_N=24_1,random,stable-,335,unsat,3.664642333984375,unsat,4.4253716468811035,unsat,4.527327060699463
tllBench_n=2_N=M=24_m=1_instance_2_2_converted,property_N=24_2,random,stable-,319,unsat,3.5366690158843994,unsat,4.267428159713745,unsat,4.326280117034912
tllBench_n=2_N=M=24_m=1_instance_2_3_converted,property_N=24_3,random,stable-,351,unsat,3.882544755935669,unsat,4.6305012702941895,unsat,4.55202054977417
tllBench_n=2_N=M=32_m=1_instance_3_0_converted,property_N=32_0,random,stable-,616,sat,2.1378262042999268,sat,4.074414968490601,sat,4.027090072631836
tllBench_n=2_N=M=32_m=1_instance_3_1_converted,property_N=32_1,random,stable-,640,unsat,3.6729917526245117,unsat,5.926806688308716,unsat,5.869495868682861
tllBench_n=2_N=M=32_m=1_instance_3_2_converted,property_N=32_2,random,stable-,524,unsat,3.6222190856933594,unsat,5.553324222564697,unsat,5.614617824554443
tllBench_n=2_N=M=32_m=1_instance_3_3_converted,property_N=32_3,random,stable-,552,sat,2.0398471355438232,sat,4.052400588989258,sat,4.057608366012573
tllBench_n=2_N=M=40_m=1_instance_4_0_converted,property_N=40_0,random,stable-,1092,sat,2.1877877712249756,sat,7.128069162368774,sat,7.235358715057373
tllBench_n=2_N=M=40_m=1_instance_4_1_converted,property_N=40_1,random,stable-,870,unsat,4.150232315063477,unsat,9.10851526260376,unsat,9.021427869796753
tllBench_n=2_N=M=40_m=1_instance_4_2_converted,property_N=40_2,random,stable-,855,unsat,4.580139636993408,unsat,9.997044086456299,unsat,10.067763328552246
tllBench_n=2_N=M=40_m=1_instance_4_3_converted,property_N=40_3,random,stable-,809,unsat,4.056617975234985,unsat,9.00942850112915,unsat,9.028478384017944
tllBench_n=2_N=M=48_m=1_instance_5_0_converted,property_N=48_0,random,stable-,1264,sat,2.350376844406128,sat,12.45367980003357,sat,12.253735542297363
tllBench_n=2_N=M=48_m=1_instance_5_1_converted,property_N=48_1,random,stable-,1234,sat,2.366400718688965,sat,12.134777307510376,sat,12.179617404937744
tllBench_n=2_N=M=48_m=1_instance_5_2_converted,property_N=48_2,random,stable-,1462,unsat,4.49990701675415,unsat,15.528833866119385,unsat,15.52234411239624
tllBench_n=2_N=M=48_m=1_instance_5_3_converted,property_N=48_3,random,stable-,1244,sat,2.379154920578003,sat,12.290370464324951,sat,12.153725385665894
tllBench_n=2_N=M=56_m=1_instance_6_0_converted,property_N=56_0,random,stable-,1844,unsat,5.659475088119507,unsat,26.182082414627075,unsat,25.86970329284668
tllBench_n=2_N=M=56_m=1_instance_6_1_converted,property_N=56_1,random,stable-,1701,sat,2.5967252254486084,sat,21.26094341278076,sat,21.138943672180176
tllBench_n=2_N=M=56_m=1_instance_6_2_converted,property_N=56_2,random,stable-,1680,sat,2.623868942260742,sat,20.927637815475464,sat,20.981125831604004
tllBench_n=2_N=M=56_m=1_instance_6_3_converted,property_N=56_3,random,stable-,1850,sat,2.652010679244995,sat,21.285162210464478,sat,21.18731665611267
tllBench_n=2_N=M=64_m=1_instance_7_0_converted,property_N=64_0,random,stable-,2217,unsat,5.455302000045776,unsat,38.55141258239746,unsat,37.82558727264404
tllBench_n=2_N=M=64_m=1_instance_7_1_converted,property_N=64_1,random,stable-,2227,sat,3.344135046005249,sat,34.5428569316864,sat,34.30008029937744
tllBench_n=2_N=M=64_m=1_instance_7_2_converted,property_N=64_2,random,stable-,2351,sat,3.0290029048919678,sat,34.23681044578552,sat,34.16769504547119
tllBench_n=2_N=M=64_m=1_instance_7_3_converted,property_N=64_3,random,stable-,2174,unsat,5.467572927474976,unsat,37.62342810630798,unsat,37.458192110061646
