onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
tllBench_n=2_N=M=8_m=1_instance_0_0_converted,property_N=8_0,random,unstable,94,unsat,3.081075668334961,unsat,3.096212863922119,unsat,3.203204393386841
tllBench_n=2_N=M=8_m=1_instance_0_1_converted,property_N=8_1,random,unstable,90,unsat,3.175424098968506,unsat,3.1687939167022705,unsat,3.1694512367248535
tllBench_n=2_N=M=8_m=1_instance_0_2_converted,property_N=8_2,random,unstable,96,sat,1.9346330165863037,sat,1.9720287322998047,sat,1.9618005752563477
tllBench_n=2_N=M=8_m=1_instance_0_3_converted,property_N=8_3,random,unstable,86,unsat,3.0951786041259766,unsat,3.126408815383911,unsat,3.1115260124206543
tllBench_n=2_N=M=16_m=1_instance_1_0_converted,property_N=16_0,random,unstable,374,sat,1.9600560665130615,sat,2.185302495956421,sat,2.152066946029663
tllBench_n=2_N=M=16_m=1_instance_1_1_converted,property_N=16_1,random,unstable,320,sat,1.9632937908172607,sat,2.1658763885498047,sat,2.146075963973999
tllBench_n=2_N=M=16_m=1_instance_1_2_converted,property_N=16_2,random,unstable,368,sat,1.9725110530853271,sat,2.173537015914917,sat,2.1556756496429443
tllBench_n=2_N=M=16_m=1_instance_1_3_converted,property_N=16_3,random,unstable,360,sat,1.9849014282226562,sat,2.186236619949341,sat,2.160057544708252
tllBench_n=2_N=M=24_m=1_instance_2_0_converted,property_N=24_0,random,unstable,878,sat,2.0058813095092773,sat,2.9239161014556885,sat,2.9288690090179443
tllBench_n=2_N=M=24_m=1_instance_2_1_converted,property_N=24_1,random,unstable,788,unsat,3.6706671714782715,unsat,4.631353855133057,unsat,4.605319261550903
tllBench_n=2_N=M=24_m=1_instance_2_2_converted,property_N=24_2,random,unstable,826,unsat,3.5307440757751465,unsat,4.503800392150879,unsat,4.421661615371704
tllBench_n=2_N=M=24_m=1_instance_2_3_converted,property_N=24_3,random,unstable,780,unsat,3.770968198776245,unsat,4.757184743881226,unsat,4.775605916976929
tllBench_n=2_N=M=32_m=1_instance_3_0_converted,property_N=32_0,random,unstable,1352,sat,2.1405467987060547,sat,4.561583518981934,sat,4.542464017868042
tllBench_n=2_N=M=32_m=1_instance_3_1_converted,property_N=32_1,random,unstable,1294,unsat,3.7407798767089844,unsat,6.337646245956421,unsat,6.2625508308410645
tllBench_n=2_N=M=32_m=1_instance_3_2_converted,property_N=32_2,random,unstable,1510,unsat,3.56339430809021,unsat,6.2239367961883545,unsat,6.235576868057251
tllBench_n=2_N=M=32_m=1_instance_3_3_converted,property_N=32_3,random,unstable,1482,sat,2.101310968399048,sat,4.671850919723511,sat,4.654402017593384
tllBench_n=2_N=M=40_m=1_instance_4_0_converted,property_N=40_0,random,unstable,1822,sat,2.1742451190948486,sat,8.011788606643677,sat,7.948485374450684
tllBench_n=2_N=M=40_m=1_instance_4_1_converted,property_N=40_1,random,unstable,2296,unsat,4.020893096923828,unsat,10.918894529342651,unsat,10.73875641822815
tllBench_n=2_N=M=40_m=1_instance_4_2_converted,property_N=40_2,random,unstable,2302,unsat,4.507517337799072,unsat,12.559075355529785,unsat,12.056360483169556
tllBench_n=2_N=M=40_m=1_instance_4_3_converted,property_N=40_3,random,unstable,2380,unsat,4.0893614292144775,unsat,11.19389009475708,unsat,10.89884638786316
tllBench_n=2_N=M=48_m=1_instance_5_0_converted,property_N=48_0,random,unstable,3272,sat,2.3125548362731934,sat,15.588404655456543,sat,15.553289413452148
tllBench_n=2_N=M=48_m=1_instance_5_1_converted,property_N=48_1,random,unstable,3328,sat,2.319462537765503,sat,15.919601440429688,sat,15.784950733184814
tllBench_n=2_N=M=48_m=1_instance_5_2_converted,property_N=48_2,random,unstable,2856,unsat,4.538966417312622,unsat,18.451613187789917,unsat,17.925348043441772
tllBench_n=2_N=M=48_m=1_instance_5_3_converted,property_N=48_3,random,unstable,3274,sat,2.317387819290161,sat,15.436894655227661,sat,15.585020303726196
tllBench_n=2_N=M=56_m=1_instance_6_0_converted,property_N=56_0,random,unstable,4150,unsat,5.638919830322266,unsat,33.78628063201904,unsat,31.710461139678955
tllBench_n=2_N=M=56_m=1_instance_6_1_converted,property_N=56_1,random,unstable,4494,sat,2.5759201049804688,sat,27.04857349395752,sat,27.413860321044922
tllBench_n=2_N=M=56_m=1_instance_6_2_converted,property_N=56_2,random,unstable,4528,sat,2.5988357067108154,sat,27.505574703216553,sat,27.185261726379395
tllBench_n=2_N=M=56_m=1_instance_6_3_converted,property_N=56_3,random,unstable,4216,sat,2.6321892738342285,sat,26.689314126968384,sat,26.52960968017578
tllBench_n=2_N=M=64_m=1_instance_7_0_converted,property_N=64_0,random,unstable,5860,unsat,5.458394765853882,unsat,50.705538272857666,unsat,49.12481188774109
tllBench_n=2_N=M=64_m=1_instance_7_1_converted,property_N=64_1,random,unstable,5860,sat,3.336998224258423,sat,45.24499821662903,sat,45.3057975769043
tllBench_n=2_N=M=64_m=1_instance_7_2_converted,property_N=64_2,random,unstable,5586,sat,3.0151150226593018,sat,43.8842339515686,sat,43.904879093170166
tllBench_n=2_N=M=64_m=1_instance_7_3_converted,property_N=64_3,random,unstable,5908,unsat,5.579432487487793,unsat,50.99273633956909,unsat,48.989421129226685
