onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
tllBench_n=2_N=M=8_m=1_instance_0_0_converted,property_N=8_0,random,stable+,SPLIT_FAILED,unsat,5.5172,-1,-1,-1,-1, 
tllBench_n=2_N=M=8_m=1_instance_0_1_converted,property_N=8_1,random,stable+,SPLIT_FAILED,unsat,5.3075,-1,-1,-1,-1, 
tllBench_n=2_N=M=8_m=1_instance_0_2_converted,property_N=8_2,random,stable+,SPLIT_FAILED,sat,1.7023,-1,-1,-1,-1, 
tllBench_n=2_N=M=8_m=1_instance_0_3_converted,property_N=8_3,random,stable+,1,unsat,5.4103,unsat,5.4377,unsat,5.376
tllBench_n=2_N=M=16_m=1_instance_1_0_converted,property_N=16_0,random,stable+,4,sat,1.6945,sat,1.8015,sat,1.7646
tllBench_n=2_N=M=16_m=1_instance_1_1_converted,property_N=16_1,random,stable+,33,sat,1.7026,sat,1.7602,sat,1.8177
tllBench_n=2_N=M=16_m=1_instance_1_2_converted,property_N=16_2,random,stable+,6,sat,1.7059,sat,1.8236,sat,1.814
tllBench_n=2_N=M=16_m=1_instance_1_3_converted,property_N=16_3,random,stable+,5,sat,1.7241,sat,1.7916,sat,1.8239
tllBench_n=2_N=M=24_m=1_instance_2_0_converted,property_N=24_0,random,stable+,2,sat,1.7438,sat,2.1047,sat,2.0854
tllBench_n=2_N=M=24_m=1_instance_2_1_converted,property_N=24_1,random,stable+,29,unsat,5.8436,unsat,6.1815,unsat,6.2219
tllBench_n=2_N=M=24_m=1_instance_2_2_converted,property_N=24_2,random,stable+,7,unsat,5.7916,unsat,6.154,unsat,6.1784
tllBench_n=2_N=M=24_m=1_instance_2_3_converted,property_N=24_3,random,stable+,21,unsat,6.0225,unsat,6.4691,unsat,6.4774
tllBench_n=2_N=M=32_m=1_instance_3_0_converted,property_N=32_0,random,stable+,80,sat,1.8285,sat,2.9301,sat,2.9737
tllBench_n=2_N=M=32_m=1_instance_3_1_converted,property_N=32_1,random,stable+,114,unsat,5.9109,unsat,7.2083,unsat,7.1812
tllBench_n=2_N=M=32_m=1_instance_3_2_converted,property_N=32_2,random,stable+,14,unsat,5.8447,unsat,6.97,unsat,6.9962
tllBench_n=2_N=M=32_m=1_instance_3_3_converted,property_N=32_3,random,stable+,14,sat,1.7837,sat,2.9174,sat,2.9004
tllBench_n=2_N=M=40_m=1_instance_4_0_converted,property_N=40_0,random,stable+,286,sat,1.9475,sat,4.7866,sat,4.7614
tllBench_n=2_N=M=40_m=1_instance_4_1_converted,property_N=40_1,random,stable+,34,unsat,6.3886,unsat,9.5919,unsat,9.6449
tllBench_n=2_N=M=40_m=1_instance_4_2_converted,property_N=40_2,random,stable+,43,unsat,7.0944,unsat,10.8928,unsat,10.7122
tllBench_n=2_N=M=40_m=1_instance_4_3_converted,property_N=40_3,random,stable+,11,unsat,6.6182,unsat,9.7626,unsat,9.9298
tllBench_n=2_N=M=48_m=1_instance_5_0_converted,property_N=48_0,random,stable+,72,sat,2.2872,sat,7.7554,sat,7.6397
tllBench_n=2_N=M=48_m=1_instance_5_1_converted,property_N=48_1,random,stable+,46,sat,2.1852,sat,7.5778,sat,7.6842
tllBench_n=2_N=M=48_m=1_instance_5_2_converted,property_N=48_2,random,stable+,290,unsat,7.2096,unsat,14.1876,unsat,14.2798
tllBench_n=2_N=M=48_m=1_instance_5_3_converted,property_N=48_3,random,stable+,90,sat,2.2154,sat,7.7642,sat,7.9099
tllBench_n=2_N=M=56_m=1_instance_6_0_converted,property_N=56_0,random,stable+,278,unsat,8.8538,unsat,21.761,unsat,21.8084
tllBench_n=2_N=M=56_m=1_instance_6_1_converted,property_N=56_1,random,stable+,77,sat,2.6241,sat,12.7748,sat,12.6671
tllBench_n=2_N=M=56_m=1_instance_6_2_converted,property_N=56_2,random,stable+,64,sat,2.7583,sat,12.8594,sat,12.8784
tllBench_n=2_N=M=56_m=1_instance_6_3_converted,property_N=56_3,random,stable+,206,sat,2.6598,sat,12.8287,sat,12.994
tllBench_n=2_N=M=64_m=1_instance_7_0_converted,property_N=64_0,random,stable+,115,unsat,9.1781,unsat,29.2812,unsat,29.1757
tllBench_n=2_N=M=64_m=1_instance_7_1_converted,property_N=64_1,random,stable+,105,sat,3.6362,sat,20.8017,sat,20.7578
tllBench_n=2_N=M=64_m=1_instance_7_2_converted,property_N=64_2,random,stable+,255,sat,3.1632,sat,21.1491,sat,20.953
tllBench_n=2_N=M=64_m=1_instance_7_3_converted,property_N=64_3,random,stable+,110,unsat,9.3403,unsat,29.0126,unsat,28.7679
