onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
tllBench_n=2_N=M=8_m=1_instance_0_0_converted,property_N=8_0,random,stable-,34,unsat,5.2788,unsat,5.3207,unsat,5.3811
tllBench_n=2_N=M=8_m=1_instance_0_1_converted,property_N=8_1,random,stable-,38,unsat,5.3009,unsat,5.3874,unsat,5.424
tllBench_n=2_N=M=8_m=1_instance_0_2_converted,property_N=8_2,random,stable-,32,sat,1.7106,sat,1.6921,sat,1.6727
tllBench_n=2_N=M=8_m=1_instance_0_3_converted,property_N=8_3,random,stable-,41,unsat,5.2593,unsat,5.3453,unsat,5.3207
tllBench_n=2_N=M=16_m=1_instance_1_0_converted,property_N=16_0,random,stable-,134,sat,1.7095,sat,1.7754,sat,1.7945
tllBench_n=2_N=M=16_m=1_instance_1_1_converted,property_N=16_1,random,stable-,159,sat,2.085,sat,1.876,sat,1.7923
tllBench_n=2_N=M=16_m=1_instance_1_2_converted,property_N=16_2,random,stable-,138,sat,1.6771,sat,1.7955,sat,1.764
tllBench_n=2_N=M=16_m=1_instance_1_3_converted,property_N=16_3,random,stable-,147,sat,1.6784,sat,1.7867,sat,1.8076
tllBench_n=2_N=M=24_m=1_instance_2_0_converted,property_N=24_0,random,stable-,272,sat,1.7131,sat,2.121,sat,2.1239
tllBench_n=2_N=M=24_m=1_instance_2_1_converted,property_N=24_1,random,stable-,335,unsat,5.7435,unsat,6.25,unsat,6.2547
tllBench_n=2_N=M=24_m=1_instance_2_2_converted,property_N=24_2,random,stable-,319,unsat,5.758,unsat,6.2604,unsat,6.2184
tllBench_n=2_N=M=24_m=1_instance_2_3_converted,property_N=24_3,random,stable-,351,unsat,5.933,unsat,6.47,unsat,6.5164
tllBench_n=2_N=M=32_m=1_instance_3_0_converted,property_N=32_0,random,stable-,616,sat,2.0554,sat,3.1742,sat,3.2129
tllBench_n=2_N=M=32_m=1_instance_3_1_converted,property_N=32_1,random,stable-,640,unsat,5.7811,unsat,7.3884,unsat,7.42
tllBench_n=2_N=M=32_m=1_instance_3_2_converted,property_N=32_2,random,stable-,524,unsat,5.7198,unsat,7.2012,unsat,7.2179
tllBench_n=2_N=M=32_m=1_instance_3_3_converted,property_N=32_3,random,stable-,552,sat,1.7946,sat,3.1323,sat,3.1545
tllBench_n=2_N=M=40_m=1_instance_4_0_converted,property_N=40_0,random,stable-,1092,sat,1.8896,sat,5.4712,sat,5.3603
tllBench_n=2_N=M=40_m=1_instance_4_1_converted,property_N=40_1,random,stable-,870,unsat,6.4157,unsat,10.4057,unsat,10.2694
tllBench_n=2_N=M=40_m=1_instance_4_2_converted,property_N=40_2,random,stable-,855,unsat,7.0383,unsat,11.5876,unsat,11.6463
tllBench_n=2_N=M=40_m=1_instance_4_3_converted,property_N=40_3,random,stable-,809,unsat,6.5077,unsat,10.5283,unsat,10.4703
tllBench_n=2_N=M=48_m=1_instance_5_0_converted,property_N=48_0,random,stable-,1264,sat,2.1724,sat,9.0219,sat,9.1634
tllBench_n=2_N=M=48_m=1_instance_5_1_converted,property_N=48_1,random,stable-,1234,sat,2.1381,sat,8.9279,sat,8.9947
tllBench_n=2_N=M=48_m=1_instance_5_2_converted,property_N=48_2,random,stable-,1462,unsat,7.0841,unsat,15.6804,unsat,15.7163
tllBench_n=2_N=M=48_m=1_instance_5_3_converted,property_N=48_3,random,stable-,1244,sat,2.1169,sat,9.162,sat,9.0144
tllBench_n=2_N=M=56_m=1_instance_6_0_converted,property_N=56_0,random,stable-,1844,unsat,8.9816,unsat,24.8631,unsat,24.8325
tllBench_n=2_N=M=56_m=1_instance_6_1_converted,property_N=56_1,random,stable-,1701,sat,2.5866,sat,15.3411,sat,15.1806
tllBench_n=2_N=M=56_m=1_instance_6_2_converted,property_N=56_2,random,stable-,1680,sat,2.6147,sat,15.3414,sat,15.3508
tllBench_n=2_N=M=56_m=1_instance_6_3_converted,property_N=56_3,random,stable-,1850,sat,2.5834,sat,15.7407,sat,15.7102
tllBench_n=2_N=M=64_m=1_instance_7_0_converted,property_N=64_0,random,stable-,2217,unsat,9.1718,unsat,34.9298,unsat,34.6545
tllBench_n=2_N=M=64_m=1_instance_7_1_converted,property_N=64_1,random,stable-,2227,sat,3.6458,sat,25.0156,sat,24.7356
tllBench_n=2_N=M=64_m=1_instance_7_2_converted,property_N=64_2,random,stable-,2351,sat,3.36,sat,25.4869,sat,25.19
tllBench_n=2_N=M=64_m=1_instance_7_3_converted,property_N=64_3,random,stable-,2174,unsat,9.1433,unsat,34.1228,unsat,34.373
