onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
tllBench_n=2_N=M=8_m=1_instance_0_0_converted,property_N=8_0,reluS-,stable-,34,unsat,3.0630295276641846,unsat,3.1551153659820557,unsat,3.1996209621429443
tllBench_n=2_N=M=8_m=1_instance_0_1_converted,property_N=8_1,reluS-,stable-,38,unsat,3.1355037689208984,unsat,3.2218005657196045,unsat,3.24344539642334
tllBench_n=2_N=M=8_m=1_instance_0_2_converted,property_N=8_2,reluS-,stable-,32,sat,1.9896585941314697,sat,1.9804542064666748,sat,1.9841649532318115
tllBench_n=2_N=M=8_m=1_instance_0_3_converted,property_N=8_3,reluS-,stable-,41,unsat,3.108473300933838,unsat,3.1267545223236084,unsat,3.138160228729248
tllBench_n=2_N=M=16_m=1_instance_1_0_converted,property_N=16_0,reluS-,stable-,134,sat,2.0019917488098145,sat,2.144273042678833,sat,2.1419246196746826
tllBench_n=2_N=M=16_m=1_instance_1_1_converted,property_N=16_1,reluS-,stable-,159,sat,2.0138604640960693,sat,2.0896759033203125,sat,2.1017112731933594
tllBench_n=2_N=M=16_m=1_instance_1_2_converted,property_N=16_2,reluS-,stable-,138,sat,1.9893980026245117,sat,2.087162494659424,sat,2.117016553878784
tllBench_n=2_N=M=16_m=1_instance_1_3_converted,property_N=16_3,reluS-,stable-,147,sat,1.9508700370788574,sat,2.119837999343872,sat,2.1100025177001953
tllBench_n=2_N=M=24_m=1_instance_2_0_converted,property_N=24_0,reluS-,stable-,272,sat,2.0134408473968506,sat,2.659358501434326,sat,2.665652275085449
tllBench_n=2_N=M=24_m=1_instance_2_1_converted,property_N=24_1,reluS-,stable-,335,unsat,3.6806156635284424,unsat,4.44933557510376,unsat,4.448538064956665
tllBench_n=2_N=M=24_m=1_instance_2_2_converted,property_N=24_2,reluS-,stable-,319,unsat,3.553785562515259,unsat,4.258013486862183,unsat,4.229552507400513
tllBench_n=2_N=M=24_m=1_instance_2_3_converted,property_N=24_3,reluS-,stable-,351,unsat,3.7691733837127686,unsat,4.5740966796875,unsat,4.579319477081299
tllBench_n=2_N=M=32_m=1_instance_3_0_converted,property_N=32_0,reluS-,stable-,616,sat,2.129262685775757,sat,4.186221599578857,sat,4.093466758728027
tllBench_n=2_N=M=32_m=1_instance_3_1_converted,property_N=32_1,reluS-,stable-,640,unsat,3.776521682739258,unsat,5.820445537567139,unsat,5.840244293212891
tllBench_n=2_N=M=32_m=1_instance_3_2_converted,property_N=32_2,reluS-,stable-,524,unsat,3.634751558303833,unsat,5.54847264289856,unsat,5.5120689868927
tllBench_n=2_N=M=32_m=1_instance_3_3_converted,property_N=32_3,reluS-,stable-,552,sat,2.0835585594177246,sat,4.082661151885986,sat,4.003850936889648
tllBench_n=2_N=M=40_m=1_instance_4_0_converted,property_N=40_0,reluS-,stable-,1092,sat,2.1795570850372314,sat,7.165766000747681,sat,7.193914890289307
tllBench_n=2_N=M=40_m=1_instance_4_1_converted,property_N=40_1,reluS-,stable-,870,unsat,3.988823413848877,unsat,8.997007846832275,unsat,8.927616834640503
tllBench_n=2_N=M=40_m=1_instance_4_2_converted,property_N=40_2,reluS-,stable-,855,unsat,4.6028971672058105,unsat,9.991109609603882,unsat,10.024016380310059
tllBench_n=2_N=M=40_m=1_instance_4_3_converted,property_N=40_3,reluS-,stable-,809,unsat,4.030630350112915,unsat,8.96706485748291,unsat,9.093364953994751
tllBench_n=2_N=M=48_m=1_instance_5_0_converted,property_N=48_0,reluS-,stable-,1264,sat,2.385185956954956,sat,12.164157390594482,sat,12.187692880630493
tllBench_n=2_N=M=48_m=1_instance_5_1_converted,property_N=48_1,reluS-,stable-,1234,sat,2.378025531768799,sat,12.152722120285034,sat,12.125931739807129
tllBench_n=2_N=M=48_m=1_instance_5_2_converted,property_N=48_2,reluS-,stable-,1462,unsat,4.491379737854004,unsat,15.371265649795532,unsat,15.548439979553223
tllBench_n=2_N=M=48_m=1_instance_5_3_converted,property_N=48_3,reluS-,stable-,1244,sat,2.3415703773498535,sat,12.309806108474731,sat,12.237179279327393
tllBench_n=2_N=M=56_m=1_instance_6_0_converted,property_N=56_0,reluS-,stable-,1844,unsat,5.66652250289917,unsat,26.051081657409668,unsat,25.95000195503235
tllBench_n=2_N=M=56_m=1_instance_6_1_converted,property_N=56_1,reluS-,stable-,1701,sat,2.6074740886688232,sat,20.918970108032227,sat,20.98188042640686
tllBench_n=2_N=M=56_m=1_instance_6_2_converted,property_N=56_2,reluS-,stable-,1680,sat,2.5979065895080566,sat,20.841527462005615,sat,20.800883769989014
tllBench_n=2_N=M=56_m=1_instance_6_3_converted,property_N=56_3,reluS-,stable-,1850,sat,2.5914766788482666,sat,21.62119460105896,sat,21.15418028831482
tllBench_n=2_N=M=64_m=1_instance_7_0_converted,property_N=64_0,reluS-,stable-,2217,unsat,5.467410087585449,unsat,37.94220852851868,unsat,37.94317293167114
tllBench_n=2_N=M=64_m=1_instance_7_1_converted,property_N=64_1,reluS-,stable-,2227,sat,3.4493675231933594,sat,34.79152250289917,sat,34.71936631202698
tllBench_n=2_N=M=64_m=1_instance_7_2_converted,property_N=64_2,reluS-,stable-,2351,sat,3.052385091781616,sat,34.909884452819824,sat,34.74422311782837
tllBench_n=2_N=M=64_m=1_instance_7_3_converted,property_N=64_3,reluS-,stable-,2174,unsat,5.508377552032471,unsat,37.88398575782776,unsat,38.105650424957275
