onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
tllBench_n=2_N=M=8_m=1_instance_0_0_converted,property_N=8_0,reluS+,unstable,94,unsat,1.6809585094451904,unsat,1.6758522987365723,unsat,1.7110228538513184
tllBench_n=2_N=M=8_m=1_instance_0_1_converted,property_N=8_1,reluS+,unstable,90,unsat,1.674699306488037,unsat,1.7026925086975098,unsat,1.7493674755096436
tllBench_n=2_N=M=8_m=1_instance_0_2_converted,property_N=8_2,reluS+,unstable,96,sat,0.49359703063964844,sat,0.538445234298706,sat,0.5071790218353271
tllBench_n=2_N=M=8_m=1_instance_0_3_converted,property_N=8_3,reluS+,unstable,86,unsat,1.6557276248931885,unsat,1.6468501091003418,unsat,1.693650484085083
tllBench_n=2_N=M=16_m=1_instance_1_0_converted,property_N=16_0,reluS+,unstable,374,sat,0.5170555114746094,sat,0.7097551822662354,sat,0.6788723468780518
tllBench_n=2_N=M=16_m=1_instance_1_1_converted,property_N=16_1,reluS+,unstable,320,sat,0.5375447273254395,sat,0.6844522953033447,sat,0.6706292629241943
tllBench_n=2_N=M=16_m=1_instance_1_2_converted,property_N=16_2,reluS+,unstable,368,sat,0.5100185871124268,sat,0.6947481632232666,sat,0.6748847961425781
tllBench_n=2_N=M=16_m=1_instance_1_3_converted,property_N=16_3,reluS+,unstable,360,sat,0.5311756134033203,sat,0.6771588325500488,sat,0.6699087619781494
tllBench_n=2_N=M=24_m=1_instance_2_0_converted,property_N=24_0,reluS+,unstable,878,sat,0.48802804946899414,sat,1.3443207740783691,sat,1.3477561473846436
tllBench_n=2_N=M=24_m=1_instance_2_1_converted,property_N=24_1,reluS+,unstable,788,unsat,2.199232578277588,unsat,3.0493757724761963,unsat,3.0948076248168945
tllBench_n=2_N=M=24_m=1_instance_2_2_converted,property_N=24_2,reluS+,unstable,826,unsat,2.019463300704956,unsat,2.9005515575408936,unsat,2.9305379390716553
tllBench_n=2_N=M=24_m=1_instance_2_3_converted,property_N=24_3,reluS+,unstable,780,unsat,2.3677940368652344,unsat,3.2097012996673584,unsat,3.211104154586792
tllBench_n=2_N=M=32_m=1_instance_3_0_converted,property_N=32_0,reluS+,unstable,1352,sat,0.5598042011260986,sat,2.97860050201416,sat,2.998650074005127
tllBench_n=2_N=M=32_m=1_instance_3_1_converted,property_N=32_1,reluS+,unstable,1294,unsat,2.2298240661621094,unsat,4.7600884437561035,unsat,4.730149507522583
tllBench_n=2_N=M=32_m=1_instance_3_2_converted,property_N=32_2,reluS+,unstable,1510,unsat,2.0745656490325928,unsat,4.665532350540161,unsat,4.686625957489014
tllBench_n=2_N=M=32_m=1_instance_3_3_converted,property_N=32_3,reluS+,unstable,1482,sat,0.5769233703613281,sat,3.084886312484741,sat,3.0103912353515625
tllBench_n=2_N=M=40_m=1_instance_4_0_converted,property_N=40_0,reluS+,unstable,1822,sat,0.6936914920806885,sat,6.217019319534302,sat,6.260272979736328
tllBench_n=2_N=M=40_m=1_instance_4_1_converted,property_N=40_1,reluS+,unstable,2296,unsat,2.5970020294189453,unsat,8.940813541412354,unsat,8.909036874771118
tllBench_n=2_N=M=40_m=1_instance_4_2_converted,property_N=40_2,reluS+,unstable,2302,unsat,3.058828592300415,unsat,10.27896761894226,unsat,10.129400253295898
tllBench_n=2_N=M=40_m=1_instance_4_3_converted,property_N=40_3,reluS+,unstable,2380,unsat,2.603101968765259,unsat,9.251380205154419,unsat,9.072487592697144
tllBench_n=2_N=M=48_m=1_instance_5_0_converted,property_N=48_0,reluS+,unstable,3272,sat,0.8492910861968994,sat,13.460745334625244,sat,13.347869396209717
tllBench_n=2_N=M=48_m=1_instance_5_1_converted,property_N=48_1,reluS+,unstable,3328,sat,0.8829152584075928,sat,13.597044706344604,sat,13.547794580459595
tllBench_n=2_N=M=48_m=1_instance_5_2_converted,property_N=48_2,reluS+,unstable,2856,unsat,3.0804831981658936,unsat,15.897812604904175,unsat,15.680487394332886
tllBench_n=2_N=M=48_m=1_instance_5_3_converted,property_N=48_3,reluS+,unstable,3274,sat,0.8107054233551025,sat,13.518089056015015,sat,13.354408740997314
tllBench_n=2_N=M=56_m=1_instance_6_0_converted,property_N=56_0,reluS+,unstable,4150,unsat,4.094970941543579,unsat,29.846901893615723,unsat,29.172874212265015
tllBench_n=2_N=M=56_m=1_instance_6_1_converted,property_N=56_1,reluS+,unstable,4494,sat,1.1475086212158203,sat,24.679214477539062,sat,24.40243148803711
tllBench_n=2_N=M=56_m=1_instance_6_2_converted,property_N=56_2,reluS+,unstable,4528,sat,1.1409573554992676,sat,24.49906039237976,sat,25.10559320449829
tllBench_n=2_N=M=56_m=1_instance_6_3_converted,property_N=56_3,reluS+,unstable,4216,sat,1.1740124225616455,sat,24.022424936294556,sat,24.345221996307373
tllBench_n=2_N=M=64_m=1_instance_7_0_converted,property_N=64_0,reluS+,unstable,5860,unsat,4.104921579360962,unsat,46.221123456954956,unsat,46.199044942855835
tllBench_n=2_N=M=64_m=1_instance_7_1_converted,property_N=64_1,reluS+,unstable,5860,sat,1.9535844326019287,sat,42.37295937538147,sat,41.901078939437866
tllBench_n=2_N=M=64_m=1_instance_7_2_converted,property_N=64_2,reluS+,unstable,5586,sat,1.635957956314087,sat,40.43844795227051,sat,40.503268003463745
tllBench_n=2_N=M=64_m=1_instance_7_3_converted,property_N=64_3,reluS+,unstable,5908,unsat,4.077592134475708,unsat,46.22632122039795,unsat,46.01813364028931
