onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
tllBench_n=2_N=M=8_m=1_instance_0_0_converted,property_N=8_0,reluS-,unstable,94,unsat,1.6726202964782715,unsat,1.6607587337493896,unsat,1.7230651378631592
tllBench_n=2_N=M=8_m=1_instance_0_1_converted,property_N=8_1,reluS-,unstable,90,unsat,1.6511995792388916,unsat,1.7214794158935547,unsat,1.7133967876434326
tllBench_n=2_N=M=8_m=1_instance_0_2_converted,property_N=8_2,reluS-,unstable,96,sat,0.5245468616485596,sat,0.5028190612792969,sat,0.5192363262176514
tllBench_n=2_N=M=8_m=1_instance_0_3_converted,property_N=8_3,reluS-,unstable,86,unsat,1.6731419563293457,unsat,1.7112910747528076,unsat,1.72585129737854
tllBench_n=2_N=M=16_m=1_instance_1_0_converted,property_N=16_0,reluS-,unstable,374,sat,0.5097944736480713,sat,0.6837136745452881,sat,0.6750738620758057
tllBench_n=2_N=M=16_m=1_instance_1_1_converted,property_N=16_1,reluS-,unstable,320,sat,0.5084378719329834,sat,0.6745390892028809,sat,0.6811618804931641
tllBench_n=2_N=M=16_m=1_instance_1_2_converted,property_N=16_2,reluS-,unstable,368,sat,0.5256190299987793,sat,0.6856637001037598,sat,0.6762018203735352
tllBench_n=2_N=M=16_m=1_instance_1_3_converted,property_N=16_3,reluS-,unstable,360,sat,0.5006458759307861,sat,0.6729187965393066,sat,0.68180251121521
tllBench_n=2_N=M=24_m=1_instance_2_0_converted,property_N=24_0,reluS-,unstable,878,sat,0.5075976848602295,sat,1.345926284790039,sat,1.342397928237915
tllBench_n=2_N=M=24_m=1_instance_2_1_converted,property_N=24_1,reluS-,unstable,788,unsat,2.1886842250823975,unsat,3.0704915523529053,unsat,3.0909018516540527
tllBench_n=2_N=M=24_m=1_instance_2_2_converted,property_N=24_2,reluS-,unstable,826,unsat,2.0812854766845703,unsat,2.9196178913116455,unsat,2.955615758895874
tllBench_n=2_N=M=24_m=1_instance_2_3_converted,property_N=24_3,reluS-,unstable,780,unsat,2.3508379459381104,unsat,3.2229933738708496,unsat,3.2028253078460693
tllBench_n=2_N=M=32_m=1_instance_3_0_converted,property_N=32_0,reluS-,unstable,1352,sat,0.6018452644348145,sat,3.0087900161743164,sat,3.0418128967285156
tllBench_n=2_N=M=32_m=1_instance_3_1_converted,property_N=32_1,reluS-,unstable,1294,unsat,2.300832986831665,unsat,4.70061731338501,unsat,4.751303195953369
tllBench_n=2_N=M=32_m=1_instance_3_2_converted,property_N=32_2,reluS-,unstable,1510,unsat,2.0950186252593994,unsat,4.66097092628479,unsat,4.64967942237854
tllBench_n=2_N=M=32_m=1_instance_3_3_converted,property_N=32_3,reluS-,unstable,1482,sat,0.5763301849365234,sat,3.066450595855713,sat,3.1216306686401367
tllBench_n=2_N=M=40_m=1_instance_4_0_converted,property_N=40_0,reluS-,unstable,1822,sat,0.6970534324645996,sat,6.273223876953125,sat,6.336634397506714
tllBench_n=2_N=M=40_m=1_instance_4_1_converted,property_N=40_1,reluS-,unstable,2296,unsat,2.581573247909546,unsat,8.973901748657227,unsat,8.927541971206665
tllBench_n=2_N=M=40_m=1_instance_4_2_converted,property_N=40_2,reluS-,unstable,2302,unsat,2.998171329498291,unsat,9.923574209213257,unsat,10.07062029838562
tllBench_n=2_N=M=40_m=1_instance_4_3_converted,property_N=40_3,reluS-,unstable,2380,unsat,2.5796167850494385,unsat,9.178957223892212,unsat,9.183434009552002
tllBench_n=2_N=M=48_m=1_instance_5_0_converted,property_N=48_0,reluS-,unstable,3272,sat,0.8226287364959717,sat,13.44181489944458,sat,13.421810626983643
tllBench_n=2_N=M=48_m=1_instance_5_1_converted,property_N=48_1,reluS-,unstable,3328,sat,0.8455073833465576,sat,13.58477520942688,sat,13.572755098342896
tllBench_n=2_N=M=48_m=1_instance_5_2_converted,property_N=48_2,reluS-,unstable,2856,unsat,3.035176992416382,unsat,15.771387577056885,unsat,15.927695274353027
tllBench_n=2_N=M=48_m=1_instance_5_3_converted,property_N=48_3,reluS-,unstable,3274,sat,0.8112819194793701,sat,13.466997623443604,sat,13.460060119628906
tllBench_n=2_N=M=56_m=1_instance_6_0_converted,property_N=56_0,reluS-,unstable,4150,unsat,4.130304336547852,unsat,29.180912733078003,unsat,29.113316774368286
tllBench_n=2_N=M=56_m=1_instance_6_1_converted,property_N=56_1,reluS-,unstable,4494,sat,1.0893146991729736,sat,25.11892533302307,sat,24.8143310546875
tllBench_n=2_N=M=56_m=1_instance_6_2_converted,property_N=56_2,reluS-,unstable,4528,sat,1.2279672622680664,sat,24.72288751602173,sat,25.18491506576538
tllBench_n=2_N=M=56_m=1_instance_6_3_converted,property_N=56_3,reluS-,unstable,4216,sat,1.1088066101074219,sat,23.902625560760498,sat,24.023838758468628
tllBench_n=2_N=M=64_m=1_instance_7_0_converted,property_N=64_0,reluS-,unstable,5860,unsat,3.9719672203063965,unsat,47.75763130187988,unsat,45.866984128952026
tllBench_n=2_N=M=64_m=1_instance_7_1_converted,property_N=64_1,reluS-,unstable,5860,sat,1.8261568546295166,sat,41.93974447250366,sat,41.98348331451416
tllBench_n=2_N=M=64_m=1_instance_7_2_converted,property_N=64_2,reluS-,unstable,5586,sat,1.5017762184143066,sat,40.92421531677246,sat,40.42980170249939
tllBench_n=2_N=M=64_m=1_instance_7_3_converted,property_N=64_3,reluS-,unstable,5908,unsat,3.967723846435547,unsat,45.80026030540466,unsat,45.74676728248596
