onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
tllBench_n=2_N=M=8_m=1_instance_0_0_converted,property_N=8_0,random,stable+,SPLIT_FAILED,unsat,1.861,-1,-1,-1,-1, 
tllBench_n=2_N=M=8_m=1_instance_0_1_converted,property_N=8_1,random,stable+,SPLIT_FAILED,unsat,0.424,-1,-1,-1,-1, 
tllBench_n=2_N=M=8_m=1_instance_0_2_converted,property_N=8_2,random,stable+,SPLIT_FAILED,sat,0.096,-1,-1,-1,-1, 
tllBench_n=2_N=M=8_m=1_instance_0_3_converted,property_N=8_3,random,stable+,1,unsat,0.532,unsat,0.676,unsat,0.727
tllBench_n=2_N=M=16_m=1_instance_1_0_converted,property_N=16_0,random,stable+,4,sat,6.554,sat,22.363,sat,21.325
tllBench_n=2_N=M=16_m=1_instance_1_1_converted,property_N=16_1,random,stable+,33,sat,6.098,sat,23.646,sat,21.679
tllBench_n=2_N=M=16_m=1_instance_1_2_converted,property_N=16_2,random,stable+,6,sat,5.285,timeout,630,timeout,600
tllBench_n=2_N=M=16_m=1_instance_1_3_converted,property_N=16_3,random,stable+,5,sat,7.736,sat,22.862,sat,24.556
tllBench_n=2_N=M=24_m=1_instance_2_0_converted,property_N=24_0,random,stable+,2,sat,113.388,timeout,630,timeout,600
tllBench_n=2_N=M=24_m=1_instance_2_1_converted,property_N=24_1,random,stable+,29,unsat,170.57,timeout,630,timeout,600
tllBench_n=2_N=M=24_m=1_instance_2_2_converted,property_N=24_2,random,stable+,7,unsat,136.648,timeout,630,timeout,600
tllBench_n=2_N=M=24_m=1_instance_2_3_converted,property_N=24_3,random,stable+,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=32_m=1_instance_3_0_converted,property_N=32_0,random,stable+,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=32_m=1_instance_3_1_converted,property_N=32_1,random,stable+,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=32_m=1_instance_3_2_converted,property_N=32_2,random,stable+,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=32_m=1_instance_3_3_converted,property_N=32_3,random,stable+,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=40_m=1_instance_4_0_converted,property_N=40_0,random,stable+,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=40_m=1_instance_4_1_converted,property_N=40_1,random,stable+,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=40_m=1_instance_4_2_converted,property_N=40_2,random,stable+,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=40_m=1_instance_4_3_converted,property_N=40_3,random,stable+,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=48_m=1_instance_5_0_converted,property_N=48_0,random,stable+,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=48_m=1_instance_5_1_converted,property_N=48_1,random,stable+,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=48_m=1_instance_5_2_converted,property_N=48_2,random,stable+,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=48_m=1_instance_5_3_converted,property_N=48_3,random,stable+,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=56_m=1_instance_6_0_converted,property_N=56_0,random,stable+,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=56_m=1_instance_6_1_converted,property_N=56_1,random,stable+,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=56_m=1_instance_6_2_converted,property_N=56_2,random,stable+,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=56_m=1_instance_6_3_converted,property_N=56_3,random,stable+,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=64_m=1_instance_7_0_converted,property_N=64_0,random,stable+,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=64_m=1_instance_7_1_converted,property_N=64_1,random,stable+,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=64_m=1_instance_7_2_converted,property_N=64_2,random,stable+,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=64_m=1_instance_7_3_converted,property_N=64_3,random,stable+,SKIPPED,timeout,600,-1,-1,-1,-1
