onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
tllBench_n=2_N=M=8_m=1_instance_0_0_converted,property_N=8_0,reluS+,stable+,SPLIT_FAILED,unsat,1.884,-1,-1,-1,-1, 
tllBench_n=2_N=M=8_m=1_instance_0_1_converted,property_N=8_1,reluS+,stable+,SPLIT_FAILED,unsat,0.426,-1,-1,-1,-1, 
tllBench_n=2_N=M=8_m=1_instance_0_2_converted,property_N=8_2,reluS+,stable+,SPLIT_FAILED,sat,0.094,-1,-1,-1,-1, 
tllBench_n=2_N=M=8_m=1_instance_0_3_converted,property_N=8_3,reluS+,stable+,1,unsat,0.535,unsat,0.781,unsat,0.726
tllBench_n=2_N=M=16_m=1_instance_1_0_converted,property_N=16_0,reluS+,stable+,4,sat,6.604,sat,23.911,sat,19.68
tllBench_n=2_N=M=16_m=1_instance_1_1_converted,property_N=16_1,reluS+,stable+,33,sat,6.159,sat,22.596,sat,24.906
tllBench_n=2_N=M=16_m=1_instance_1_2_converted,property_N=16_2,reluS+,stable+,6,sat,5.345,sat,31.224,timeout,600
tllBench_n=2_N=M=16_m=1_instance_1_3_converted,property_N=16_3,reluS+,stable+,5,sat,7.801,sat,21.21,sat,21.427
tllBench_n=2_N=M=24_m=1_instance_2_0_converted,property_N=24_0,reluS+,stable+,2,sat,113.362,timeout,630,timeout,600
tllBench_n=2_N=M=24_m=1_instance_2_1_converted,property_N=24_1,reluS+,stable+,29,unsat,173.308,timeout,630,timeout,600
tllBench_n=2_N=M=24_m=1_instance_2_2_converted,property_N=24_2,reluS+,stable+,7,unsat,137.2,timeout,630,timeout,600
tllBench_n=2_N=M=24_m=1_instance_2_3_converted,property_N=24_3,reluS+,stable+,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=32_m=1_instance_3_0_converted,property_N=32_0,reluS+,stable+,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=32_m=1_instance_3_1_converted,property_N=32_1,reluS+,stable+,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=32_m=1_instance_3_2_converted,property_N=32_2,reluS+,stable+,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=32_m=1_instance_3_3_converted,property_N=32_3,reluS+,stable+,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=40_m=1_instance_4_0_converted,property_N=40_0,reluS+,stable+,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=40_m=1_instance_4_1_converted,property_N=40_1,reluS+,stable+,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=40_m=1_instance_4_2_converted,property_N=40_2,reluS+,stable+,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=40_m=1_instance_4_3_converted,property_N=40_3,reluS+,stable+,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=48_m=1_instance_5_0_converted,property_N=48_0,reluS+,stable+,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=48_m=1_instance_5_1_converted,property_N=48_1,reluS+,stable+,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=48_m=1_instance_5_2_converted,property_N=48_2,reluS+,stable+,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=48_m=1_instance_5_3_converted,property_N=48_3,reluS+,stable+,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=56_m=1_instance_6_0_converted,property_N=56_0,reluS+,stable+,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=56_m=1_instance_6_1_converted,property_N=56_1,reluS+,stable+,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=56_m=1_instance_6_2_converted,property_N=56_2,reluS+,stable+,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=56_m=1_instance_6_3_converted,property_N=56_3,reluS+,stable+,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=64_m=1_instance_7_0_converted,property_N=64_0,reluS+,stable+,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=64_m=1_instance_7_1_converted,property_N=64_1,reluS+,stable+,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=64_m=1_instance_7_2_converted,property_N=64_2,reluS+,stable+,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=64_m=1_instance_7_3_converted,property_N=64_3,reluS+,stable+,SKIPPED,timeout,600,-1,-1,-1,-1
