onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
tllBench_n=2_N=M=8_m=1_instance_0_0_converted,property_N=8_0,reluS-,stable-,34,unsat,1.867,unsat,2.062,unsat,2.98
tllBench_n=2_N=M=8_m=1_instance_0_1_converted,property_N=8_1,reluS-,stable-,38,unsat,0.423,unsat,0.668,unsat,1.077
tllBench_n=2_N=M=8_m=1_instance_0_2_converted,property_N=8_2,reluS-,stable-,32,sat,0.095,sat,0.177,sat,0.204
tllBench_n=2_N=M=8_m=1_instance_0_3_converted,property_N=8_3,reluS-,stable-,41,unsat,0.534,unsat,0.721,unsat,1.884
tllBench_n=2_N=M=16_m=1_instance_1_0_converted,property_N=16_0,reluS-,stable-,134,sat,6.598,sat,30.872,sat,31.486
tllBench_n=2_N=M=16_m=1_instance_1_1_converted,property_N=16_1,reluS-,stable-,159,sat,6.159,sat,31.957,sat,32.605
tllBench_n=2_N=M=16_m=1_instance_1_2_converted,property_N=16_2,reluS-,stable-,138,sat,5.335,sat,40.636,sat,46.446
tllBench_n=2_N=M=16_m=1_instance_1_3_converted,property_N=16_3,reluS-,stable-,147,sat,7.815,sat,33.644,sat,28.335
tllBench_n=2_N=M=24_m=1_instance_2_0_converted,property_N=24_0,reluS-,stable-,272,sat,114.139,timeout,630,timeout,600
tllBench_n=2_N=M=24_m=1_instance_2_1_converted,property_N=24_1,reluS-,stable-,335,unsat,174.045,timeout,630,timeout,600
tllBench_n=2_N=M=24_m=1_instance_2_2_converted,property_N=24_2,reluS-,stable-,319,unsat,133.744,timeout,630,timeout,600
tllBench_n=2_N=M=24_m=1_instance_2_3_converted,property_N=24_3,reluS-,stable-,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=32_m=1_instance_3_0_converted,property_N=32_0,reluS-,stable-,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=32_m=1_instance_3_1_converted,property_N=32_1,reluS-,stable-,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=32_m=1_instance_3_2_converted,property_N=32_2,reluS-,stable-,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=32_m=1_instance_3_3_converted,property_N=32_3,reluS-,stable-,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=40_m=1_instance_4_0_converted,property_N=40_0,reluS-,stable-,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=40_m=1_instance_4_1_converted,property_N=40_1,reluS-,stable-,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=40_m=1_instance_4_2_converted,property_N=40_2,reluS-,stable-,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=40_m=1_instance_4_3_converted,property_N=40_3,reluS-,stable-,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=48_m=1_instance_5_0_converted,property_N=48_0,reluS-,stable-,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=48_m=1_instance_5_1_converted,property_N=48_1,reluS-,stable-,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=48_m=1_instance_5_2_converted,property_N=48_2,reluS-,stable-,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=48_m=1_instance_5_3_converted,property_N=48_3,reluS-,stable-,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=56_m=1_instance_6_0_converted,property_N=56_0,reluS-,stable-,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=56_m=1_instance_6_1_converted,property_N=56_1,reluS-,stable-,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=56_m=1_instance_6_2_converted,property_N=56_2,reluS-,stable-,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=56_m=1_instance_6_3_converted,property_N=56_3,reluS-,stable-,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=64_m=1_instance_7_0_converted,property_N=64_0,reluS-,stable-,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=64_m=1_instance_7_1_converted,property_N=64_1,reluS-,stable-,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=64_m=1_instance_7_2_converted,property_N=64_2,reluS-,stable-,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=64_m=1_instance_7_3_converted,property_N=64_3,reluS-,stable-,SKIPPED,timeout,600,-1,-1,-1,-1
