onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
tllBench_n=2_N=M=8_m=1_instance_0_0_converted,property_N=8_0,random,unstable,94,unsat,1.862,unsat,4.256,unsat,3.254
tllBench_n=2_N=M=8_m=1_instance_0_1_converted,property_N=8_1,random,unstable,90,unsat,0.426,unsat,1.473,unsat,1.642
tllBench_n=2_N=M=8_m=1_instance_0_2_converted,property_N=8_2,random,unstable,96,sat,0.095,sat,0.371,sat,0.316
tllBench_n=2_N=M=8_m=1_instance_0_3_converted,property_N=8_3,random,unstable,86,unsat,0.534,unsat,1.386,unsat,1.028
tllBench_n=2_N=M=16_m=1_instance_1_0_converted,property_N=16_0,random,unstable,374,sat,6.6,sat,58.286,sat,59.498
tllBench_n=2_N=M=16_m=1_instance_1_1_converted,property_N=16_1,random,unstable,320,sat,6.289,sat,51.073,sat,46.46
tllBench_n=2_N=M=16_m=1_instance_1_2_converted,property_N=16_2,random,unstable,368,sat,5.321,sat,51.32,sat,85.637
tllBench_n=2_N=M=16_m=1_instance_1_3_converted,property_N=16_3,random,unstable,360,sat,7.792,sat,67.959,sat,53.291
tllBench_n=2_N=M=24_m=1_instance_2_0_converted,property_N=24_0,random,unstable,878,sat,116.647,timeout,630,timeout,600
tllBench_n=2_N=M=24_m=1_instance_2_1_converted,property_N=24_1,random,unstable,788,unsat,172.642,timeout,630,timeout,600
tllBench_n=2_N=M=24_m=1_instance_2_2_converted,property_N=24_2,random,unstable,826,unsat,133.707,timeout,630,timeout,600
tllBench_n=2_N=M=24_m=1_instance_2_3_converted,property_N=24_3,random,unstable,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=32_m=1_instance_3_0_converted,property_N=32_0,random,unstable,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=32_m=1_instance_3_1_converted,property_N=32_1,random,unstable,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=32_m=1_instance_3_2_converted,property_N=32_2,random,unstable,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=32_m=1_instance_3_3_converted,property_N=32_3,random,unstable,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=40_m=1_instance_4_0_converted,property_N=40_0,random,unstable,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=40_m=1_instance_4_1_converted,property_N=40_1,random,unstable,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=40_m=1_instance_4_2_converted,property_N=40_2,random,unstable,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=40_m=1_instance_4_3_converted,property_N=40_3,random,unstable,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=48_m=1_instance_5_0_converted,property_N=48_0,random,unstable,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=48_m=1_instance_5_1_converted,property_N=48_1,random,unstable,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=48_m=1_instance_5_2_converted,property_N=48_2,random,unstable,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=48_m=1_instance_5_3_converted,property_N=48_3,random,unstable,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=56_m=1_instance_6_0_converted,property_N=56_0,random,unstable,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=56_m=1_instance_6_1_converted,property_N=56_1,random,unstable,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=56_m=1_instance_6_2_converted,property_N=56_2,random,unstable,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=56_m=1_instance_6_3_converted,property_N=56_3,random,unstable,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=64_m=1_instance_7_0_converted,property_N=64_0,random,unstable,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=64_m=1_instance_7_1_converted,property_N=64_1,random,unstable,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=64_m=1_instance_7_2_converted,property_N=64_2,random,unstable,SKIPPED,timeout,600,-1,-1,-1,-1
tllBench_n=2_N=M=64_m=1_instance_7_3_converted,property_N=64_3,random,unstable,SKIPPED,timeout,600,-1,-1,-1,-1
