onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
tllBench_n=2_N=M=8_m=1_instance_0_0_converted,property_N=8_0,reluS+,stable+,SPLIT_FAILED,unsat,5.3441,-1,-1,-1,-1
tllBench_n=2_N=M=8_m=1_instance_0_1_converted,property_N=8_1,reluS+,stable+,SPLIT_FAILED,unsat,5.2962,-1,-1,-1,-1
tllBench_n=2_N=M=8_m=1_instance_0_2_converted,property_N=8_2,reluS+,stable+,SPLIT_FAILED,sat,1.6605,-1,-1,-1,-1
tllBench_n=2_N=M=8_m=1_instance_0_3_converted,property_N=8_3,reluS+,stable+,1,unsat,5.4303,unsat,5.3592,unsat,5.3562
tllBench_n=2_N=M=16_m=1_instance_1_0_converted,property_N=16_0,reluS+,stable+,4,sat,1.7073,sat,1.7637,sat,1.7813
tllBench_n=2_N=M=16_m=1_instance_1_1_converted,property_N=16_1,reluS+,stable+,33,sat,1.678,sat,1.9067,sat,1.9918
tllBench_n=2_N=M=16_m=1_instance_1_2_converted,property_N=16_2,reluS+,stable+,6,sat,1.7026,sat,1.7751,sat,1.7662
tllBench_n=2_N=M=16_m=1_instance_1_3_converted,property_N=16_3,reluS+,stable+,5,sat,1.7089,sat,1.7589,sat,1.7782
tllBench_n=2_N=M=24_m=1_instance_2_0_converted,property_N=24_0,reluS+,stable+,2,sat,1.7311,sat,2.0715,sat,2.1078
tllBench_n=2_N=M=24_m=1_instance_2_1_converted,property_N=24_1,reluS+,stable+,29,unsat,5.7948,unsat,6.2609,unsat,6.1496
tllBench_n=2_N=M=24_m=1_instance_2_2_converted,property_N=24_2,reluS+,stable+,7,unsat,5.7552,unsat,6.2231,unsat,6.1317
tllBench_n=2_N=M=24_m=1_instance_2_3_converted,property_N=24_3,reluS+,stable+,21,unsat,5.9671,unsat,6.4257,unsat,6.4731
tllBench_n=2_N=M=32_m=1_instance_3_0_converted,property_N=32_0,reluS+,stable+,80,sat,1.8021,sat,2.9651,sat,2.982
tllBench_n=2_N=M=32_m=1_instance_3_1_converted,property_N=32_1,reluS+,stable+,114,unsat,5.8125,unsat,7.1373,unsat,7.2149
tllBench_n=2_N=M=32_m=1_instance_3_2_converted,property_N=32_2,reluS+,stable+,14,unsat,5.775,unsat,7.0353,unsat,7.0106
tllBench_n=2_N=M=32_m=1_instance_3_3_converted,property_N=32_3,reluS+,stable+,14,sat,1.7597,sat,2.9058,sat,2.9201
tllBench_n=2_N=M=40_m=1_instance_4_0_converted,property_N=40_0,reluS+,stable+,286,sat,1.9877,sat,4.7424,sat,4.8946
tllBench_n=2_N=M=40_m=1_instance_4_1_converted,property_N=40_1,reluS+,stable+,34,unsat,6.4886,unsat,9.5498,unsat,9.5688
tllBench_n=2_N=M=40_m=1_instance_4_2_converted,property_N=40_2,reluS+,stable+,43,unsat,7.0637,unsat,10.9399,unsat,10.7647
tllBench_n=2_N=M=40_m=1_instance_4_3_converted,property_N=40_3,reluS+,stable+,11,unsat,6.566,unsat,9.821,unsat,9.7297
tllBench_n=2_N=M=48_m=1_instance_5_0_converted,property_N=48_0,reluS+,stable+,72,sat,2.3178,sat,7.8181,sat,7.724
tllBench_n=2_N=M=48_m=1_instance_5_1_converted,property_N=48_1,reluS+,stable+,46,sat,2.2113,sat,7.781,sat,7.692
tllBench_n=2_N=M=48_m=1_instance_5_2_converted,property_N=48_2,reluS+,stable+,290,unsat,7.149,unsat,14.2974,unsat,14.2423
tllBench_n=2_N=M=48_m=1_instance_5_3_converted,property_N=48_3,reluS+,stable+,90,sat,2.1763,sat,7.6858,sat,7.7382
tllBench_n=2_N=M=56_m=1_instance_6_0_converted,property_N=56_0,reluS+,stable+,278,unsat,8.8314,unsat,21.8776,unsat,21.8508
tllBench_n=2_N=M=56_m=1_instance_6_1_converted,property_N=56_1,reluS+,stable+,77,sat,2.5842,sat,12.9709,sat,12.8229
tllBench_n=2_N=M=56_m=1_instance_6_2_converted,property_N=56_2,reluS+,stable+,64,sat,2.6447,sat,12.8453,sat,12.995
tllBench_n=2_N=M=56_m=1_instance_6_3_converted,property_N=56_3,reluS+,stable+,206,sat,2.6794,sat,12.7692,sat,12.9146
tllBench_n=2_N=M=64_m=1_instance_7_0_converted,property_N=64_0,reluS+,stable+,115,unsat,9.2249,unsat,29.2876,unsat,29.0372
tllBench_n=2_N=M=64_m=1_instance_7_1_converted,property_N=64_1,reluS+,stable+,105,sat,3.1647,sat,20.5123,sat,20.5129
tllBench_n=2_N=M=64_m=1_instance_7_2_converted,property_N=64_2,reluS+,stable+,255,sat,3.3234,sat,20.8357,sat,21.1622
tllBench_n=2_N=M=64_m=1_instance_7_3_converted,property_N=64_3,reluS+,stable+,110,unsat,9.2288,unsat,29.2677,unsat,29.099
