onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
tllBench_n=2_N=M=8_m=1_instance_0_0_converted,property_N=8_0,reluS-,stable-,34,unsat,5.3141,unsat,5.4118,unsat,5.4488
tllBench_n=2_N=M=8_m=1_instance_0_1_converted,property_N=8_1,reluS-,stable-,38,unsat,5.3135,unsat,5.379,unsat,5.3478
tllBench_n=2_N=M=8_m=1_instance_0_2_converted,property_N=8_2,reluS-,stable-,32,sat,1.7059,sat,1.7298,sat,1.6677
tllBench_n=2_N=M=8_m=1_instance_0_3_converted,property_N=8_3,reluS-,stable-,41,unsat,5.4105,unsat,5.3666,unsat,5.3887
tllBench_n=2_N=M=16_m=1_instance_1_0_converted,property_N=16_0,reluS-,stable-,134,sat,1.6808,sat,1.8069,sat,1.8078
tllBench_n=2_N=M=16_m=1_instance_1_1_converted,property_N=16_1,reluS-,stable-,159,sat,1.6819,sat,1.827,sat,2.2203
tllBench_n=2_N=M=16_m=1_instance_1_2_converted,property_N=16_2,reluS-,stable-,138,sat,1.7,sat,1.7991,sat,1.8094
tllBench_n=2_N=M=16_m=1_instance_1_3_converted,property_N=16_3,reluS-,stable-,147,sat,1.7112,sat,1.7974,sat,1.7937
tllBench_n=2_N=M=24_m=1_instance_2_0_converted,property_N=24_0,reluS-,stable-,272,sat,1.7491,sat,2.1388,sat,2.1098
tllBench_n=2_N=M=24_m=1_instance_2_1_converted,property_N=24_1,reluS-,stable-,335,unsat,5.7661,unsat,6.3127,unsat,6.3578
tllBench_n=2_N=M=24_m=1_instance_2_2_converted,property_N=24_2,reluS-,stable-,319,unsat,5.8008,unsat,6.2513,unsat,6.3318
tllBench_n=2_N=M=24_m=1_instance_2_3_converted,property_N=24_3,reluS-,stable-,351,unsat,5.9365,unsat,6.5816,unsat,6.5381
tllBench_n=2_N=M=32_m=1_instance_3_0_converted,property_N=32_0,reluS-,stable-,616,sat,1.7779,sat,3.2325,sat,3.2166
tllBench_n=2_N=M=32_m=1_instance_3_1_converted,property_N=32_1,reluS-,stable-,640,unsat,5.9782,unsat,7.3671,unsat,7.5182
tllBench_n=2_N=M=32_m=1_instance_3_2_converted,property_N=32_2,reluS-,stable-,524,unsat,5.7612,unsat,7.2391,unsat,7.3023
tllBench_n=2_N=M=32_m=1_instance_3_3_converted,property_N=32_3,reluS-,stable-,552,sat,1.8315,sat,3.1532,sat,3.1772
tllBench_n=2_N=M=40_m=1_instance_4_0_converted,property_N=40_0,reluS-,stable-,1092,sat,1.9174,sat,5.3915,sat,5.438
tllBench_n=2_N=M=40_m=1_instance_4_1_converted,property_N=40_1,reluS-,stable-,870,unsat,6.4397,unsat,10.488,unsat,10.3953
tllBench_n=2_N=M=40_m=1_instance_4_2_converted,property_N=40_2,reluS-,stable-,855,unsat,7.0456,unsat,11.7569,unsat,11.7022
tllBench_n=2_N=M=40_m=1_instance_4_3_converted,property_N=40_3,reluS-,stable-,809,unsat,6.5569,unsat,10.4736,unsat,10.5343
tllBench_n=2_N=M=48_m=1_instance_5_0_converted,property_N=48_0,reluS-,stable-,1264,sat,2.2213,sat,8.9479,sat,8.9201
tllBench_n=2_N=M=48_m=1_instance_5_1_converted,property_N=48_1,reluS-,stable-,1234,sat,2.1929,sat,9.136,sat,9.1103
tllBench_n=2_N=M=48_m=1_instance_5_2_converted,property_N=48_2,reluS-,stable-,1462,unsat,7.2703,unsat,15.6314,unsat,15.7753
tllBench_n=2_N=M=48_m=1_instance_5_3_converted,property_N=48_3,reluS-,stable-,1244,sat,2.2368,sat,9.0006,sat,9.1847
tllBench_n=2_N=M=56_m=1_instance_6_0_converted,property_N=56_0,reluS-,stable-,1844,unsat,8.9678,unsat,24.7176,unsat,25.4218
tllBench_n=2_N=M=56_m=1_instance_6_1_converted,property_N=56_1,reluS-,stable-,1701,sat,2.6022,sat,15.0887,sat,15.6013
tllBench_n=2_N=M=56_m=1_instance_6_2_converted,property_N=56_2,reluS-,stable-,1680,sat,2.6533,sat,15.2533,sat,14.9746
tllBench_n=2_N=M=56_m=1_instance_6_3_converted,property_N=56_3,reluS-,stable-,1850,sat,2.6036,sat,15.5837,sat,16.0109
tllBench_n=2_N=M=64_m=1_instance_7_0_converted,property_N=64_0,reluS-,stable-,2217,unsat,9.1737,unsat,34.2905,unsat,34.4787
tllBench_n=2_N=M=64_m=1_instance_7_1_converted,property_N=64_1,reluS-,stable-,2227,sat,3.2572,sat,25.5259,sat,24.9019
tllBench_n=2_N=M=64_m=1_instance_7_2_converted,property_N=64_2,reluS-,stable-,2351,sat,3.3616,sat,25.4153,sat,25.1435
tllBench_n=2_N=M=64_m=1_instance_7_3_converted,property_N=64_3,reluS-,stable-,2174,unsat,9.2554,unsat,34.6438,unsat,35.0355
