onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
tllBench_n=2_N=M=8_m=1_instance_0_0_converted,property_N=8_0,random,unstable,94,unsat,5.3257,unsat,5.4394,unsat,5.4344
tllBench_n=2_N=M=8_m=1_instance_0_1_converted,property_N=8_1,random,unstable,90,unsat,5.2883,unsat,5.4264,unsat,5.3337
tllBench_n=2_N=M=8_m=1_instance_0_2_converted,property_N=8_2,random,unstable,96,sat,1.664,sat,1.6619,sat,1.6921
tllBench_n=2_N=M=8_m=1_instance_0_3_converted,property_N=8_3,random,unstable,86,unsat,5.3208,unsat,5.387,unsat,5.378
tllBench_n=2_N=M=16_m=1_instance_1_0_converted,property_N=16_0,random,unstable,374,sat,1.6754,sat,1.8422,sat,1.7895
tllBench_n=2_N=M=16_m=1_instance_1_1_converted,property_N=16_1,random,unstable,320,sat,1.7982,sat,1.8294,sat,1.7933
tllBench_n=2_N=M=16_m=1_instance_1_2_converted,property_N=16_2,random,unstable,368,sat,1.6873,sat,1.8274,sat,1.851
tllBench_n=2_N=M=16_m=1_instance_1_3_converted,property_N=16_3,random,unstable,360,sat,1.6974,sat,1.835,sat,1.806
tllBench_n=2_N=M=24_m=1_instance_2_0_converted,property_N=24_0,random,unstable,878,sat,1.6862,sat,2.3453,sat,2.3635
tllBench_n=2_N=M=24_m=1_instance_2_1_converted,property_N=24_1,random,unstable,788,unsat,5.7949,unsat,6.3959,unsat,6.4126
tllBench_n=2_N=M=24_m=1_instance_2_2_converted,property_N=24_2,random,unstable,826,unsat,5.7268,unsat,6.356,unsat,6.4093
tllBench_n=2_N=M=24_m=1_instance_2_3_converted,property_N=24_3,random,unstable,780,unsat,5.9559,unsat,6.6704,unsat,6.6612
tllBench_n=2_N=M=32_m=1_instance_3_0_converted,property_N=32_0,random,unstable,1352,sat,1.7642,sat,3.5078,sat,3.5242
tllBench_n=2_N=M=32_m=1_instance_3_1_converted,property_N=32_1,random,unstable,1294,unsat,5.8129,unsat,7.7893,unsat,7.8038
tllBench_n=2_N=M=32_m=1_instance_3_2_converted,property_N=32_2,random,unstable,1510,unsat,5.7011,unsat,7.795,unsat,7.73
tllBench_n=2_N=M=32_m=1_instance_3_3_converted,property_N=32_3,random,unstable,1482,sat,1.7652,sat,3.6246,sat,3.6518
tllBench_n=2_N=M=40_m=1_instance_4_0_converted,property_N=40_0,random,unstable,1822,sat,1.9222,sat,5.9865,sat,6.0066
tllBench_n=2_N=M=40_m=1_instance_4_1_converted,property_N=40_1,random,unstable,2296,unsat,6.4955,unsat,11.8144,unsat,11.8112
tllBench_n=2_N=M=40_m=1_instance_4_2_converted,property_N=40_2,random,unstable,2302,unsat,6.9937,unsat,14.0314,unsat,13.2767
tllBench_n=2_N=M=40_m=1_instance_4_3_converted,property_N=40_3,random,unstable,2380,unsat,6.6214,unsat,12.5277,unsat,12.2603
tllBench_n=2_N=M=48_m=1_instance_5_0_converted,property_N=48_0,random,unstable,3272,sat,2.2339,sat,11.8101,sat,11.5777
tllBench_n=2_N=M=48_m=1_instance_5_1_converted,property_N=48_1,random,unstable,3328,sat,2.2575,sat,11.4697,sat,11.4798
tllBench_n=2_N=M=48_m=1_instance_5_2_converted,property_N=48_2,random,unstable,2856,unsat,7.1464,unsat,18.2739,unsat,17.8119
tllBench_n=2_N=M=48_m=1_instance_5_3_converted,property_N=48_3,random,unstable,3274,sat,2.1188,sat,11.4518,sat,11.4478
tllBench_n=2_N=M=56_m=1_instance_6_0_converted,property_N=56_0,random,unstable,4150,unsat,8.941,unsat,31.8896,unsat,29.5161
tllBench_n=2_N=M=56_m=1_instance_6_1_converted,property_N=56_1,random,unstable,4494,sat,2.5741,sat,19.8948,sat,19.9401
tllBench_n=2_N=M=56_m=1_instance_6_2_converted,property_N=56_2,random,unstable,4528,sat,2.6704,sat,19.9378,sat,19.7828
tllBench_n=2_N=M=56_m=1_instance_6_3_converted,property_N=56_3,random,unstable,4216,sat,2.6195,sat,19.2798,sat,18.9681
tllBench_n=2_N=M=64_m=1_instance_7_0_converted,property_N=64_0,random,unstable,5860,unsat,9.245,unsat,45.0212,unsat,43.2518
tllBench_n=2_N=M=64_m=1_instance_7_1_converted,property_N=64_1,random,unstable,5860,sat,3.4783,sat,33.6544,sat,32.4905
tllBench_n=2_N=M=64_m=1_instance_7_2_converted,property_N=64_2,random,unstable,5586,sat,3.3711,sat,32.406,sat,32.021
tllBench_n=2_N=M=64_m=1_instance_7_3_converted,property_N=64_3,random,unstable,5908,unsat,9.2111,unsat,44.9394,unsat,43.5696
