onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
tllBench_n=2_N=M=8_m=1_instance_0_0_converted,property_N=8_0,reluS+,unstable,94,unsat,4.1382,unsat,3.9463,unsat,3.9278
tllBench_n=2_N=M=8_m=1_instance_0_1_converted,property_N=8_1,reluS+,unstable,90,unsat,3.904,unsat,3.9598,unsat,4.0363
tllBench_n=2_N=M=8_m=1_instance_0_2_converted,property_N=8_2,reluS+,unstable,96,sat,0.2319,sat,0.242,sat,0.253
tllBench_n=2_N=M=8_m=1_instance_0_3_converted,property_N=8_3,reluS+,unstable,86,unsat,3.8435,unsat,3.9755,unsat,3.9476
tllBench_n=2_N=M=16_m=1_instance_1_0_converted,property_N=16_0,reluS+,unstable,374,sat,0.2657,sat,0.4104,sat,0.3859
tllBench_n=2_N=M=16_m=1_instance_1_1_converted,property_N=16_1,reluS+,unstable,320,sat,0.2517,sat,0.3668,sat,0.366
tllBench_n=2_N=M=16_m=1_instance_1_2_converted,property_N=16_2,reluS+,unstable,368,sat,0.2564,sat,0.3603,sat,0.3618
tllBench_n=2_N=M=16_m=1_instance_1_3_converted,property_N=16_3,reluS+,unstable,360,sat,0.2523,sat,0.3712,sat,0.3814
tllBench_n=2_N=M=24_m=1_instance_2_0_converted,property_N=24_0,reluS+,unstable,878,sat,0.2642,sat,0.8858,sat,0.9154
tllBench_n=2_N=M=24_m=1_instance_2_1_converted,property_N=24_1,reluS+,unstable,788,unsat,4.289,unsat,4.9269,unsat,5.0387
tllBench_n=2_N=M=24_m=1_instance_2_2_converted,property_N=24_2,reluS+,unstable,826,unsat,4.3387,unsat,5.0079,unsat,4.9888
tllBench_n=2_N=M=24_m=1_instance_2_3_converted,property_N=24_3,reluS+,unstable,780,unsat,4.5253,unsat,5.1726,unsat,5.1629
tllBench_n=2_N=M=32_m=1_instance_3_0_converted,property_N=32_0,reluS+,unstable,1352,sat,0.3345,sat,2.0798,sat,2.0812
tllBench_n=2_N=M=32_m=1_instance_3_1_converted,property_N=32_1,reluS+,unstable,1294,unsat,4.4495,unsat,6.3447,unsat,6.2671
tllBench_n=2_N=M=32_m=1_instance_3_2_converted,property_N=32_2,reluS+,unstable,1510,unsat,4.2579,unsat,6.3595,unsat,6.3546
tllBench_n=2_N=M=32_m=1_instance_3_3_converted,property_N=32_3,reluS+,unstable,1482,sat,0.3332,sat,2.1332,sat,2.1463
tllBench_n=2_N=M=40_m=1_instance_4_0_converted,property_N=40_0,reluS+,unstable,1822,sat,0.4892,sat,4.4687,sat,4.4816
tllBench_n=2_N=M=40_m=1_instance_4_1_converted,property_N=40_1,reluS+,unstable,2296,unsat,5.0815,unsat,10.1234,unsat,10.224
tllBench_n=2_N=M=40_m=1_instance_4_2_converted,property_N=40_2,reluS+,unstable,2302,unsat,5.5656,unsat,11.6886,unsat,11.724
tllBench_n=2_N=M=40_m=1_instance_4_3_converted,property_N=40_3,reluS+,unstable,2380,unsat,5.1424,unsat,10.5763,unsat,10.5673
tllBench_n=2_N=M=48_m=1_instance_5_0_converted,property_N=48_0,reluS+,unstable,3272,sat,0.7069,sat,9.5545,sat,9.7373
tllBench_n=2_N=M=48_m=1_instance_5_1_converted,property_N=48_1,reluS+,unstable,3328,sat,0.7323,sat,9.8101,sat,9.5847
tllBench_n=2_N=M=48_m=1_instance_5_2_converted,property_N=48_2,reluS+,unstable,2856,unsat,5.7524,unsat,16.1822,unsat,15.9055
tllBench_n=2_N=M=48_m=1_instance_5_3_converted,property_N=48_3,reluS+,unstable,3274,sat,0.7141,sat,9.7013,sat,9.7209
tllBench_n=2_N=M=56_m=1_instance_6_0_converted,property_N=56_0,reluS+,unstable,4150,unsat,7.2857,unsat,28.1439,unsat,27.5047
tllBench_n=2_N=M=56_m=1_instance_6_1_converted,property_N=56_1,reluS+,unstable,4494,sat,1.1441,sat,17.5766,sat,17.6649
tllBench_n=2_N=M=56_m=1_instance_6_2_converted,property_N=56_2,reluS+,unstable,4528,sat,1.1554,sat,17.5364,sat,17.7597
tllBench_n=2_N=M=56_m=1_instance_6_3_converted,property_N=56_3,reluS+,unstable,4216,sat,1.1333,sat,17.2028,sat,17.3026
tllBench_n=2_N=M=64_m=1_instance_7_0_converted,property_N=64_0,reluS+,unstable,5860,unsat,7.6458,unsat,40.6179,unsat,40.7492
tllBench_n=2_N=M=64_m=1_instance_7_1_converted,property_N=64_1,reluS+,unstable,5860,sat,1.8926,sat,29.8319,sat,29.9971
tllBench_n=2_N=M=64_m=1_instance_7_2_converted,property_N=64_2,reluS+,unstable,5586,sat,1.7938,sat,28.9736,sat,29.4747
tllBench_n=2_N=M=64_m=1_instance_7_3_converted,property_N=64_3,reluS+,unstable,5908,unsat,7.6569,unsat,40.6956,unsat,40.5127
