onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,splitted_r,splitted_t,baseline_r,baseline_t
tllBench_n=2_N=M=8_m=1_instance_0_0_converted,property_N=8_0,reluS-,unstable,94,unsat,3.852,unsat,3.878,unsat,3.9937
tllBench_n=2_N=M=8_m=1_instance_0_1_converted,property_N=8_1,reluS-,unstable,90,unsat,3.9429,unsat,4.0094,unsat,4.0276
tllBench_n=2_N=M=8_m=1_instance_0_2_converted,property_N=8_2,reluS-,unstable,96,sat,0.2381,sat,0.2528,sat,0.239
tllBench_n=2_N=M=8_m=1_instance_0_3_converted,property_N=8_3,reluS-,unstable,86,unsat,3.8346,unsat,3.877,unsat,3.9187
tllBench_n=2_N=M=16_m=1_instance_1_0_converted,property_N=16_0,reluS-,unstable,374,sat,0.2605,sat,0.381,sat,0.3792
tllBench_n=2_N=M=16_m=1_instance_1_1_converted,property_N=16_1,reluS-,unstable,320,sat,0.2543,sat,0.5847,sat,0.4725
tllBench_n=2_N=M=16_m=1_instance_1_2_converted,property_N=16_2,reluS-,unstable,368,sat,0.248,sat,0.3745,sat,0.3831
tllBench_n=2_N=M=16_m=1_instance_1_3_converted,property_N=16_3,reluS-,unstable,360,sat,0.2452,sat,0.3838,sat,0.3721
tllBench_n=2_N=M=24_m=1_instance_2_0_converted,property_N=24_0,reluS-,unstable,878,sat,0.2651,sat,0.911,sat,0.8898
tllBench_n=2_N=M=24_m=1_instance_2_1_converted,property_N=24_1,reluS-,unstable,788,unsat,4.362,unsat,4.9249,unsat,5.0305
tllBench_n=2_N=M=24_m=1_instance_2_2_converted,property_N=24_2,reluS-,unstable,826,unsat,4.2629,unsat,4.9977,unsat,4.9047
tllBench_n=2_N=M=24_m=1_instance_2_3_converted,property_N=24_3,reluS-,unstable,780,unsat,4.5414,unsat,5.1681,unsat,5.2381
tllBench_n=2_N=M=32_m=1_instance_3_0_converted,property_N=32_0,reluS-,unstable,1352,sat,0.3464,sat,2.1007,sat,2.1659
tllBench_n=2_N=M=32_m=1_instance_3_1_converted,property_N=32_1,reluS-,unstable,1294,unsat,4.36,unsat,6.304,unsat,6.2999
tllBench_n=2_N=M=32_m=1_instance_3_2_converted,property_N=32_2,reluS-,unstable,1510,unsat,4.2483,unsat,6.2794,unsat,6.3554
tllBench_n=2_N=M=32_m=1_instance_3_3_converted,property_N=32_3,reluS-,unstable,1482,sat,0.3407,sat,2.1489,sat,2.1717
tllBench_n=2_N=M=40_m=1_instance_4_0_converted,property_N=40_0,reluS-,unstable,1822,sat,0.4847,sat,4.4613,sat,4.4771
tllBench_n=2_N=M=40_m=1_instance_4_1_converted,property_N=40_1,reluS-,unstable,2296,unsat,5.0033,unsat,10.1332,unsat,10.2406
tllBench_n=2_N=M=40_m=1_instance_4_2_converted,property_N=40_2,reluS-,unstable,2302,unsat,5.6124,unsat,11.2347,unsat,11.7342
tllBench_n=2_N=M=40_m=1_instance_4_3_converted,property_N=40_3,reluS-,unstable,2380,unsat,5.2027,unsat,10.4204,unsat,10.5513
tllBench_n=2_N=M=48_m=1_instance_5_0_converted,property_N=48_0,reluS-,unstable,3272,sat,0.8264,sat,9.7335,sat,9.6071
tllBench_n=2_N=M=48_m=1_instance_5_1_converted,property_N=48_1,reluS-,unstable,3328,sat,0.7343,sat,9.7029,sat,9.727
tllBench_n=2_N=M=48_m=1_instance_5_2_converted,property_N=48_2,reluS-,unstable,2856,unsat,5.6847,unsat,16.0471,unsat,16.079
tllBench_n=2_N=M=48_m=1_instance_5_3_converted,property_N=48_3,reluS-,unstable,3274,sat,0.7098,sat,9.6216,sat,9.5982
tllBench_n=2_N=M=56_m=1_instance_6_0_converted,property_N=56_0,reluS-,unstable,4150,unsat,7.3795,unsat,27.0748,unsat,27.3933
tllBench_n=2_N=M=56_m=1_instance_6_1_converted,property_N=56_1,reluS-,unstable,4494,sat,1.1172,sat,17.5029,sat,17.7046
tllBench_n=2_N=M=56_m=1_instance_6_2_converted,property_N=56_2,reluS-,unstable,4528,sat,1.1418,sat,17.5464,sat,17.6753
tllBench_n=2_N=M=56_m=1_instance_6_3_converted,property_N=56_3,reluS-,unstable,4216,sat,1.1175,sat,16.9546,sat,17.2484
tllBench_n=2_N=M=64_m=1_instance_7_0_converted,property_N=64_0,reluS-,unstable,5860,unsat,7.604,unsat,40.859,unsat,40.7668
tllBench_n=2_N=M=64_m=1_instance_7_1_converted,property_N=64_1,reluS-,unstable,5860,sat,1.7731,sat,30.7862,sat,30.1157
tllBench_n=2_N=M=64_m=1_instance_7_2_converted,property_N=64_2,reluS-,unstable,5586,sat,1.7968,sat,29.3672,sat,29.8495
tllBench_n=2_N=M=64_m=1_instance_7_3_converted,property_N=64_3,reluS-,unstable,5908,unsat,7.7782,unsat,40.7865,unsat,40.722
