onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,0.001_r,0.001_t,0.01_r,0.01_t,0.1_r,0.1_t,0.2_r,0.2_t,0.4_r,0.4_t,0.8_r,0.8_t,1.0_r,1.0_t,2.0_r,2.0_t,4.0_r,4.0_t,8.0_r,8.0_t
ACASXU_run2a_1_1_batch_2000_converted,prop_1,random,stable,32,unsat,2.455359697341919,unsat,2.4986472129821777,unsat,2.530038833618164,unsat,2.5445938110351562,unsat,2.511326789855957,unsat,2.5270397663116455,unsat,2.534141778945923,unsat,2.524024248123169,unsat,2.5010268688201904,unsat,2.545013666152954,unsat,2.549827814102173
ACASXU_run2a_1_2_batch_2000_converted,prop_1,random,stable,24,unsat,2.3889412879943848,unsat,2.4711592197418213,unsat,2.4873132705688477,unsat,2.4835269451141357,unsat,2.4771358966827393,unsat,2.4843342304229736,unsat,2.4430770874023438,unsat,2.4712016582489014,unsat,2.479339838027954,unsat,2.477811574935913,unsat,2.509467124938965
ACASXU_run2a_1_3_batch_2000_converted,prop_1,random,stable,23,unsat,2.4458367824554443,unsat,2.595797538757324,unsat,2.5953428745269775,unsat,2.630169153213501,unsat,2.5962538719177246,unsat,2.5907044410705566,unsat,2.576403856277466,unsat,2.581383228302002,unsat,2.592104196548462,unsat,2.517552137374878,unsat,2.5856359004974365
ACASXU_run2a_1_4_batch_2000_converted,prop_1,random,stable,26,unsat,2.450594902038574,unsat,2.5309998989105225,unsat,2.5406172275543213,unsat,2.532416582107544,unsat,2.5264556407928467,unsat,2.5388808250427246,unsat,2.5388736724853516,unsat,2.553898811340332,unsat,2.528491735458374,unsat,2.5353152751922607,unsat,2.5330564975738525
ACASXU_run2a_1_5_batch_2000_converted,prop_1,random,stable,28,unsat,2.3645191192626953,unsat,2.4796664714813232,unsat,2.4704630374908447,unsat,2.481818199157715,unsat,2.469597578048706,unsat,2.4920449256896973,unsat,2.464576005935669,unsat,2.4572904109954834,unsat,2.4783201217651367,unsat,2.481889247894287,unsat,2.4689595699310303
ACASXU_run2a_1_6_batch_2000_converted,prop_1,random,stable,24,unsat,2.403247833251953,unsat,2.4768404960632324,unsat,2.5076982975006104,unsat,2.4984471797943115,unsat,2.486496925354004,unsat,2.5222465991973877,unsat,2.471149444580078,unsat,2.493631601333618,unsat,2.470101833343506,unsat,2.4853851795196533,unsat,2.4788761138916016
ACASXU_run2a_1_7_batch_2000_converted,prop_1,random,stable,27,unsat,2.358046293258667,unsat,2.4069459438323975,unsat,2.432130813598633,unsat,2.418261766433716,unsat,2.418916702270508,unsat,2.431213140487671,unsat,2.4180593490600586,unsat,2.4261281490325928,unsat,2.4206323623657227,unsat,2.4393692016601562,unsat,2.4227418899536133
ACASXU_run2a_1_8_batch_2000_converted,prop_1,random,stable,29,unsat,2.3243281841278076,unsat,2.3655781745910645,unsat,2.3558192253112793,unsat,2.3758249282836914,unsat,2.3560335636138916,unsat,2.337308168411255,unsat,2.3453879356384277,unsat,2.3469858169555664,unsat,2.3813793659210205,unsat,2.3553295135498047,unsat,2.357928991317749
ACASXU_run2a_1_9_batch_2000_converted,prop_1,random,stable,25,unsat,2.253730535507202,unsat,2.2925689220428467,unsat,2.3082051277160645,unsat,2.31292724609375,unsat,2.3121337890625,unsat,2.3281962871551514,unsat,2.2997701168060303,unsat,2.3158087730407715,unsat,2.3047854900360107,unsat,2.314748525619507,unsat,2.331598997116089
ACASXU_run2a_2_1_batch_2000_converted,prop_1,random,stable,25,unsat,2.4357497692108154,unsat,2.4756386280059814,unsat,2.4777047634124756,unsat,2.4747185707092285,unsat,2.4836292266845703,unsat,2.5059807300567627,unsat,2.4715874195098877,unsat,2.485883951187134,unsat,2.4903922080993652,unsat,2.4735257625579834,unsat,2.4914424419403076
