onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,0.001_r,0.001_t,0.01_r,0.01_t,0.1_r,0.1_t,0.2_r,0.2_t,0.4_r,0.4_t,0.8_r,0.8_t,1.0_r,1.0_t,2.0_r,2.0_t,4.0_r,4.0_t,8.0_r,8.0_t
ACASXU_run2a_1_1_batch_2000_converted,prop_1,random,stable,32,unsat,2.278,unsat,1.61,unsat,4.554,unsat,3.736,unsat,3.512,unsat,3.621,unsat,3.574,unsat,3.181,unsat,3.014,unsat,2.747,unsat,2.872
ACASXU_run2a_1_2_batch_2000_converted,prop_1,random,stable,24,unsat,2.33,unsat,5.536,unsat,4.671,unsat,4.335,unsat,4.247,unsat,3.833,unsat,3.907,unsat,3.814,unsat,3.704,unsat,3.658,unsat,3.125
ACASXU_run2a_1_3_batch_2000_converted,prop_1,random,stable,23,unsat,5.62,unsat,8.943,unsat,11.942,unsat,10.68,sat,10.357,unsat,11.191,unsat,11.065,unsat,9.427,unsat,8.469,unsat,8.012,unsat,8.182
ACASXU_run2a_1_4_batch_2000_converted,prop_1,random,stable,26,unsat,4.675,unsat,8.387,unsat,7.777,unsat,7.639,unsat,7.064,unsat,7.391,unsat,6.682,sat,6.833,unsat,5.451,unsat,5.966,unsat,5.816
ACASXU_run2a_1_5_batch_2000_converted,prop_1,random,stable,28,unsat,1.865,unsat,0.038,unsat,5.807,unsat,4.618,unsat,4.316,unsat,3.96,unsat,3.348,unsat,3.438,unsat,3.04,unsat,2.78,unsat,2.697
ACASXU_run2a_1_6_batch_2000_converted,prop_1,random,stable,24,unsat,2.995,unsat,0.039,unsat,6.841,unsat,5.818,unsat,9.205,unsat,4.628,unsat,4.746,unsat,4.907,unsat,4.717,unsat,3.862,unsat,4.027
ACASXU_run2a_1_7_batch_2000_converted,prop_1,random,stable,27,unsat,1.457,unsat,0.039,unsat,3.439,unsat,2.954,unsat,2.633,unsat,2.66,unsat,2.456,unsat,2.474,unsat,2.292,unsat,1.933,unsat,2.032
ACASXU_run2a_1_8_batch_2000_converted,prop_1,random,stable,29,unsat,1.423,unsat,0.039,unsat,2.614,unsat,2.567,unsat,2.139,unsat,2.534,unsat,1.982,unsat,2.492,unsat,1.643,unsat,1.673,unsat,1.871
ACASXU_run2a_1_9_batch_2000_converted,prop_1,random,stable,25,unsat,1.348,unsat,0.038,unsat,1.807,unsat,1.595,unsat,1.91,unsat,1.46,unsat,1.39,unsat,1.391,unsat,1.281,unsat,1.298,unsat,1.264
ACASXU_run2a_2_1_batch_2000_converted,prop_1,random,stable,25,unsat,3.846,unsat,15.631,unsat,7.533,unsat,6.586,unsat,6.101,unsat,6.754,unsat,5.51,unsat,5.978,unsat,6.009,unsat,5.473,unsat,5.467
ACASXU_run2a_2_2_batch_2000_converted,prop_1,random,stable,23,unsat,8.951,unsat,0.039,unsat,15.284,unsat,15.48,unsat,14.545,unsat,15.081,unsat,12.779,unsat,14.615,unsat,13.179,unsat,11.818,unsat,11.613
