onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,0.001_r,0.001_t,0.01_r,0.01_t,0.1_r,0.1_t,0.2_r,0.2_t,0.4_r,0.4_t,0.8_r,0.8_t,1.0_r,1.0_t,2.0_r,2.0_t,4.0_r,4.0_t,8.0_r,8.0_t
ACASXU_run2a_1_1_batch_2000_converted,prop_1,random,stable,32,unsat,4.158,unsat,4.446,unsat,4.443,unsat,4.4476,unsat,4.4496,unsat,4.372,unsat,4.3888,unsat,4.476,unsat,4.403,unsat,4.4305,unsat,4.423
ACASXU_run2a_1_2_batch_2000_converted,prop_1,random,stable,24,unsat,4.0677,unsat,7.8485,unsat,7.7608,unsat,7.6423,unsat,7.7115,unsat,7.8744,unsat,7.8763,unsat,7.9792,unsat,8.0273,unsat,7.7269,unsat,7.9507
ACASXU_run2a_1_3_batch_2000_converted,prop_1,random,stable,23,unsat,8.6052,unsat,12.2658,unsat,12.2201,unsat,12.4552,unsat,12.2191,unsat,12.5873,unsat,12.5888,unsat,12.5779,unsat,12.4979,unsat,12.5463,unsat,12.5229
ACASXU_run2a_1_4_batch_2000_converted,prop_1,random,stable,26,unsat,8.7963,unsat,10.0418,unsat,10.0389,unsat,10.0833,unsat,10.238,unsat,10.2536,unsat,10.0125,unsat,10.0543,unsat,10.1696,unsat,10.0389,unsat,10.2065
ACASXU_run2a_1_5_batch_2000_converted,prop_1,random,stable,28,unsat,3.9935,unsat,9.0076,unsat,9.53,unsat,9.2841,unsat,9.3391,unsat,9.3686,unsat,9.1254,unsat,9.376,unsat,9.154,unsat,9.2615,unsat,9.3189
ACASXU_run2a_1_6_batch_2000_converted,prop_1,random,stable,24,unsat,4.0654,unsat,4.3322,unsat,4.287,unsat,4.2678,unsat,4.258,unsat,4.1709,unsat,4.2602,unsat,4.2755,unsat,4.2554,unsat,4.1974,unsat,4.2089
ACASXU_run2a_1_7_batch_2000_converted,prop_1,random,stable,27,unsat,3.8317,unsat,4.0214,unsat,3.9425,unsat,3.9709,unsat,3.9781,unsat,3.9909,unsat,4.0161,unsat,3.9621,unsat,4.0258,unsat,3.9895,unsat,4.0203
ACASXU_run2a_1_8_batch_2000_converted,prop_1,random,stable,29,unsat,3.8142,unsat,3.96,unsat,3.9797,unsat,4.0132,unsat,4.0134,unsat,3.9678,unsat,4.0331,unsat,4.0067,unsat,4.0105,unsat,4.0124,unsat,3.9684
ACASXU_run2a_1_9_batch_2000_converted,prop_1,random,stable,25,unsat,3.8161,unsat,3.967,unsat,3.9295,unsat,3.9272,unsat,3.8938,unsat,3.9482,unsat,3.9578,unsat,3.9674,unsat,4.0163,unsat,3.9467,unsat,3.9308
ACASXU_run2a_2_1_batch_2000_converted,prop_1,random,stable,25,unsat,4.0795,unsat,4.9009,unsat,4.9479,unsat,4.8802,unsat,4.9101,unsat,4.9056,unsat,4.8432,unsat,4.8934,unsat,4.8756,unsat,4.9036,unsat,4.8551
ACASXU_run2a_2_2_batch_2000_converted,prop_1,random,stable,23,unsat,8.7493,unsat,9.4545,unsat,9.406,unsat,9.5344,unsat,9.4568,unsat,9.5432,unsat,9.4169,unsat,9.2417,unsat,9.3809,unsat,9.5078,unsat,9.7268
ACASXU_run2a_2_3_batch_2000_converted,prop_1,random,stable,29,unsat,8.7135,unsat,9.9548,unsat,9.97,unsat,9.6562,unsat,10.0171,unsat,9.9815,unsat,9.7628,unsat,9.9562,unsat,9.9302,unsat,9.9271,unsat,9.8858
ACASXU_run2a_2_4_batch_2000_converted,prop_1,random,stable,30,unsat,6.5426,unsat,10.0051,unsat,9.9662,unsat,10.1457,unsat,10.1612,unsat,10.185,unsat,10.0912,unsat,9.8566,unsat,9.8242,unsat,10.1344,unsat,10.2902
ACASXU_run2a_2_5_batch_2000_converted,prop_1,random,stable,23,unsat,6.3519,unsat,11.9018,unsat,11.9615,unsat,12.0386,unsat,12.0924,unsat,11.5333,unsat,12.0689,unsat,11.9819,unsat,11.924,unsat,11.9346,unsat,12.1131
ACASXU_run2a_2_6_batch_2000_converted,prop_1,random,stable,19,unsat,8.5872,unsat,13.2612,unsat,13.2089,unsat,13.1632,unsat,13.2618,unsat,13.3477,unsat,13.1866,unsat,13.2366,unsat,13.0719,unsat,12.7455,unsat,13.3608
ACASXU_run2a_2_7_batch_2000_converted,prop_1,random,stable,15,unsat,10.3194,unsat,15.4997,unsat,15.7997,unsat,15.147,unsat,15.5721,unsat,15.5034,unsat,15.2367,unsat,14.9094,unsat,15.676,unsat,15.3985,unsat,15.7628
ACASXU_run2a_2_8_batch_2000_converted,prop_1,random,stable,13,unsat,11.4034,unsat,23.4117,unsat,23.1724,unsat,23.6497,unsat,22.8379,unsat,23.4925,unsat,22.9126,unsat,23.0646,unsat,23.4944,unsat,23.5234,unsat,22.961
ACASXU_run2a_2_9_batch_2000_converted,prop_1,random,stable,11,unsat,11.7638,unsat,15.7561,unsat,15.6374,unsat,15.5976,unsat,15.6377,unsat,15.6762,unsat,15.6499,unsat,15.8745,unsat,15.762,unsat,15.3959,unsat,15.6146
ACASXU_run2a_3_1_batch_2000_converted,prop_1,random,stable,32,unsat,4.1197,unsat,4.887,unsat,4.8452,unsat,4.8772,unsat,4.8548,unsat,4.8794,unsat,4.838,unsat,4.8926,unsat,4.8697,unsat,4.9053,unsat,4.8782
ACASXU_run2a_3_2_batch_2000_converted,prop_1,random,stable,27,unsat,8.9204,unsat,10.1584,unsat,10.2481,unsat,10.3358,unsat,9.9606,unsat,10.1828,unsat,10.4517,unsat,10.131,unsat,10.3873,unsat,10.2466,unsat,10.2381
ACASXU_run2a_3_3_batch_2000_converted,prop_1,random,stable,28,unsat,4.3975,unsat,5.2468,unsat,5.2497,unsat,5.2332,unsat,5.2696,unsat,5.2835,unsat,5.3276,unsat,5.1889,unsat,5.259,unsat,5.3032,unsat,5.224
ACASXU_run2a_3_4_batch_2000_converted,prop_1,random,stable,28,unsat,5.7952,unsat,10.825,unsat,10.7187,unsat,10.825,unsat,10.7125,unsat,10.7922,unsat,10.4783,unsat,10.8771,unsat,10.7956,unsat,10.6055,unsat,11.0038
ACASXU_run2a_3_5_batch_2000_converted,prop_1,random,stable,26,unsat,5.5001,unsat,10.1216,unsat,10.4012,unsat,10.3253,unsat,10.4622,unsat,10.2948,unsat,10.2378,unsat,10.3202,unsat,10.4249,unsat,10.2805,unsat,10.3451
ACASXU_run2a_3_6_batch_2000_converted,prop_1,random,stable,25,unsat,10.5748,unsat,15.4682,unsat,15.7063,unsat,15.5103,unsat,15.344,unsat,15.5172,unsat,15.264,unsat,15.6042,unsat,15.019,unsat,15.0864,unsat,15.1888
ACASXU_run2a_3_7_batch_2000_converted,prop_1,random,stable,13,unsat,9.6217,unsat,11.7027,unsat,11.7488,unsat,11.6087,unsat,11.8971,unsat,11.6753,unsat,11.6909,unsat,11.5024,unsat,11.7796,unsat,11.9442,unsat,11.7419
ACASXU_run2a_3_8_batch_2000_converted,prop_1,random,stable,17,unsat,9.833,unsat,13.7818,unsat,13.7194,unsat,13.5534,unsat,13.7598,unsat,13.577,unsat,13.5494,unsat,13.6153,unsat,13.8171,unsat,13.2598,unsat,13.9182
ACASXU_run2a_3_9_batch_2000_converted,prop_1,random,stable,14,unsat,12.5229,unsat,15.7845,unsat,15.7836,unsat,15.9868,unsat,15.2994,unsat,15.7867,unsat,15.6007,unsat,15.8842,unsat,15.952,unsat,15.2574,unsat,15.8173
ACASXU_run2a_4_1_batch_2000_converted,prop_1,random,stable,29,unsat,10.6983,unsat,15.3035,unsat,14.9133,unsat,15.4314,unsat,14.8553,unsat,14.8425,unsat,14.9072,unsat,14.8988,unsat,15.199,unsat,14.6483,unsat,15.4449
ACASXU_run2a_4_2_batch_2000_converted,prop_1,random,stable,26,unsat,4.4635,unsat,4.7875,unsat,4.8712,unsat,4.8787,unsat,4.7796,unsat,4.8633,unsat,4.788,unsat,4.8803,unsat,4.7841,unsat,4.8058,unsat,4.8104
ACASXU_run2a_4_3_batch_2000_converted,prop_1,random,stable,26,unsat,4.4824,unsat,9.6983,unsat,9.9128,unsat,10.0539,unsat,10.0074,unsat,10.0555,unsat,9.8772,unsat,10.0057,unsat,9.8489,unsat,10.0294,unsat,9.9924
ACASXU_run2a_4_4_batch_2000_converted,prop_1,random,stable,30,unsat,6.603,unsat,10.5065,unsat,10.4409,unsat,10.2518,unsat,10.3025,unsat,10.438,unsat,10.4458,unsat,10.3924,unsat,10.2943,unsat,10.3759,unsat,10.0537
ACASXU_run2a_4_5_batch_2000_converted,prop_1,random,stable,25,unsat,9.1162,unsat,15.3135,unsat,15.1706,unsat,15.4459,unsat,14.9335,unsat,15.3889,unsat,15.343,unsat,15.5089,unsat,15.0813,unsat,15.2548,unsat,15.3577
ACASXU_run2a_4_6_batch_2000_converted,prop_1,random,stable,17,unsat,11.3031,unsat,15.4723,unsat,15.6856,unsat,14.9444,unsat,14.8613,unsat,15.6541,unsat,15.6754,unsat,15.0892,unsat,15.3073,unsat,15.0175,unsat,15.2422
ACASXU_run2a_4_7_batch_2000_converted,prop_1,random,stable,17,unsat,14.7586,unsat,18.9439,unsat,18.7218,unsat,18.013,unsat,18.1904,unsat,18.5684,unsat,18.7764,unsat,18.7812,unsat,18.5974,unsat,18.7561,unsat,18.062
ACASXU_run2a_4_8_batch_2000_converted,prop_1,random,stable,16,unsat,12.2233,unsat,15.4342,unsat,15.3073,unsat,15.8681,unsat,15.9209,unsat,15.9459,unsat,15.8978,unsat,15.2566,unsat,15.7365,unsat,15.6464,unsat,15.461
ACASXU_run2a_4_9_batch_2000_converted,prop_1,random,stable,11,unsat,15.2351,unsat,16.3025,unsat,15.9794,unsat,15.8469,unsat,15.6251,unsat,15.5009,unsat,15.4491,unsat,15.9038,unsat,15.968,unsat,15.5429,unsat,15.89
ACASXU_run2a_5_1_batch_2000_converted,prop_1,random,stable,32,unsat,5.3012,unsat,10.2223,unsat,10.3957,unsat,10.1897,unsat,10.0288,unsat,10.329,unsat,10.2429,unsat,10.3286,unsat,10.0504,unsat,10.3396,unsat,10.1057
ACASXU_run2a_5_2_batch_2000_converted,prop_1,random,stable,33,unsat,4.7662,unsat,11.3631,unsat,11.3332,unsat,11.2504,unsat,11.5137,unsat,11.0877,unsat,11.278,unsat,11.5089,unsat,11.0118,unsat,11.0322,unsat,11.0187
ACASXU_run2a_5_3_batch_2000_converted,prop_1,random,stable,20,unsat,4.1651,unsat,4.1428,unsat,4.2412,unsat,4.2557,unsat,4.3153,unsat,4.2615,unsat,4.2402,unsat,4.2654,unsat,4.2413,unsat,4.2467,unsat,4.3219
ACASXU_run2a_5_4_batch_2000_converted,prop_1,random,stable,33,unsat,5.0484,unsat,9.2919,unsat,9.2671,unsat,9.7241,unsat,9.4719,unsat,9.5543,unsat,9.6143,unsat,9.7297,unsat,9.6542,unsat,9.3944,unsat,9.2816
ACASXU_run2a_5_5_batch_2000_converted,prop_1,random,stable,25,unsat,9.0125,unsat,11.5507,unsat,11.7942,unsat,11.7529,unsat,11.7232,unsat,11.4278,unsat,11.8025,unsat,11.6663,unsat,11.6462,unsat,11.7782,unsat,11.7734
ACASXU_run2a_5_6_batch_2000_converted,prop_1,random,stable,14,unsat,14.7677,unsat,15.7194,unsat,15.7368,unsat,15.8093,unsat,15.0509,unsat,15.6221,unsat,15.6471,unsat,15.2162,unsat,15.7513,unsat,15.5187,unsat,15.7431
ACASXU_run2a_5_7_batch_2000_converted,prop_1,random,stable,12,unsat,9.2656,unsat,15.6202,unsat,15.2552,unsat,15.8317,unsat,16.0852,unsat,15.568,unsat,15.789,unsat,15.6432,unsat,15.6403,unsat,15.7392,unsat,15.3008
