onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,0.001_r,0.001_t,0.01_r,0.01_t,0.1_r,0.1_t,0.2_r,0.2_t,0.4_r,0.4_t,0.8_r,0.8_t,1.0_r,1.0_t,2.0_r,2.0_t,4.0_r,4.0_t,8.0_r,8.0_t
ACASXU_run2a_1_1_batch_2000_converted,prop_1,random,stable,32,unsat,1.5,unsat,6.6,unsat,7.1,unsat,6.9,unsat,6.8,unsat,7.7,unsat,8.4,unsat,8.7,unsat,13.5,unsat,18.6,unsat,24.9
ACASXU_run2a_1_2_batch_2000_converted,prop_1,random,stable,24,unsat,1.5,unsat,11.0,unsat,10.9,unsat,10.9,unsat,10.9,unsat,12.8,unsat,13.7,unsat,15.2,unsat,18.2,unsat,19.6,unsat,24.0
ACASXU_run2a_1_3_batch_2000_converted,prop_1,random,stable,23,unsat,1.6,unsat,15.4,unsat,14.6,unsat,14.6,unsat,15.0,unsat,15.9,unsat,20.5,unsat,16.7,unsat,20.3,unsat,22.9,unsat,27.1
ACASXU_run2a_1_4_batch_2000_converted,prop_1,random,stable,26,unsat,1.5,unsat,17.6,unsat,17.0,unsat,16.6,unsat,17.6,unsat,17.2,unsat,22.4,unsat,20.6,unsat,26.1,unsat,31.7,unsat,34.2
ACASXU_run2a_1_5_batch_2000_converted,prop_1,random,stable,28,unsat,1.5,unsat,12.5,unsat,13.0,unsat,11.1,unsat,11.9,unsat,11.2,unsat,12.7,unsat,15.5,unsat,21.7,unsat,23.6,unsat,29.7
ACASXU_run2a_1_6_batch_2000_converted,prop_1,random,stable,24,unsat,1.6,unsat,20.9,unsat,21.9,unsat,22.0,unsat,20.7,unsat,24.1,unsat,28.4,unsat,26.1,unsat,39.4,unsat,44.2,unsat,49.5
ACASXU_run2a_1_7_batch_2000_converted,prop_1,random,stable,27,unsat,1.6,unsat,7.2,unsat,7.2,unsat,8.3,unsat,7.0,unsat,7.8,unsat,9.2,unsat,9.0,unsat,11.8,unsat,15.7,unsat,18.7
ACASXU_run2a_1_8_batch_2000_converted,prop_1,random,stable,29,unsat,1.6,unsat,2.4,unsat,2.4,unsat,2.1,unsat,2.4,unsat,2.1,unsat,2.6,unsat,3.6,unsat,8.4,unsat,14.4,unsat,19.2
ACASXU_run2a_1_9_batch_2000_converted,prop_1,random,stable,25,unsat,1.6,unsat,1.9,unsat,2.6,unsat,1.9,unsat,1.8,unsat,1.8,unsat,2.6,unsat,9.2,unsat,15.8,unsat,24.7,unsat,40.1
ACASXU_run2a_2_1_batch_2000_converted,prop_1,random,stable,25,unsat,1.6,unsat,39.9,unsat,39.3,unsat,37.8,unsat,43.8,unsat,49.8,unsat,58.4,error,-1,error,-1,error,-1,error,-1
ACASXU_run2a_2_2_batch_2000_converted,prop_1,random,stable,23,unsat,1.7,unsat,18.3,unsat,18.6,unsat,17.7,unsat,19.0,unsat,21.1,unsat,22.3,unsat,24.0,unsat,28.7,unsat,31.4,unsat,34.5
ACASXU_run2a_2_3_batch_2000_converted,prop_1,random,stable,29,unsat,1.6,unsat,32.4,unsat,31.4,unsat,31.2,unsat,34.2,unsat,38.6,unsat,44.2,unsat,43.0,unsat,45.4,unsat,53.9,error,-1
ACASXU_run2a_2_4_batch_2000_converted,prop_1,random,stable,30,unsat,1.5,unsat,6.6,unsat,6.7,unsat,6.7,unsat,6.6,unsat,7.2,unsat,8.1,unsat,8.6,unsat,9.0,unsat,10.8,unsat,12.2
ACASXU_run2a_2_5_batch_2000_converted,prop_1,random,stable,23,unsat,1.7,unsat,50.2,unsat,51.6,unsat,48.6,unsat,52.5,unsat,55.1,unsat,61.46,unsat,67.3,unsat,76.73,unsat,79.62,unsat,99.68
