onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,0.001_r,0.001_t,0.01_r,0.01_t,0.1_r,0.1_t,0.2_r,0.2_t,0.4_r,0.4_t,0.8_r,0.8_t,1.0_r,1.0_t,2.0_r,2.0_t,4.0_r,4.0_t,8.0_r,8.0_t
mnist-net_256x2,prop_0_0.03,random,stable,248,unsat,1.412109375,unsat,3.254286766052246,unsat,3.1816413402557373,unsat,3.2085800170898438,unsat,3.275371789932251,unsat,3.1888630390167236,unsat,3.243652582168579,unsat,3.245978832244873,unsat,3.199476480484009,unsat,3.207672357559204,unsat,3.196100950241089
mnist-net_256x2,prop_1_0.03,random,stable,244,sat,0.7964892387390137,sat,0.9468026161193848,sat,0.9286174774169922,sat,0.9194607734680176,sat,0.9562118053436279,sat,0.9277865886688232,sat,0.9500808715820312,sat,0.931926965713501,sat,0.93747878074646,sat,0.9481709003448486,sat,0.9449665546417236
mnist-net_256x2,prop_2_0.03,random,stable,245,sat,4.32996392250061,sat,7.917174339294434,sat,7.886006832122803,sat,7.772581100463867,sat,7.946863174438477,sat,8.227850437164307,sat,7.950169563293457,sat,7.013877630233765,sat,7.341909170150757,sat,7.978055000305176,sat,7.564927816390991
mnist-net_256x2,prop_3_0.03,random,stable,252,unsat,1.3696386814117432,unsat,1.525597333908081,unsat,1.5155770778656006,unsat,1.516810655593872,unsat,1.5367696285247803,unsat,1.5116539001464844,unsat,1.4973139762878418,unsat,1.5166666507720947,unsat,1.5430107116699219,unsat,1.5164217948913574,unsat,1.4987702369689941
mnist-net_256x2,prop_4_0.03,random,stable,243,unsat,3.017793655395508,unsat,3.2061285972595215,unsat,3.2665388584136963,unsat,3.2321133613586426,unsat,3.2810258865356445,unsat,3.1988115310668945,unsat,3.26371693611145,unsat,3.2416141033172607,unsat,3.253859758377075,unsat,3.2508206367492676,unsat,3.2588369846343994
mnist-net_256x2,prop_5_0.03,random,stable,245,unsat,1.3787827491760254,unsat,3.2399070262908936,unsat,3.2702860832214355,unsat,3.2997496128082275,unsat,3.225862979888916,unsat,3.256868839263916,unsat,3.2746548652648926,unsat,3.2549350261688232,unsat,3.28434681892395,unsat,3.2289481163024902,unsat,3.239940643310547
mnist-net_256x2,prop_6_0.03,random,stable,241,unsat,4.945701599121094,unsat,7.733548641204834,unsat,7.657189846038818,unsat,7.609026193618774,unsat,7.51706075668335,unsat,7.412745714187622,unsat,7.630148649215698,unsat,7.714132070541382,unsat,7.615580797195435,unsat,7.5072455406188965,unsat,7.4450037479400635
mnist-net_256x2,prop_7_0.03,random,stable,251,unsat,1.48103666305542,unsat,1.6303083896636963,unsat,1.5975441932678223,unsat,1.64524245262146,unsat,1.6007604598999023,unsat,1.6184117794036865,unsat,1.6414837837219238,unsat,1.6241886615753174,unsat,1.6229190826416016,unsat,1.6239147186279297,unsat,1.6093943119049072
mnist-net_256x2,prop_8_0.03,random,stable,249,unsat,4.825756788253784,unsat,6.71877384185791,unsat,6.218621492385864,unsat,6.376707553863525,unsat,6.342511892318726,unsat,6.328068494796753,unsat,6.209365367889404,unsat,6.222087621688843,unsat,6.24907374382019,unsat,6.285268306732178,unsat,6.265902280807495
mnist-net_256x2,prop_9_0.03,random,stable,251,unsat,1.3594164848327637,unsat,1.5141263008117676,unsat,1.482168436050415,unsat,1.5037670135498047,unsat,1.4746310710906982,unsat,1.5254459381103516,unsat,1.5539629459381104,unsat,1.5083036422729492,unsat,1.5062792301177979,unsat,1.5407166481018066,unsat,1.509408950805664
mnist-net_256x2,prop_10_0.03,random,stable,247,unsat,1.403057336807251,unsat,3.156527280807495,unsat,3.1832516193389893,unsat,3.2202506065368652,unsat,3.199500799179077,unsat,3.233150005340576,unsat,3.2260942459106445,unsat,3.211559295654297,unsat,3.1985464096069336,unsat,3.1759257316589355,unsat,3.184741258621216
