onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,0.001_r,0.001_t,0.01_r,0.01_t,0.1_r,0.1_t,0.2_r,0.2_t,0.4_r,0.4_t,0.8_r,0.8_t,1.0_r,1.0_t,2.0_r,2.0_t,4.0_r,4.0_t,8.0_r,8.0_t
mnist-net_256x2,prop_0_0.03,random,stable,248,unsat,22.186,sat,208.46,sat,190.265,sat,191.727,sat,237.914,sat,309.219,timeout,330,sat,294.902,timeout,330,timeout,330,timeout,330
mnist-net_256x2,prop_1_0.03,random,stable,SKIPPED,timeout,300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mnist-net_256x2,prop_2_0.03,random,stable,245,sat,71.502,sat,170.444,sat,167.556,sat,204.001,sat,188.976,sat,192.679,sat,202.439,sat,250.181,sat,266.212,timeout,330,sat,258.278
mnist-net_256x2,prop_3_0.03,random,stable,252,unsat,17.817,unsat,50.129,unsat,58.561,unsat,50.532,unsat,73.497,unsat,73.654,unsat,80.844,unsat,82.055,unsat,79.624,unsat,158.174,unsat,115.302
mnist-net_256x2,prop_4_0.03,random,stable,243,unsat,38.482,sat,298.171,sat,299.912,timeout,330,timeout,330,timeout,330,timeout,330,sat,267.088,timeout,330,timeout,330,timeout,330
mnist-net_256x2,prop_5_0.03,random,stable,245,unsat,49.361,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330
mnist-net_256x2,prop_6_0.03,random,stable,SKIPPED,timeout,300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mnist-net_256x2,prop_7_0.03,random,stable,251,unsat,15.848,unsat,45.994,unsat,35.521,unsat,51.448,unsat,36.443,unsat,57.356,unsat,35.239,unsat,58.941,unsat,35.695,unsat,35.241,unsat,55.669
mnist-net_256x2,prop_8_0.03,random,stable,249,unsat,58.929,sat,186.635,sat,284.553,sat,245.309,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330
mnist-net_256x2,prop_9_0.03,random,stable,251,unsat,24.582,unsat,39.329,unsat,74.633,unsat,194.512,unsat,308.651,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330
mnist-net_256x2,prop_10_0.03,random,stable,247,unsat,16.441,unsat,96.791,unsat,87.186,timeout,330,unsat,179.114,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330
mnist-net_256x2,prop_11_0.03,random,stable,250,unsat,16.455,unsat,53.395,unsat,67.379,unsat,148.069,unsat,124.352,unsat,204.712,unsat,132.991,unsat,156.509,timeout,330,unsat,204.014,timeout,330
mnist-net_256x2,prop_12_0.03,random,stable,251,sat,171.593,timeout,330,sat,286.199,sat,60.181,sat,86.255,sat,66.889,sat,314.575,timeout,330,timeout,330,timeout,330,timeout,330
mnist-net_256x2,prop_13_0.03,random,stable,254,unsat,15.692,unsat,75.956,unsat,49.478,unsat,97.853,unsat,64.773,unsat,35.362,unsat,65.009,unsat,46.428,unsat,108.065,unsat,36.938,unsat,59.81
