onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,0.001_r,0.001_t,0.01_r,0.01_t,0.1_r,0.1_t,0.2_r,0.2_t,0.4_r,0.4_t,0.8_r,0.8_t,1.0_r,1.0_t,2.0_r,2.0_t,4.0_r,4.0_t,8.0_r,8.0_t
mnist-net_256x2,prop_0_0.03,random,stable,248,unsat,1.6376,unsat,4.0195,unsat,3.8973,unsat,3.8936,unsat,3.8557,unsat,3.8746,unsat,3.852,unsat,3.8882,unsat,3.8902,unsat,3.9128,unsat,3.8528
mnist-net_256x2,prop_1_0.03,random,stable,244,sat,0.6341,sat,0.7333,sat,0.7233,sat,0.7477,sat,0.7511,sat,0.7259,sat,0.7374,sat,0.7277,sat,0.7149,sat,0.7563,sat,0.7369
mnist-net_256x2,prop_2_0.03,random,stable,245,sat,11.4386,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330
mnist-net_256x2,prop_3_0.03,random,stable,252,unsat,1.4464,unsat,1.7069,unsat,1.5987,unsat,1.6115,unsat,1.6261,unsat,1.5808,unsat,1.6053,unsat,1.5953,unsat,1.5874,unsat,1.6195,unsat,1.6079
mnist-net_256x2,prop_4_0.03,random,stable,243,unsat,2.9237,unsat,3.9672,unsat,3.9861,unsat,3.9732,unsat,3.9639,unsat,3.9416,unsat,3.9426,unsat,3.9704,unsat,3.9681,unsat,3.9436,unsat,3.9554
mnist-net_256x2,prop_5_0.03,random,stable,245,unsat,1.4241,unsat,3.9764,unsat,3.9653,unsat,3.9548,unsat,3.9488,unsat,3.9858,unsat,3.9706,unsat,3.9471,unsat,3.8937,unsat,3.9615,unsat,3.9547
mnist-net_256x2,prop_6_0.03,random,stable,241,unsat,4.6767,unsat,6.0635,unsat,6.0691,unsat,6.0829,unsat,6.1011,unsat,6.0772,unsat,6.0871,unsat,5.8623,unsat,6.0794,unsat,6.0739,unsat,5.9373
mnist-net_256x2,prop_7_0.03,random,stable,251,unsat,1.5681,unsat,1.7256,unsat,1.7135,unsat,1.7194,unsat,1.729,unsat,1.7137,unsat,1.7336,unsat,1.7097,unsat,1.702,unsat,1.6997,unsat,1.7192
mnist-net_256x2,prop_8_0.03,random,stable,249,unsat,4.2376,unsat,5.548,unsat,5.3431,unsat,5.5485,unsat,5.5561,unsat,5.54,unsat,5.5325,unsat,5.5312,unsat,5.5659,unsat,5.5443,unsat,5.5504
mnist-net_256x2,prop_9_0.03,random,stable,251,unsat,1.4555,unsat,1.634,unsat,1.613,unsat,1.5927,unsat,1.5888,unsat,1.5978,unsat,1.6148,unsat,1.5968,unsat,1.6005,unsat,1.5936,unsat,1.5718
mnist-net_256x2,prop_10_0.03,random,stable,247,unsat,1.4444,unsat,3.0972,unsat,3.1051,unsat,3.0563,unsat,3.0891,unsat,3.0567,unsat,3.06,unsat,3.0704,unsat,3.0838,unsat,3.0705,unsat,3.0834
mnist-net_256x2,prop_11_0.03,random,stable,250,unsat,1.4469,unsat,1.5887,unsat,1.5567,unsat,1.5756,unsat,1.5863,unsat,1.6138,unsat,1.6069,unsat,1.5708,unsat,1.6191,unsat,1.5671,unsat,1.5735
mnist-net_256x2,prop_12_0.03,random,stable,251,sat,0.3575,sat,0.4386,sat,0.4256,sat,0.4388,sat,0.4377,sat,0.4387,sat,0.4444,sat,0.4436,sat,0.4345,sat,0.4377,sat,0.435
mnist-net_256x2,prop_13_0.03,random,stable,254,unsat,1.4428,unsat,1.6061,unsat,1.6051,unsat,1.6023,unsat,1.5967,unsat,1.6027,unsat,1.592,unsat,1.5919,unsat,1.5806,unsat,1.5991,unsat,1.5914
