onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,0.001_r,0.001_t,0.01_r,0.01_t,0.1_r,0.1_t,0.2_r,0.2_t,0.4_r,0.4_t,0.8_r,0.8_t,1.0_r,1.0_t,2.0_r,2.0_t,4.0_r,4.0_t,8.0_r,8.0_t
mnist-net_256x2,prop_0_0.03,random,stable,248,unsat,0.9,unsat,24.5,unsat,24.4,unsat,36.3,unsat,36.0,unsat,37.3,unsat,43.7,unsat,45.2,unsat,51.4,unsat,62.36,unsat,124.68
mnist-net_256x2,prop_1_0.03,random,stable,244,sat,8.9,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330
mnist-net_256x2,prop_2_0.03,random,stable,245,sat,3.9,sat,146.17,sat,135.49,sat,249.94,sat,268.18,sat,289.72,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330
mnist-net_256x2,prop_3_0.03,random,stable,252,unsat,1.0,unsat,1.5,unsat,1.5,unsat,1.5,unsat,1.5,unsat,1.5,unsat,1.5,unsat,1.5,unsat,1.5,unsat,1.5,unsat,1.5
mnist-net_256x2,prop_4_0.03,random,stable,243,unsat,1.0,unsat,24.0,unsat,25.1,unsat,34.9,unsat,39.8,unsat,42.6,unsat,44.7,unsat,47.3,unsat,57.2,unsat,80.83,unsat,131.51
mnist-net_256x2,prop_5_0.03,random,stable,245,unsat,1.0,unsat,19.8,unsat,18.8,unsat,27.4,unsat,29.3,unsat,33.7,unsat,35.1,unsat,36.0,unsat,36.4,unsat,53.9,unsat,84.25
mnist-net_256x2,prop_6_0.03,random,stable,241,unsat,9.9,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,error,-1
mnist-net_256x2,prop_7_0.03,random,stable,251,unsat,1.0,unsat,1.5,unsat,1.5,unsat,1.5,unsat,1.5,unsat,1.5,unsat,1.5,unsat,1.5,unsat,1.5,unsat,1.5,unsat,1.5
mnist-net_256x2,prop_8_0.03,random,stable,249,unsat,3.7,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330
mnist-net_256x2,prop_9_0.03,random,stable,251,unsat,1.0,unsat,1.5,unsat,1.5,unsat,1.5,unsat,1.5,unsat,1.5,unsat,1.5,unsat,1.5,unsat,1.5,unsat,1.5,unsat,1.5
mnist-net_256x2,prop_10_0.03,random,stable,247,unsat,1.0,unsat,11.7,unsat,11.6,unsat,13.3,unsat,14.2,unsat,14.1,unsat,16.0,unsat,16.8,unsat,16.4,unsat,20.9,unsat,22.3
mnist-net_256x2,prop_11_0.03,random,stable,250,unsat,1.0,unsat,1.5,unsat,1.5,unsat,1.5,unsat,1.5,unsat,1.5,unsat,1.5,unsat,1.5,unsat,1.5,unsat,1.5,unsat,1.5
mnist-net_256x2,prop_12_0.03,random,stable,251,sat,1.0,sat,1.5,sat,1.5,sat,1.5,sat,1.5,sat,1.5,sat,1.5,sat,1.5,sat,1.5,sat,1.5,sat,1.5
mnist-net_256x2,prop_13_0.03,random,stable,254,unsat,1.0,unsat,1.5,unsat,1.5,unsat,1.5,unsat,1.5,unsat,1.5,unsat,1.5,unsat,1.5,unsat,1.5,unsat,1.5,unsat,1.5
mnist-net_256x2,prop_14_0.03,random,stable,249,unsat,1.0,unsat,1.5,unsat,1.5,unsat,1.5,unsat,1.5,unsat,1.5,unsat,1.4,unsat,1.5,unsat,1.5,unsat,1.5,unsat,1.5
mnist-net_256x2,prop_0_0.05,random,stable,241,sat,2.6,sat,58.9,sat,59.8,sat,131.36,sat,138.15,sat,139.06,sat,139.56,sat,141.28,sat,144.13,sat,144.37,sat,147.3
mnist-net_256x2,prop_1_0.05,random,stable,236,sat,2.8,sat,63.16,sat,62.92,sat,130.0,sat,137.85,sat,138.44,sat,140.37,sat,145.38,sat,145.5,sat,146.3,sat,153.53
mnist-net_256x2,prop_2_0.05,random,stable,240,sat,2.6,sat,51.0,sat,51.4,sat,132.31,sat,137.43,sat,138.61,sat,140.52,sat,139.56,sat,143.11,sat,145.6,sat,150.5
mnist-net_256x2,prop_3_0.05,random,stable,249,unsat,1.8,unsat,29.0,unsat,29.9,unsat,52.1,unsat,55.4,unsat,58.0,unsat,60.77,unsat,60.0,unsat,84.71,unsat,133.49,unsat,132.65
mnist-net_256x2,prop_4_0.05,random,stable,240,sat,19.6,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330
mnist-net_256x2,prop_5_0.05,random,stable,242,sat,8.3,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330
mnist-net_256x2,prop_6_0.05,random,stable,225,sat,25.0,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330
mnist-net_256x2,prop_7_0.05,random,stable,250,unsat,1.7,unsat,13.9,unsat,14.8,unsat,17.9,unsat,19.4,unsat,22.4,unsat,22.9,unsat,23.2,unsat,27.9,unsat,33.9,unsat,43.4
mnist-net_256x2,prop_8_0.05,random,stable,243,sat,2.6,sat,43.1,sat,43.8,sat,98.28,sat,118.21,sat,132.93,sat,139.07,sat,140.65,error,-1,error,-1,error,-1
mnist-net_256x2,prop_9_0.05,random,stable,248,unsat,5.7,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330
mnist-net_256x2,prop_10_0.05,random,stable,242,unsat,14.6,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330
mnist-net_256x2,prop_11_0.05,random,stable,248,unsat,4.9,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330
mnist-net_256x2,prop_12_0.05,random,stable,248,sat,1.0,sat,1.5,sat,1.5,sat,1.5,sat,1.5,sat,1.5,sat,1.5,sat,1.5,sat,1.5,sat,1.5,sat,1.5
mnist-net_256x2,prop_13_0.05,random,stable,251,unsat,1.6,unsat,21.9,unsat,21.7,unsat,52.0,unsat,55.5,unsat,57.1,unsat,68.95,unsat,69.92,unsat,110.97,unsat,134.88,unsat,135.77
mnist-net_256x2,prop_14_0.05,random,stable,246,unsat,4.9,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330
mnist-net_256x4,prop_0_0.03,random,stable,230,unsat,1.0,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330
mnist-net_256x4,prop_1_0.03,random,stable,SKIPPED,timeout,300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mnist-net_256x4,prop_2_0.03,random,stable,225,unsat,5.3,error,-1,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330
mnist-net_256x4,prop_3_0.03,random,stable,239,unsat,1.0,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330
mnist-net_256x4,prop_4_0.03,random,stable,223,unsat,5.4,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330
mnist-net_256x4,prop_5_0.03,random,stable,225,unsat,1.0,unsat,95.31,unsat,94.34,unsat,143.09,unsat,181.24,unsat,194.86,unsat,203.47,unsat,204.59,unsat,242.46,unsat,275.53,unsat,282.12
mnist-net_256x4,prop_6_0.03,random,stable,SKIPPED,timeout,300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mnist-net_256x4,prop_7_0.03,random,stable,235,unsat,4.6,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330
mnist-net_256x4,prop_8_0.03,random,stable,227,unsat,40.6,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330
mnist-net_256x4,prop_9_0.03,random,stable,233,unsat,5.0,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330
mnist-net_256x4,prop_10_0.03,random,stable,235,unsat,1.0,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330
mnist-net_256x4,prop_11_0.03,random,stable,232,unsat,1.0,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330
mnist-net_256x4,prop_12_0.03,random,stable,240,unsat,4.5,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330
mnist-net_256x4,prop_13_0.03,random,stable,231,unsat,1.0,unsat,100.84,unsat,106.06,unsat,163.41,unsat,169.32,unsat,209.55,unsat,205.9,unsat,202.44,unsat,284.22,unsat,313.57,timeout,330
mnist-net_256x4,prop_14_0.03,random,stable,233,unsat,1.0,unsat,83.67,unsat,86.07,unsat,120.82,unsat,132.28,unsat,147.69,unsat,170.19,unsat,169.91,unsat,208.66,unsat,262.87,unsat,285.08
mnist-net_256x4,prop_0_0.05,random,stable,SKIPPED,timeout,300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mnist-net_256x4,prop_1_0.05,random,stable,SKIPPED,timeout,300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mnist-net_256x4,prop_2_0.05,random,stable,SKIPPED,timeout,300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mnist-net_256x4,prop_3_0.05,random,stable,223,unsat,17.6,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330
mnist-net_256x4,prop_4_0.05,random,stable,SKIPPED,timeout,300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mnist-net_256x4,prop_5_0.05,random,stable,201,unsat,240.87,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330,timeout,330
mnist-net_256x4,prop_6_0.05,random,stable,SKIPPED,timeout,300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mnist-net_256x4,prop_7_0.05,random,stable,SKIPPED,timeout,300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
