onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,0.001_r,0.001_t,0.01_r,0.01_t,0.1_r,0.1_t,0.2_r,0.2_t,0.4_r,0.4_t,0.8_r,0.8_t,1.0_r,1.0_t,2.0_r,2.0_t,4.0_r,4.0_t,8.0_r,8.0_t
tllBench_n=2_N=M=8_m=1_instance_0_0_converted,property_N=8_0,random,stable,34,unsat,1.7210252285003662,unsat,1.778637409210205,unsat,1.7796590328216553,unsat,1.7941296100616455,unsat,1.724120855331421,unsat,1.7867131233215332,unsat,1.7758986949920654,unsat,1.799931287765503,unsat,1.8009016513824463,unsat,1.7653424739837646,unsat,1.8031361103057861
tllBench_n=2_N=M=8_m=1_instance_0_1_converted,property_N=8_1,random,stable,38,unsat,1.7472782135009766,unsat,1.7741551399230957,unsat,1.7653708457946777,unsat,1.7774720191955566,unsat,1.8139674663543701,unsat,1.8171181678771973,unsat,1.7912259101867676,unsat,1.7667350769042969,unsat,1.7745685577392578,unsat,1.7675585746765137,unsat,1.7825171947479248
tllBench_n=2_N=M=8_m=1_instance_0_2_converted,property_N=8_2,random,stable,32,sat,0.5372281074523926,sat,0.5155398845672607,sat,0.5205023288726807,sat,0.5121195316314697,sat,0.5314180850982666,sat,0.5248727798461914,sat,0.5156686305999756,sat,0.554840087890625,sat,0.4992341995239258,sat,0.5265874862670898,sat,0.5274431705474854
tllBench_n=2_N=M=8_m=1_instance_0_3_converted,property_N=8_3,random,stable,42,unsat,1.7207283973693848,unsat,1.7556254863739014,unsat,1.711141586303711,unsat,1.7421715259552002,unsat,1.782865285873413,unsat,1.7537593841552734,unsat,1.7589986324310303,unsat,1.753817081451416,unsat,1.7819397449493408,unsat,1.768451452255249,unsat,1.734729290008545
tllBench_n=2_N=M=16_m=1_instance_1_0_converted,property_N=16_0,random,stable,138,sat,0.5375792980194092,sat,0.6468486785888672,sat,0.6684815883636475,sat,0.6599798202514648,sat,0.6626052856445312,sat,0.6813945770263672,sat,0.6514580249786377,sat,0.6500818729400635,sat,0.6698143482208252,sat,0.6421351432800293,sat,0.6648247241973877
tllBench_n=2_N=M=16_m=1_instance_1_1_converted,property_N=16_1,random,stable,192,sat,0.531679630279541,sat,0.6598272323608398,sat,0.6946315765380859,sat,0.6719586849212646,sat,0.6875269412994385,sat,0.6571221351623535,sat,0.6576800346374512,sat,0.6784701347351074,sat,0.6713113784790039,sat,0.6894717216491699,sat,0.648552656173706
tllBench_n=2_N=M=16_m=1_instance_1_2_converted,property_N=16_2,random,stable,144,sat,0.5421674251556396,sat,0.6459426879882812,sat,0.66390061378479,sat,0.6498937606811523,sat,0.6811192035675049,sat,0.6825473308563232,sat,0.655167818069458,sat,0.694195032119751,sat,0.6553218364715576,sat,0.6798591613769531,sat,0.677128791809082
tllBench_n=2_N=M=16_m=1_instance_1_3_converted,property_N=16_3,random,stable,152,sat,0.5272982120513916,sat,0.6803858280181885,sat,0.6555407047271729,sat,0.6600944995880127,sat,0.6614022254943848,sat,0.7010776996612549,sat,0.668687105178833,sat,0.69677734375,sat,0.6457901000976562,sat,0.6622054576873779,sat,0.6850883960723877
tllBench_n=2_N=M=24_m=1_instance_2_0_converted,property_N=24_0,random,stable,274,sat,0.5226113796234131,sat,1.1342344284057617,sat,1.0989582538604736,sat,1.1396472454071045,sat,1.1180057525634766,sat,1.124976634979248,sat,1.1378841400146484,sat,1.1404144763946533,sat,1.1132583618164062,sat,1.110297441482544,sat,1.1328699588775635
tllBench_n=2_N=M=24_m=1_instance_2_1_converted,property_N=24_1,random,stable,364,unsat,2.224471092224121,unsat,2.996600866317749,unsat,3.0137901306152344,unsat,3.001129150390625,unsat,3.0109400749206543,unsat,2.998016357421875,unsat,3.020285129547119,unsat,2.9970500469207764,unsat,3.0010080337524414,unsat,3.017241954803467,unsat,3.0078699588775635
