onnx,vnnlib,strategy,mask,n_splits,original_r,original_t,0.001_r,0.001_t,0.01_r,0.01_t,0.1_r,0.1_t,0.2_r,0.2_t,0.4_r,0.4_t,0.8_r,0.8_t,1.0_r,1.0_t,2.0_r,2.0_t,4.0_r,4.0_t,8.0_r,8.0_t
tllBench_n=2_N=M=8_m=1_instance_0_0_converted,property_N=8_0,random,stable,34,unsat,3.9939,unsat,4.0542,unsat,4.0816,unsat,3.9685,unsat,4.076,unsat,3.9986,unsat,4.0003,unsat,3.9966,unsat,4.0074,unsat,4.0844,unsat,4.0716
tllBench_n=2_N=M=8_m=1_instance_0_1_converted,property_N=8_1,random,stable,38,unsat,3.9698,unsat,4.0666,unsat,4.0131,unsat,4.0778,unsat,4.0428,unsat,4.0364,unsat,4.0833,unsat,3.9963,unsat,4.0556,unsat,4.0031,unsat,4.084
tllBench_n=2_N=M=8_m=1_instance_0_2_converted,property_N=8_2,random,stable,32,sat,0.2516,sat,0.2464,sat,0.2663,sat,0.2425,sat,0.2488,sat,0.2418,sat,0.2538,sat,0.2515,sat,0.25,sat,0.2436,sat,0.2396
tllBench_n=2_N=M=8_m=1_instance_0_3_converted,property_N=8_3,random,stable,42,unsat,3.9875,unsat,4.0489,unsat,4.0573,unsat,3.9924,unsat,3.9611,unsat,3.9262,unsat,3.9831,unsat,3.9548,unsat,3.9904,unsat,4.0693,unsat,4.0045
tllBench_n=2_N=M=16_m=1_instance_1_0_converted,property_N=16_0,random,stable,138,sat,0.2598,sat,0.3484,sat,0.3464,sat,0.3497,sat,0.3522,sat,0.3637,sat,0.3455,sat,0.35,sat,0.338,sat,0.354,sat,0.3406
tllBench_n=2_N=M=16_m=1_instance_1_1_converted,property_N=16_1,random,stable,192,sat,0.457,sat,0.3668,sat,0.574,sat,0.373,sat,0.4631,sat,0.363,sat,0.4634,sat,0.3562,sat,0.375,sat,0.4802,sat,0.3629
tllBench_n=2_N=M=16_m=1_instance_1_2_converted,property_N=16_2,random,stable,144,sat,0.2452,sat,0.3707,sat,0.3455,sat,0.3404,sat,0.3631,sat,0.3477,sat,0.3661,sat,0.35,sat,0.3658,sat,0.3515,sat,0.3513
tllBench_n=2_N=M=16_m=1_instance_1_3_converted,property_N=16_3,random,stable,152,sat,0.2707,sat,0.354,sat,0.3408,sat,0.3632,sat,0.3566,sat,0.3705,sat,0.3699,sat,0.3538,sat,0.3455,sat,0.3514,sat,0.3662
tllBench_n=2_N=M=24_m=1_instance_2_0_converted,property_N=24_0,random,stable,274,sat,0.2817,sat,0.7241,sat,0.7105,sat,0.7249,sat,0.7126,sat,0.7079,sat,0.7243,sat,0.7177,sat,0.7204,sat,0.7034,sat,0.7071
tllBench_n=2_N=M=24_m=1_instance_2_1_converted,property_N=24_1,random,stable,364,unsat,4.4119,unsat,5.0646,unsat,4.9861,unsat,5.0126,unsat,4.9754,unsat,5.0091,unsat,4.9766,unsat,4.9883,unsat,4.9442,unsat,5.0168,unsat,4.94
tllBench_n=2_N=M=24_m=1_instance_2_2_converted,property_N=24_2,random,stable,326,unsat,4.411,unsat,4.9596,unsat,4.9306,unsat,4.9407,unsat,4.9727,unsat,4.9846,unsat,4.9581,unsat,4.9018,unsat,4.969,unsat,4.8945,unsat,4.8951
tllBench_n=2_N=M=24_m=1_instance_2_3_converted,property_N=24_3,random,stable,372,unsat,4.5708,unsat,5.2467,unsat,5.2964,unsat,5.1832,unsat,5.2768,unsat,5.1854,unsat,5.2284,unsat,5.1735,unsat,5.1661,unsat,5.2476,unsat,5.2027
tllBench_n=2_N=M=32_m=1_instance_3_0_converted,property_N=32_0,random,stable,696,sat,0.3656,sat,1.8081,sat,1.8134,sat,1.7967,sat,1.817,sat,1.8183,sat,1.8303,sat,1.8062,sat,1.9915,sat,1.8093,sat,1.8307
tllBench_n=2_N=M=32_m=1_instance_3_1_converted,property_N=32_1,random,stable,754,unsat,4.5696,unsat,6.3679,unsat,6.2117,unsat,6.1915,unsat,6.2426,unsat,6.2453,unsat,6.182,unsat,6.1859,unsat,6.1759,unsat,6.2039,unsat,6.1213
tllBench_n=2_N=M=32_m=1_instance_3_2_converted,property_N=32_2,random,stable,538,unsat,4.3889,unsat,5.9942,unsat,5.9319,unsat,6.0059,unsat,5.9556,unsat,6.0209,unsat,6.0068,unsat,5.8618,unsat,6.0115,unsat,5.9872,unsat,5.978
tllBench_n=2_N=M=32_m=1_instance_3_3_converted,property_N=32_3,random,stable,566,sat,0.3606,sat,1.7641,sat,1.7759,sat,1.7651,sat,1.723,sat,1.7433,sat,1.7445,sat,1.75,sat,1.7641,sat,1.7639,sat,1.7588
tllBench_n=2_N=M=40_m=1_instance_4_0_converted,property_N=40_0,random,stable,1378,sat,0.5139,sat,4.2507,sat,4.2679,sat,4.3079,sat,4.2374,sat,4.2247,sat,4.2296,sat,4.2273,sat,4.2317,sat,4.2486,sat,4.2229
tllBench_n=2_N=M=40_m=1_instance_4_1_converted,property_N=40_1,random,stable,904,unsat,5.0951,unsat,9.3569,unsat,9.1902,unsat,9.2143,unsat,9.1837,unsat,9.1983,unsat,9.1528,unsat,9.2382,unsat,8.9794,unsat,9.01,unsat,9.0042
tllBench_n=2_N=M=40_m=1_instance_4_2_converted,property_N=40_2,random,stable,898,unsat,5.7063,unsat,11.0844,unsat,10.9743,unsat,10.8058,unsat,10.8722,unsat,10.8891,unsat,10.7863,unsat,10.3746,unsat,10.4275,unsat,10.3523,unsat,10.418
tllBench_n=2_N=M=40_m=1_instance_4_3_converted,property_N=40_3,random,stable,820,unsat,5.1853,unsat,9.6264,unsat,9.524,unsat,9.5327,unsat,9.5028,unsat,9.4592,unsat,9.3863,unsat,9.1413,unsat,9.2417,unsat,9.2961,unsat,9.1646
tllBench_n=2_N=M=48_m=1_instance_5_0_converted,property_N=48_0,random,stable,1336,sat,0.7639,sat,7.652,sat,7.5941,sat,7.7079,sat,7.7411,sat,7.7088,sat,7.7177,sat,7.6188,sat,7.6434,sat,7.904,sat,7.7148
tllBench_n=2_N=M=48_m=1_instance_5_1_converted,property_N=48_1,random,stable,1280,sat,0.7624,sat,7.5326,sat,7.5972,sat,7.6169,sat,7.6108,sat,7.5086,sat,7.6549,sat,7.6467,sat,7.5541,sat,7.6766,sat,7.6155
